"","OTU","Sample","Abundance","Condition","Site","Time","Condition_Time","Kingdom","Phylum","sub_kingdom"
"43","x1198","X3300048096.Drought_48_hr",0.000635316669455812,"Drought","Site1","48hr","Drought_48hr","Eukaryota","Chytridiomycota","fungi"
"44","x1128","X3300045461.Pre_drought_0hr",0.000577686836238019,"PreDrought","Site2","0hr","PreDrought_0hr","Eukaryota","Ascomycota","fungi"
"45","x1128","X3300048093.Pre_drought_6hr",0.000566394819526836,"PreDrought","Site1","6hr","PreDrought_6hr","Eukaryota","Ascomycota","fungi"
"46","x1128","X3300044943.Pre_Drought_48hr",0.000530542306505476,"PreDrought","Site3","48hr","PreDrought_48hr","Eukaryota","Ascomycota","fungi"
"47","x3004","X3300045473.Drought_48_hr",0.000529980117951752,"Drought","Site2","48hr","Drought_48hr","Eukaryota","Basidiomycota","fungi"
"48","x1198","X3300045466.Pre_drought_0hr",0.000514626683483824,"PreDrought","Site2","0hr","PreDrought_0hr","Eukaryota","Chytridiomycota","fungi"
"49","x3004","X3300048092.Pre_drought_0hr",0.000510901099000029,"PreDrought","Site1","0hr","PreDrought_0hr","Eukaryota","Basidiomycota","fungi"
"50","x1128","X3300048092.Pre_drought_0hr",0.00049552155049856,"PreDrought","Site1","0hr","PreDrought_0hr","Eukaryota","Ascomycota","fungi"
"51","x1128","X3300048100.Pre_drought_6hr",0.000486378111664492,"PreDrought","Site1","6hr","PreDrought_6hr","Eukaryota","Ascomycota","fungi"
"52","x1128","X3300045467.Pre_drought_6hr",0.000472297459771055,"PreDrought","Site2","6hr","PreDrought_6hr","Eukaryota","Ascomycota","fungi"
"53","x1128","X3300049628.Drought_0hr",0.000458612606827619,"Drought","Site1","0hr","Drought_0hr","Eukaryota","Ascomycota","fungi"
"54","x3004","X3300045459.Drought_6hr",0.000457792365869682,"Drought","Site1","6hr","Drought_6hr","Eukaryota","Basidiomycota","fungi"
"55","x3004","X3300045460.Drought_48_hr",0.000455143379903829,"Drought","Site1","48hr","Drought_48hr","Eukaryota","Basidiomycota","fungi"
"56","x1128","X3300045472.Drought_48_hr",0.000448190780853994,"Drought","Site3","48hr","Drought_48hr","Eukaryota","Ascomycota","fungi"
"57","x3004","X3300049511.Drought_6hr",0.000446595894062808,"Drought","Site2","6hr","Drought_6hr","Eukaryota","Basidiomycota","fungi"
"58","x1198","X3300044944.Pre_drought_0hr",0.000438456459272702,"PreDrought","Site3","0hr","PreDrought_0hr","Eukaryota","Chytridiomycota","fungi"
"59","x1128","X3300048054.Drought_0hr",0.000434452047355273,"Drought","Site3","0hr","Drought_0hr","Eukaryota","Ascomycota","fungi"
"60","x1198","X3300048052.Pre_drought_0hr",0.000407674157164564,"PreDrought","Site3","0hr","PreDrought_0hr","Eukaryota","Chytridiomycota","fungi"
