"","OTU","Sample","Abundance","Condition","Site","Time","Condition_Time","Kingdom","Phylum"
"375","x1627","X3300048052.Pre_drought_0hr",0.167828187647825,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria","Acidobacteria"
"824","x2772","X3300045473.Drought_48_hr",0.152145477546356,"Drought","Site2","48hr","Drought_48hr","Bacteria","Actinobacteria"
"353","x1627","X3300045469.Drought_0hr",0.137712569225651,"Drought","Site2","0hr","Drought_0hr","Bacteria","Acidobacteria"
"367","x1627","X3300045466.Pre_drought_0hr",0.137662122557522,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria","Acidobacteria"
"384","x1627","X3300048053.Pre_Drought_48hr",0.137556117651733,"PreDrought","Site3","48hr","PreDrought_48hr","Bacteria","Acidobacteria"
"366","x1627","X3300045471.Drought_6hr",0.134734367703867,"Drought","Site3","6hr","Drought_6hr","Bacteria","Acidobacteria"
"691","x2258","X3300049628.Drought_0hr",0.131043086292023,"Drought","Site1","0hr","Drought_0hr","Bacteria","Planctomycetes"
"362","x1627","X3300045472.Drought_48_hr",0.130198763672546,"Drought","Site3","48hr","Drought_48hr","Bacteria","Acidobacteria"
"357","x1627","X3300048054.Drought_0hr",0.127631186525813,"Drought","Site3","0hr","Drought_0hr","Bacteria","Acidobacteria"
"351","x1627","X3300044944.Pre_drought_0hr",0.121830730622746,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria","Acidobacteria"
"380","x1627","X3300045465.Drought_48_hr",0.120618610719582,"Drought","Site2","48hr","Drought_48hr","Bacteria","Acidobacteria"
"697","x2258","X3300048092.Pre_drought_0hr",0.117258327232277,"PreDrought","Site1","0hr","PreDrought_0hr","Bacteria","Planctomycetes"
"383","x1627","X3300048099.Pre_drought_0hr",0.117155811913104,"PreDrought","Site1","0hr","PreDrought_0hr","Bacteria","Acidobacteria"
"385","x1627","X3300045470.Drought_6hr",0.116905870289269,"Drought","Site2","6hr","Drought_6hr","Bacteria","Acidobacteria"
"373","x1627","X3300049511.Drought_6hr",0.116505126208541,"Drought","Site2","6hr","Drought_6hr","Bacteria","Acidobacteria"
"364","x1627","X3300045461.Pre_drought_0hr",0.115519743913634,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria","Acidobacteria"
"378","x1627","X3300044943.Pre_Drought_48hr",0.112211865589363,"PreDrought","Site3","48hr","PreDrought_48hr","Bacteria","Acidobacteria"
"825","x2772","X3300045469.Drought_0hr",0.111163431244007,"Drought","Site2","0hr","Drought_0hr","Bacteria","Actinobacteria"
"836","x2772","X3300049512.Drought_0hr",0.106984063241533,"Drought","Site3","0hr","Drought_0hr","Bacteria","Actinobacteria"
"381","x1627","X3300045463.Pre_Drought_48hr",0.0986326848716322,"PreDrought","Site2","48hr","PreDrought_48hr","Bacteria","Acidobacteria"
"817","x2772","X3300048054.Drought_0hr",0.0982231151992717,"Drought","Site3","0hr","Drought_0hr","Bacteria","Actinobacteria"
"819","x2772","X3300045470.Drought_6hr",0.09711108063378,"Drought","Site2","6hr","Drought_6hr","Bacteria","Actinobacteria"
"827","x2772","X3300045458.Pre_Drought_48hr",0.0958729909581248,"PreDrought","Site1","48hr","PreDrought_48hr","Bacteria","Actinobacteria"
"57","x1088","X3300048052.Pre_drought_0hr",0.0937733200106244,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria","Bacteroidetes"
"833","x2772","X3300048095.Drought_6hr",0.0936107415378908,"Drought","Site1","6hr","Drought_6hr","Bacteria","Actinobacteria"
"356","x1627","X3300044945.Drought_6hr",0.09283539219426,"Drought","Site3","6hr","Drought_6hr","Bacteria","Acidobacteria"
"1703","x3325","X3300048051.Drought_0hr",0.0921513502210192,"Drought","Site1","0hr","Drought_0hr","Bacteria","Proteobacteria"
"681","x2258","X3300045460.Drought_48_hr",0.0906349842375094,"Drought","Site1","48hr","Drought_48hr","Bacteria","Planctomycetes"
"352","x1627","X3300045459.Drought_6hr",0.0898317666907689,"Drought","Site1","6hr","Drought_6hr","Bacteria","Acidobacteria"
"2194","x555","X3300048054.Drought_0hr",0.0888991790541071,"Drought","Site3","0hr","Drought_0hr","Archaea","Thaumarchaeota"
"1738","x343","X3300045464.Drought_0hr",0.0871424822425099,"Drought","Site2","0hr","Drought_0hr","Bacteria","Firmicutes"
"811","x2772","X3300048051.Drought_0hr",0.0867202611569672,"Drought","Site1","0hr","Drought_0hr","Bacteria","Actinobacteria"
"62","x1088","X3300048100.Pre_drought_6hr",0.0866057694388862,"PreDrought","Site1","6hr","PreDrought_6hr","Bacteria","Bacteroidetes"
"667","x2258","X3300044942.Pre_drought_6hr",0.0863811178176263,"PreDrought","Site3","6hr","PreDrought_6hr","Bacteria","Planctomycetes"
"354","x1627","X3300045462.Pre_drought_6hr",0.0857064672679071,"PreDrought","Site2","6hr","PreDrought_6hr","Bacteria","Acidobacteria"
"355","x1627","X3300044942.Pre_drought_6hr",0.0852388323003197,"PreDrought","Site3","6hr","PreDrought_6hr","Bacteria","Acidobacteria"
"368","x1627","X3300048094.Pre_Drought_48hr",0.0839438131169552,"PreDrought","Site1","48hr","PreDrought_48hr","Bacteria","Acidobacteria"
"831","x2772","X3300048099.Pre_drought_0hr",0.083930822616135,"PreDrought","Site1","0hr","PreDrought_0hr","Bacteria","Actinobacteria"
"371","x1627","X3300045468.Pre_Drought_48hr",0.0826118438129919,"PreDrought","Site2","48hr","PreDrought_48hr","Bacteria","Acidobacteria"
"693","x2258","X3300045470.Drought_6hr",0.08098837510899,"Drought","Site2","6hr","Drought_6hr","Bacteria","Planctomycetes"
"835","x2772","X3300045471.Drought_6hr",0.0790555885723989,"Drought","Site3","6hr","Drought_6hr","Bacteria","Actinobacteria"
"1733","x343","X3300045459.Drought_6hr",0.0788758737045071,"Drought","Site1","6hr","Drought_6hr","Bacteria","Firmicutes"
"65","x1088","X3300045463.Pre_Drought_48hr",0.0781686242630945,"PreDrought","Site2","48hr","PreDrought_48hr","Bacteria","Bacteroidetes"
"369","x1627","X3300048095.Drought_6hr",0.0773584598423176,"Drought","Site1","6hr","Drought_6hr","Bacteria","Acidobacteria"
"1749","x343","X3300045461.Pre_drought_0hr",0.0771887773915909,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria","Firmicutes"
"372","x1627","X3300049512.Drought_0hr",0.076074077732994,"Drought","Site3","0hr","Drought_0hr","Bacteria","Acidobacteria"
"374","x1627","X3300045473.Drought_48_hr",0.074926583352689,"Drought","Site2","48hr","Drought_48hr","Bacteria","Acidobacteria"
"377","x1627","X3300045460.Drought_48_hr",0.0742435862054325,"Drought","Site1","48hr","Drought_48hr","Bacteria","Acidobacteria"
"55","x1088","X3300044942.Pre_drought_6hr",0.0740768113602284,"PreDrought","Site3","6hr","PreDrought_6hr","Bacteria","Bacteroidetes"
"358","x1627","X3300045458.Pre_Drought_48hr",0.0733180504588027,"PreDrought","Site1","48hr","PreDrought_48hr","Bacteria","Acidobacteria"
"574","x2007","X3300048093.Pre_drought_6hr",0.0709679331890297,"PreDrought","Site1","6hr","PreDrought_6hr","Bacteria","Nitrospirae"
"2171","x555","X3300045469.Drought_0hr",0.0705196571495665,"Drought","Site2","0hr","Drought_0hr","Archaea","Thaumarchaeota"
"809","x2772","X3300048052.Pre_drought_0hr",0.070374258502713,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria","Actinobacteria"
"2162","x553","X3300045467.Pre_drought_6hr",0.0703073892029078,"PreDrought","Site2","6hr","PreDrought_6hr","Bacteria","Nitrospinae"
"361","x1627","X3300048093.Pre_drought_6hr",0.0700518203160186,"PreDrought","Site1","6hr","PreDrought_6hr","Bacteria","Acidobacteria"
"50","x1088","X3300045471.Drought_6hr",0.0685389869960804,"Drought","Site3","6hr","Drought_6hr","Bacteria","Bacteroidetes"
"342","x1570","X3300049512.Drought_0hr",0.0677878357685703,"Drought","Site3","0hr","Drought_0hr","Bacteria","Chloroflexi"
"810","x2772","X3300044944.Pre_drought_0hr",0.0668670304697519,"PreDrought","Site3","0hr","PreDrought_0hr","Bacteria","Actinobacteria"
"687","x2258","X3300045466.Pre_drought_0hr",0.0665366158885857,"PreDrought","Site2","0hr","PreDrought_0hr","Bacteria","Planctomycetes"
"360","x1627","X3300048100.Pre_drought_6hr",0.0650007873998118,"PreDrought","Site1","6hr","PreDrought_6hr","Bacteria","Acidobacteria"
