"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"334","x1662","X3300045932_PreDrought_Site2_6hr",0.303729275938868,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Acidobacteria"
"355","x1662","X3300049732_PreDrought_0hr",0.29865793202423,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Acidobacteria"
"353","x1662","X3300045944_PreDrought_Site2_48hr",0.296433448831104,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Acidobacteria"
"341","x1662","X3300045941_PreDrought_Site2_0hr",0.294299060136066,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Acidobacteria"
"349","x1662","X3300045930_PreDrought_Site2_6hr",0.290178810371306,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Acidobacteria"
"352","x1662","X3300045966_PreDrought_Site3_0hr",0.284973612510927,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Acidobacteria"
"345","x1662","X3300045952_Drought_Site2_6hr",0.277387721548016,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Acidobacteria"
"328","x1662","X3300045884_Drought_Site1_6hr",0.271022238646292,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Acidobacteria"
"344","x1662","X3300045926_Drought_Site2_48hr",0.270766817678766,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Acidobacteria"
"340","x1662","X3300045933_PreDrought_Site2_48hr",0.270522890799058,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Acidobacteria"
"354","x1662","X3300045927_Drought_Site2_6hr",0.27051398293488,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Acidobacteria"
"356","x1662","X3300045967_PreDrought_Site3_6hr",0.268651036538308,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Acidobacteria"
"343","x1662","X3300045946_Drought_Site3_48hr",0.268519049766758,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Acidobacteria"
"332","x1662","X3300049733_Drought_Site2_48hr",0.267020785972497,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Acidobacteria"
"336","x1662","X3300046482_Drought_Site3_6hr",0.261117775303975,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Acidobacteria"
"346","x1662","X3300045947_Drought_Site3_6hr",0.258134165158798,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Acidobacteria"
"360","x1662","X3300045955_Drought_Site3_0hr",0.257901555669657,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Acidobacteria"
"357","x1662","X3300045910_PreDrought_Site1_0hr",0.249630290225975,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Acidobacteria"
"351","x1662","X3300045977_Drought_Site1_0hr",0.247257803271453,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Acidobacteria"
"347","x1662","X3300045945_PreDrought_Site3_0hr",0.246384424698653,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Acidobacteria"
"329","x1662","X3300045978_Drought_Site1_48hr",0.244878024269368,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Acidobacteria"
"333","x1662","X3300049731_Drought_Site1_48hr",0.244773603555835,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Acidobacteria"
"350","x1662","X3300049734_Drought_Site3_0hr",0.244717877094972,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Acidobacteria"
"358","x1662","X3300045968_PreDrought_Site3_48hr",0.243886440437841,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Acidobacteria"
"337","x1662","X3300045964_Drought_Site1_6hr",0.240784056236583,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Acidobacteria"
"325","x1662","X3300045934_PreDrought_Site3_6hr",0.237196628488585,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Acidobacteria"
"342","x1662","X3300045953_Drought_Site3_48hr",0.235256705413561,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Acidobacteria"
"327","x1662","X3300045975_PreDrought_Site1_6hr",0.234417181940729,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Acidobacteria"
"331","x1662","X3300045920_PreDrought_Site1_48hr",0.228061652718778,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Acidobacteria"
"359","x1662","X3300045965_PreDrought_Site3_48hr",0.217618164547193,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Acidobacteria"
"326","x1662","X3300045940_Drought_Site1_0hr",0.204728821119326,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Acidobacteria"
"330","x1662","X3300049730_PreDrought_Site1_6hr",0.197019157001445,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Acidobacteria"
"348","x1662","X3300045928_PreDrought_Site1_0hr",0.194751552262521,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Acidobacteria"
"339","x1662","X3300045929_PreDrought_Site1_48hr",0.184172626727439,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Acidobacteria"
"503","x1938","X3300049730_PreDrought_Site1_6hr",0.0906785361871106,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Actinobacteria"
"480","x1938","X3300045929_PreDrought_Site1_48hr",0.0891804489724385,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Actinobacteria"
"499","x1938","X3300049731_Drought_Site1_48hr",0.0773979955879369,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Actinobacteria"
"784","x2741","X3300045955_Drought_Site3_0hr",0.0772616154170977,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Planctomycetes"
"782","x2741","X3300045884_Drought_Site1_6hr",0.0768532395336477,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Planctomycetes"
"759","x2741","X3300045946_Drought_Site3_48hr",0.0764878409099113,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Planctomycetes"
