"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"561","x1662","X3300045932_PreDrought_Site2_6hr",0.303292997634086,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Acidobacteria"
"554","x1662","X3300049732_PreDrought_0hr",0.29819450185902,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Acidobacteria"
"568","x1662","X3300045944_PreDrought_Site2_48hr",0.295915579841662,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Acidobacteria"
"574","x1662","X3300045941_PreDrought_Site2_0hr",0.293762697263808,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Acidobacteria"
"567","x1662","X3300045930_PreDrought_Site2_6hr",0.289698815857216,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Acidobacteria"
"576","x1662","X3300045966_PreDrought_Site3_0hr",0.284450563789675,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Acidobacteria"
"560","x1662","X3300045952_Drought_Site2_6hr",0.276897679941846,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Acidobacteria"
"555","x1662","X3300045884_Drought_Site1_6hr",0.270580832769133,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Acidobacteria"
"566","x1662","X3300045926_Drought_Site2_48hr",0.27027617723028,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Acidobacteria"
"570","x1662","X3300045933_PreDrought_Site2_48hr",0.270096000712196,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Acidobacteria"
"571","x1662","X3300045927_Drought_Site2_6hr",0.270040586506427,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Acidobacteria"
"559","x1662","X3300045967_PreDrought_Site3_6hr",0.268219807114425,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Acidobacteria"
"556","x1662","X3300045946_Drought_Site3_48hr",0.268046371305744,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Acidobacteria"
"549","x1662","X3300049733_Drought_Site2_48hr",0.266614586979318,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Acidobacteria"
"557","x1662","X3300046482_Drought_Site3_6hr",0.260708407302795,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Acidobacteria"
"565","x1662","X3300045947_Drought_Site3_6hr",0.257698416656318,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Acidobacteria"
"541","x1662","X3300045955_Drought_Site3_0hr",0.257448469101508,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Acidobacteria"
"548","x1662","X3300045910_PreDrought_Site1_0hr",0.249238281932105,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Acidobacteria"
"573","x1662","X3300045977_Drought_Site1_0hr",0.246840324267566,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Acidobacteria"
"562","x1662","X3300045945_PreDrought_Site3_0hr",0.245977271909724,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Acidobacteria"
"564","x1662","X3300045978_Drought_Site1_48hr",0.244493099724484,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Acidobacteria"
"550","x1662","X3300049731_Drought_Site1_48hr",0.244381746177241,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Acidobacteria"
"545","x1662","X3300049734_Drought_Site3_0hr",0.244293774913105,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Acidobacteria"
"563","x1662","X3300045968_PreDrought_Site3_48hr",0.243508531090294,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Acidobacteria"
"547","x1662","X3300045964_Drought_Site1_6hr",0.240373992432849,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Acidobacteria"
"542","x1662","X3300045934_PreDrought_Site3_6hr",0.236792434008794,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Acidobacteria"
"569","x1662","X3300045953_Drought_Site3_48hr",0.234892617027598,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Acidobacteria"
"575","x1662","X3300045975_PreDrought_Site1_6hr",0.23401358046225,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Acidobacteria"
"544","x1662","X3300045920_PreDrought_Site1_48hr",0.227690493077614,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Acidobacteria"
"546","x1662","X3300045965_PreDrought_Site3_48hr",0.217251154511717,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Acidobacteria"
"543","x1662","X3300045940_Drought_Site1_0hr",0.204413189312861,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Acidobacteria"
"552","x1662","X3300049730_PreDrought_Site1_6hr",0.196740520343343,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Acidobacteria"
"572","x1662","X3300045928_PreDrought_Site1_0hr",0.194437663702091,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Acidobacteria"
"551","x1662","X3300045929_PreDrought_Site1_48hr",0.183833668658085,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Acidobacteria"
"763","x1938","X3300049730_PreDrought_Site1_6hr",0.09055029300168,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Actinobacteria"
"776","x1938","X3300045929_PreDrought_Site1_48hr",0.0890163179973585,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Actinobacteria"
"762","x1938","X3300049731_Drought_Site1_48hr",0.0772740893528735,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Actinobacteria"
"1425","x2741","X3300045955_Drought_Site3_0hr",0.0771258806787474,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Planctomycetes"
"1433","x2741","X3300045884_Drought_Site1_6hr",0.0767280709431355,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Planctomycetes"
"1422","x2741","X3300045946_Drought_Site3_48hr",0.076353198116564,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Planctomycetes"
"790","x1938","X3300045964_Drought_Site1_6hr",0.0759516168706802,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Actinobacteria"
"1434","x2741","X3300045966_PreDrought_Site3_0hr",0.0754520516304755,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Planctomycetes"
"1431","x2741","X3300045978_Drought_Site1_48hr",0.0751262079014608,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Planctomycetes"
"767","x1938","X3300045940_Drought_Site1_0hr",0.0735492979167287,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Actinobacteria"
"1438","x2741","X3300045977_Drought_Site1_0hr",0.0733282709647484,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Planctomycetes"
"783","x1938","X3300045928_PreDrought_Site1_0hr",0.0723554523614631,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Actinobacteria"
