"","OTU","Sample","Abundance","Condition","Site","Time","Condition_Time","Kingdom"
"78","x555","X3300045459.Drought_6hr",0.0213550021719845,"Drought","Site1","6hr","Drought_6hr","Archaea"
"122","x596","X3300045460.Drought_48_hr",0.0210703465972027,"Drought","Site1","48hr","Drought_48hr","Eukaryota"
"98","x555","X3300049557.Drought_48_hr",0.0206462534764675,"Drought","Site3","48hr","Drought_48hr","Archaea"
"117","x596","X3300045462.Pre_drought_6hr",0.0199142030082151,"PreDrought","Site2","6hr","PreDrought_6hr","Eukaryota"
"94","x555","X3300048053.Pre_Drought_48hr",0.0190017850954339,"PreDrought","Site3","48hr","PreDrought_48hr","Archaea"
"88","x555","X3300045468.Pre_Drought_48hr",0.0189330670714463,"PreDrought","Site2","48hr","PreDrought_48hr","Archaea"
"109","x596","X3300045466.Pre_drought_0hr",0.0183306413241615,"PreDrought","Site2","0hr","PreDrought_0hr","Eukaryota"
"114","x596","X3300045458.Pre_Drought_48hr",0.0180363271913044,"PreDrought","Site1","48hr","PreDrought_48hr","Eukaryota"
"73","x555","X3300045461.Pre_drought_0hr",0.0172773817538759,"PreDrought","Site2","0hr","PreDrought_0hr","Archaea"
"76","x555","X3300045465.Drought_48_hr",0.0164439533992001,"Drought","Site2","48hr","Drought_48hr","Archaea"
"121","x596","X3300045463.Pre_Drought_48hr",0.0157324009546255,"PreDrought","Site2","48hr","PreDrought_48hr","Eukaryota"
"118","x596","X3300045459.Drought_6hr",0.0157154301952004,"Drought","Site1","6hr","Drought_6hr","Eukaryota"
"137","x596","X3300048100.Pre_drought_6hr",0.0153674942430585,"PreDrought","Site1","6hr","PreDrought_6hr","Eukaryota"
"130","x596","X3300048052.Pre_drought_0hr",0.0153557265865319,"PreDrought","Site3","0hr","PreDrought_0hr","Eukaryota"
"72","x555","X3300045464.Drought_0hr",0.0149437054663261,"Drought","Site2","0hr","Drought_0hr","Archaea"
"95","x555","X3300045473.Drought_48_hr",0.0144314365500788,"Drought","Site2","48hr","Drought_48hr","Archaea"
"124","x596","X3300048094.Pre_Drought_48hr",0.0127788961947774,"PreDrought","Site1","48hr","PreDrought_48hr","Eukaryota"
"138","x596","X3300049628.Drought_0hr",0.0119315904777157,"Drought","Site1","0hr","Drought_0hr","Eukaryota"
"134","x596","X3300045473.Drought_48_hr",0.0116934657348369,"Drought","Site2","48hr","Drought_48hr","Eukaryota"
"91","x555","X3300045472.Drought_48_hr",0.0112894603892007,"Drought","Site3","48hr","Drought_48hr","Archaea"
"140","x596","X3300049512.Drought_0hr",0.0111962779700832,"Drought","Site3","0hr","Drought_0hr","Eukaryota"
"102","x555","X3300049511.Drought_6hr",0.0109966760455324,"Drought","Site2","6hr","Drought_6hr","Archaea"
