"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"144","x3071","X3300049734_Drought_Site3_0hr",0.293120638085743,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Eukaryota","Basidiomycota"
"139","x3071","X3300049733_Drought_Site2_48hr",0.293089753772836,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Eukaryota","Basidiomycota"
"112","x3071","X3300045884_Drought_Site1_6hr",0.290149253731343,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Eukaryota","Basidiomycota"
"141","x3071","X3300045966_PreDrought_Site3_0hr",0.284980011422045,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Eukaryota","Basidiomycota"
"119","x3071","X3300045946_Drought_Site3_48hr",0.284272997032641,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Eukaryota","Basidiomycota"
"132","x3071","X3300046482_Drought_Site3_6hr",0.283676703645008,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Eukaryota","Basidiomycota"
"126","x3071","X3300045955_Drought_Site3_0hr",0.283178360101437,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Eukaryota","Basidiomycota"
"111","x3071","X3300045927_Drought_Site2_6hr",0.283161884136437,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Eukaryota","Basidiomycota"
"124","x3071","X3300045947_Drought_Site3_6hr",0.281682346430548,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Eukaryota","Basidiomycota"
"138","x3071","X3300045968_PreDrought_Site3_48hr",0.275784753363229,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Eukaryota","Basidiomycota"
"135","x3071","X3300045977_Drought_Site1_0hr",0.273623188405797,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Eukaryota","Basidiomycota"
"140","x3071","X3300045978_Drought_Site1_48hr",0.267133956386293,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Eukaryota","Basidiomycota"
"121","x3071","X3300045953_Drought_Site3_48hr",0.263126131563066,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Eukaryota","Basidiomycota"
"133","x3071","X3300045967_PreDrought_Site3_6hr",0.262955854126679,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Eukaryota","Basidiomycota"
"131","x3071","X3300045964_Drought_Site1_6hr",0.261538461538462,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Eukaryota","Basidiomycota"
"122","x3071","X3300045944_PreDrought_Site2_48hr",0.255348202093764,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Eukaryota","Basidiomycota"
"123","x3071","X3300045933_PreDrought_Site2_48hr",0.255259467040673,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Eukaryota","Basidiomycota"
"117","x3071","X3300045910_PreDrought_Site1_0hr",0.253577561534058,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Eukaryota","Basidiomycota"
"134","x3071","X3300049732_PreDrought_0hr",0.250812567713976,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Eukaryota","Basidiomycota"
"136","x3071","X3300045965_PreDrought_Site3_48hr",0.247126436781609,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Eukaryota","Basidiomycota"
"109","x3071","X3300045930_PreDrought_Site2_6hr",0.245901639344262,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Eukaryota","Basidiomycota"
"120","x3071","X3300045936_Drought_Site2_0hr",0.24469696969697,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Eukaryota","Basidiomycota"
"142","x3071","X3300049731_Drought_Site1_48hr",0.24409979770735,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Eukaryota","Basidiomycota"
"130","x3071","X3300045941_PreDrought_Site2_0hr",0.24282982791587,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Eukaryota","Basidiomycota"
"114","x3071","X3300045926_Drought_Site2_48hr",0.241427571728481,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Eukaryota","Basidiomycota"
"110","x3071","X3300045920_PreDrought_Site1_48hr",0.238450074515648,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Eukaryota","Basidiomycota"
"113","x3071","X3300045931_Drought_Site2_0hr",0.238095238095238,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Eukaryota","Basidiomycota"
"143","x3071","X3300045975_PreDrought_Site1_6hr",0.235542168674699,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Eukaryota","Basidiomycota"
"118","x3071","X3300045932_PreDrought_Site2_6hr",0.23374613003096,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Eukaryota","Basidiomycota"
"137","x3071","X3300049730_PreDrought_Site1_6hr",0.228571428571429,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Eukaryota","Basidiomycota"
