KO,p.Weighted,q.Weighted,cor.Weighted,Z.Weighted,p.Standard,q.Standard,cor.Standard,Z.Standard
KO:K13126,0.406985137,0.794892846,0.144676845,0.839942266,0.031296365,0.038694494,0.364580334,2.249159885
KO:K13237,0.150534295,0.398715238,0.248199211,1.471851606,0.416232713,0.24433988,0.141873065,0.823326779
KO:K13276,0.001767839,0.009598959,-0.509575416,-3.402137913,0.066998673,0.068025665,-0.313144692,-1.894144484
KO:K13280,0.547437922,0.935739721,0.10522823,0.607864968,0.741867911,0.353624097,-0.057725491,-0.332161581
KO:K13282,0.899826933,0.999875552,-0.022076805,-0.126852507,0.711131127,0.344397728,-0.064888995,-0.373546149
KO:K13288,0.095178661,0.279407054,0.2865173,1.717941141,0.005064943,0.010058005,0.463300929,3.003225173
KO:K13292,0.943923864,0.999875552,-0.012337072,-0.070876475,0.799057773,0.367101155,0.044629011,0.256629848
KO:K13378,0.986064334,0.999875552,-0.003063666,-0.017599502,0.910614609,0.393760015,-0.019689214,-0.113127855
KO:K13408,0.721982294,0.999875552,-0.062348768,-0.3588646,0.082029003,0.078416127,-0.298052025,-1.793702998
KO:K13409,0.987050578,0.999875552,-0.002846828,-0.016353845,0.361024637,0.222165185,0.159188788,0.92628176
KO:K13421,0.556789294,0.945129585,-0.102794952,-0.593656897,0.035247152,0.042255688,-0.357037709,-2.195747254
KO:K13481,0.00942203,0.041773876,-0.432728588,-2.757370626,0.202281896,0.149487668,-0.220875436,-1.300963956
KO:K13482,2.85E-07,4.08E-06,-0.745003625,-6.415790679,0.000746688,0.002490909,-0.543183683,-3.716413853
KO:K13483,0.002774612,0.014184199,-0.490533262,-3.2336773,0.05334963,0.057715801,-0.329365188,-2.003869651
KO:K13503,0.135769342,0.370933081,0.25722573,1.529101527,0.012806163,0.020141814,0.416545483,2.632089392
KO:K13525,0.165910057,0.431477497,0.239459604,1.416810929,0.070235581,0.070211014,0.309686136,1.870991527
KO:K13527,6.56E-05,0.000493587,0.622346143,4.567412649,0.014673442,0.022152979,0.409117137,2.575611736
KO:K13529,0.002620375,0.013538602,0.49301039,3.25523313,0.065988175,0.067337633,0.31425121,1.901569536
KO:K13542,1.39E-07,2.22E-06,0.757372697,6.662923723,3.60E-05,0.000278576,0.639051325,4.772805173
KO:K13570,0.471633273,0.865740848,0.125755262,0.728189868,0.320394433,0.204631865,0.172968511,1.008834248
KO:K13571,0.523798113,0.918452995,0.111469074,0.64435677,0.877958868,0.385804566,-0.026929229,-0.154752767
KO:K13572,0.944993346,0.999875552,-0.01210142,-0.069522454,0.177952812,0.136624681,-0.233012537,-1.37644347
KO:K13573,0.689451001,0.999875552,0.070004155,0.403132256,0.370119799,0.226043153,0.15623448,0.908657071
KO:K13574,0.357327119,0.734168921,-0.160402523,-0.933529979,0.03181638,0.039068817,-0.363544595,-2.241795532
KO:K13581,0.703514708,0.999875552,-0.066679764,-0.383900481,0.283329274,0.188786403,-0.186524838,-1.090644155
KO:K13582,0.847909069,0.999875552,-0.033630133,-0.193299749,0.327283686,0.20755758,-0.170559415,-0.994359201
KO:K13583,0.718778612,0.999875552,0.063097416,0.363190762,0.262457395,0.179303458,0.194666985,1.140087251
KO:K13584,3.85E-11,1.91E-09,-0.859443525,-9.657337066,9.93E-08,6.69E-06,-0.762927232,-6.779256383
KO:K13587,0.642545093,0.992372354,-0.081276251,-0.468446316,0.615286258,0.314033432,-0.08797512,-0.507345736
KO:K13589,0.137541985,0.374017677,-0.256105129,-1.521971322,0.26023198,0.178536755,-0.195559826,-1.145523706
KO:K13590,0.965344719,0.999875552,-0.007620655,-0.043778601,0.390002512,0.234179939,-0.149922098,-0.871082019
KO:K13592,0.678852635,0.999875552,-0.072525365,-0.417726555,0.316472105,0.202927543,-0.174354544,-1.017170665
KO:K13598,0.020638034,0.080374254,-0.389768456,-2.431336709,0.052048358,0.056686956,-0.331077967,-2.015569382
KO:K13599,0.135385168,0.370312066,-0.257470009,-1.530656712,0.106431714,0.094385026,-0.277578209,-1.659790112
KO:K13614,0.00016911,0.001184996,-0.593906492,-4.240632126,0.002514235,0.006165337,-0.494789922,-3.270783004
KO:K13626,0.590783237,0.967167318,-0.094103605,-0.542993639,0.863866156,0.381848382,0.03006657,0.172797417
KO:K13628,0.011129148,0.047652427,0.424041722,2.689730023,0.072232105,0.071369275,0.307614657,1.857163638
KO:K13634,0.248547695,0.574655321,-0.200332476,-1.174634684,0.575956734,0.30166595,-0.097865814,-0.564908075
KO:K13635,0.678310296,0.999875552,-0.072654763,-0.418475805,0.390098845,0.234179939,-0.149891978,-0.870902988
KO:K13640,1.48E-10,6.01E-09,0.846545362,9.135602691,6.28E-06,8.33E-05,0.682552387,5.365035868
KO:K13641,0.232210908,0.548000772,0.20726371,1.217067865,0.008002411,0.014326738,0.441040182,2.822973415
KO:K13643,0.530326172,0.922615363,0.109732355,0.634194176,0.338351038,0.21191901,0.166754073,0.97153211
KO:K13652,0.847957042,0.999875552,0.033619401,0.193237991,0.886972689,0.387691921,-0.024926923,-0.143238776
KO:K13653,0.912108186,0.999875552,0.019358931,0.111229437,0.2467267,0.172081533,0.201089649,1.179261039
KO:K13661,0.77935262,0.999875552,0.049111169,0.28246303,0.898333436,0.390669159,0.022407653,0.128754494
KO:K13668,0.395254834,0.782649579,-0.148286075,-0.861361423,0.795136123,0.366109557,-0.045518728,-0.2617565
KO:K13688,1.64E-05,0.000147523,0.65948624,5.03974482,0.000144324,0.00077344,0.598859055,4.295641241
KO:K13693,0.865154642,0.999875552,0.029779358,0.171145291,0.423062343,0.246949968,-0.139824844,-0.811201616
KO:K13694,0.935352286,0.999875552,0.014226554,0.081733605,0.221336485,0.159114381,0.212062206,1.24655609
KO:K13730,0.563393156,0.950021096,-0.101088034,-0.583696539,0.091416275,0.084931791,-0.289685695,-1.73866855
KO:K13735,0.007801951,0.035651606,-0.442313483,-2.833102219,0.007763826,0.013992469,-0.44255881,-2.835056179
KO:K13747,0.749287224,0.999875552,0.056010497,0.322261699,0.220130192,0.158410903,0.212604326,1.249893467
KO:K13766,0.113496678,0.322918418,-0.272326015,-1.625842503,0.459790621,0.26028004,-0.129110762,-0.747945029
KO:K13770,0.96962174,0.999875552,0.006679679,0.038372689,0.844660691,0.377650128,-0.034357148,-0.197483377
KO:K13771,0.622467088,0.983833001,0.08619882,0.49702447,0.612915046,0.313218302,0.088563581,0.51076608
KO:K13774,0.921887562,0.999875552,0.017197926,0.098809178,0.826658494,0.373445136,-0.038396768,-0.220735415
KO:K13775,0.962164728,0.999875552,-0.008320411,-0.047798775,0.608625279,0.312287655,0.089630612,0.516969427
KO:K13787,0.000166339,0.001167685,0.59442672,4.246374996,0.032691963,0.039841698,0.361831499,2.22963602
KO:K13788,0.951836225,0.999875552,0.01059412,0.060862001,0.347242145,0.215855465,0.163751903,0.95355457
KO:K13789,0.783539889,0.999875552,0.048156254,0.276957943,0.217152419,0.156895889,0.213951328,1.258191075
KO:K13796,0.779360809,0.999875552,-0.0491093,-0.282452255,0.162533164,0.127942194,-0.241327324,-1.428542243
KO:K13798,0.665355356,0.997240555,0.075757196,0.436446179,0.08747445,0.082500931,0.293114303,1.761168569
KO:K13810,2.20E-07,3.24E-06,-0.749561679,-6.505030307,1.91E-05,0.000171905,-0.655623158,-4.987851783
KO:K13815,9.02E-12,5.55E-10,-0.87203207,-10.23486722,6.69E-08,6.28E-06,-0.769248569,-6.916032709
KO:K13816,1.31E-12,1.24E-10,-0.886950021,-11.03165515,1.56E-06,2.91E-05,-0.712732347,-5.837075715
KO:K13821,0.014007679,0.058053216,0.411669245,2.594944899,0.006606431,0.012375082,0.45054672,2.899115758
KO:K13832,0.804883925,0.999875552,-0.04330923,-0.249026241,0.742325014,0.353624097,-0.057619679,-0.331550692
KO:K13853,0.00791838,0.036098496,0.441570586,2.827190074,0.002959209,0.006841833,0.487721495,3.209334469
KO:K13886,0.852392712,0.999875552,0.03262756,0.187530908,0.742673802,0.353624097,-0.057538954,-0.331084646
KO:K13888,3.04E-05,0.000248706,0.643598866,4.830641248,0.028799532,0.036528318,0.369759032,2.286127037
KO:K13889,0.634572181,0.989724532,-0.083223427,-0.479746473,0.794575027,0.366104571,-0.045646117,-0.262490578
KO:K13893,0.512384351,0.909940128,-0.114531276,-0.662290194,0.781243583,0.363435165,-0.048679761,-0.279975863
KO:K13894,0.695515425,0.999875552,-0.068567752,-0.394820974,0.865635991,0.382362024,-0.029672082,-0.17052822
KO:K13895,0.878368146,0.999875552,-0.026838243,-0.154229521,0.285569831,0.189668525,0.185674257,1.085492647
KO:K13896,0.011875495,0.050402567,0.4205953,2.663147323,0.000223115,0.001055841,0.585047551,4.144077052
KO:K13924,0.246450893,0.572540294,0.201204655,1.179963923,0.426539609,0.248318677,0.138789105,0.805074247
KO:K13926,0.497588385,0.893491654,-0.118551921,-0.68586576,0.564544189,0.297711743,-0.10079147,-0.581966533
KO:K13929,0.936141882,0.999875552,-0.014052436,-0.080733073,0.672110402,0.331939616,0.074136729,0.427058313
KO:K13950,0.159554673,0.418318241,-0.242998004,-1.439050211,0.004811219,0.00964887,-0.465713758,-3.023183164
KO:K13953,0.271759039,0.610119512,0.190988073,1.117717491,0.036235797,0.042713208,0.355258678,2.183221574
KO:K13954,0.969274717,0.999875552,-0.006756019,-0.038811261,0.525356285,0.28558443,0.111053586,0.641924958
KO:K13963,0.973861956,0.999875552,-0.005746981,-0.033014438,0.299195139,0.195964183,0.180591812,1.054763257
KO:K13979,0.910524314,0.999875552,-0.019709184,-0.113242639,0.495551758,0.273539449,-0.119110052,-0.689141114
KO:K13985,0.002659067,0.013683776,0.492377281,3.249713957,0.002785037,0.006589763,0.490370197,3.232261952
KO:K13990,0.499170749,0.894674678,-0.118119079,-0.683326113,0.292148648,0.192439242,-0.183201306,-1.070529645
KO:K13993,0.13541476,0.370312066,0.257451174,1.530536793,0.014400114,0.021924393,0.410152876,2.583449042
KO:K14028,3.90E-12,2.85E-10,-0.878764375,-10.57738045,3.37E-05,0.000266024,-0.640812858,-4.795106658
KO:K14052,0.965253783,0.999875552,0.007640664,0.043893552,0.400035655,0.237589425,0.146807781,0.85258421
KO:K14055,0.142529911,0.384077473,-0.253007852,-1.502297884,0.377696644,0.229372224,-0.15380605,-0.894188387
KO:K14058,0.013890281,0.057751971,-0.412129816,-2.5984417,0.021210449,0.029091276,-0.388168607,-2.41958226
KO:K14059,0.522625347,0.917613602,0.111782192,0.646189647,0.330201217,0.208998348,0.169548664,0.98829159
KO:K14083,0.953986754,0.999875552,-0.010120576,-0.058141261,0.77480229,0.361790576,0.050150461,0.288455438
KO:K14155,0.15729922,0.41352407,-0.244278147,-1.447111051,0.280603053,0.187718055,-0.187565673,-1.096951383
KO:K14162,0.508143609,0.904481618,-0.115677627,-0.669008557,0.759674571,0.358032302,-0.053617973,-0.30845551
KO:K14164,0.848268851,0.999875552,0.033549646,0.192836598,0.803649617,0.368113057,0.043588636,0.250635864
KO:K14165,0.812760431,0.999875552,-0.041528691,-0.238770153,0.122111314,0.104861155,-0.266244101,-1.586727847
KO:K14166,0.46544378,0.860098108,0.127503353,0.738478354,0.076648973,0.074639759,0.303186027,1.827698346
KO:K14170,0.000400505,0.002544191,-0.565466253,-3.938492756,0.003224245,0.00730844,-0.483940162,-3.176803925
KO:K14187,0.901275829,0.999875552,-0.02175591,-0.125007773,0.98211336,0.412853339,0.003932385,0.022590007
KO:K14194,0.142190444,0.383963743,-0.253216103,-1.503619107,0.004912504,0.009803406,-0.464737705,-3.01509932
KO:K14195,6.04E-05,0.000457833,-0.624688529,-4.595571467,7.40E-05,0.000467735,-0.618878034,-4.526087897
KO:K14205,0.799368949,0.999875552,-0.044558461,-0.256223355,0.443324188,0.254068982,-0.133854153,-0.775916003
KO:K14252,0.426184288,0.818366756,-0.138894724,-0.805698963,0.610619972,0.312366916,-0.08913406,-0.514082426
KO:K14257,0.740130615,0.999875552,-0.05812783,-0.334484525,0.88870842,0.388104601,-0.024541715,-0.141023896
KO:K14259,0.00034143,0.002227345,-0.570930811,-3.994829578,0.002942166,0.006834159,-0.487974591,-3.211520244
KO:K14260,0.577416378,0.958905728,-0.097493529,-0.562738482,0.691416066,0.33861538,-0.069538226,-0.400436039
KO:K14261,1.31E-11,7.70E-10,-0.868910028,-10.08446465,1.93E-07,8.74E-06,-0.751817105,-6.549963311
KO:K14266,1.29E-07,2.08E-06,-0.758624073,-6.688829183,0.00054922,0.002002678,-0.554365691,-3.826373889
KO:K14267,0.866676842,0.999875552,0.029440148,0.169194112,0.127667119,0.108348593,0.262489649,1.562684049
KO:K14268,0.334626449,0.701575515,-0.168026048,-0.979157275,0.77480229,0.361790576,-0.050150461,-0.288455438
KO:K14287,0.999810794,0.999875552,4.16E-05,0.000238937,0.238152775,0.1676531,0.204705894,1.201386971
KO:K14291,0.323591076,0.686700668,-0.171846719,-1.002091656,0.432792502,0.250696481,-0.13693835,-0.794131994
KO:K14333,0.760786609,0.999875552,-0.053362408,-0.306981081,0.259850005,0.178425967,0.195713581,1.146460208
KO:K14335,0.728395491,0.999875552,-0.060853355,-0.350224975,0.337149452,0.211411869,0.167163481,0.97398586
KO:K14338,0.850936123,0.999875552,-0.03295315,-0.189404303,0.57421883,0.300950487,0.098309625,0.567494816
KO:K14393,1.39E-07,2.22E-06,-0.757409602,-6.663685257,0.001403949,0.003924349,-0.518905533,-3.487102458
KO:K14415,0.999286944,0.999875552,-0.000156753,-0.000900479,0.360062498,0.221741735,-0.159503896,-0.92816312
KO:K14441,0.863969237,0.999875552,0.03004359,0.172665226,0.705181381,0.342729522,-0.066287334,-0.381631109
KO:K14445,0.520759298,0.915581796,-0.112281121,-0.649110596,0.608625279,0.312287655,0.089630612,0.516969427
KO:K14446,0.907159432,0.999875552,0.020453535,0.117521198,0.201876028,0.149324939,0.221069287,1.302164384
KO:K14447,6.15E-06,6.21E-05,0.683027768,5.372038049,0.000948429,0.002951865,0.534199473,3.630107803
KO:K14448,4.51E-07,6.03E-06,0.736737729,6.259050408,0.000821737,0.002649257,0.539615808,3.681927661
KO:K14475,0.000541294,0.003329599,-0.554885299,-3.831554796,0.002558771,0.006246157,-0.494035396,-3.264183199
KO:K14519,0.767263199,0.999875552,-0.051876116,-0.298407396,0.800682468,0.367408984,-0.044260734,-0.254507973
KO:K14534,0.652681514,0.993526896,0.078814469,0.45416743,0.444162424,0.254279248,0.133610407,0.774477366
KO:K14540,0.350001933,0.724109712,0.162829556,0.948036884,0.074400159,0.073065366,0.305415235,1.842513602
KO:K14564,0.279633221,0.620251135,0.18793752,1.09920562,0.090522695,0.084343685,0.290452837,1.743696478
KO:K14574,0.048654947,0.164108701,0.33571101,2.047329642,0.015223728,0.022722497,0.407080142,2.560232893
KO:K14585,0.004127398,0.020143156,-0.47281112,-3.082392961,0.01052718,0.017428118,-0.42696707,-2.712405306
KO:K14645,0.005231434,0.024934572,-0.461773658,-2.990636193,0.063585845,0.065412731,-0.316936313,-1.919623184
KO:K14647,0.13514144,0.370086983,0.25762525,1.531645205,0.032059019,0.039217987,0.363066046,2.238396176
KO:K14652,0.002259294,0.011866407,-0.499347888,-3.310861053,0.001517049,0.004168494,-0.515798314,-3.458621442
