KO,p.Weighted,q.Weighted,cor.Weighted,Z.Weighted,p.Standard,q.Standard,cor.Standard,Z.Standard
KO:K07002,0.885000717,0.999810126,0.025364698,0.14575599,0.359102156,0.244273922,0.15981892,0.930044263
KO:K07003,0.007394144,0.0333943,-0.444992553,-2.854483276,0.006829816,0.014635172,-0.448916409,-2.885971543
KO:K07004,0.985343107,0.999810126,0.003222239,0.018510451,0.939029007,0.445315194,-0.013415893,-0.077075372
KO:K07005,0.336112514,0.723173788,0.16751751,0.976108114,0.023201616,0.035118561,0.382868937,2.38082727
KO:K07006,0.002864189,0.014546177,-0.489149144,-3.221677816,0.117653321,0.111737411,-0.269349845,-1.606675949
KO:K07007,0.505937179,0.909073371,-0.116275957,-0.672516234,0.58034255,0.333779541,-0.096748472,-0.558397176
KO:K07008,0.997889258,0.999810126,-0.000464011,-0.00266554,0.971692562,0.45490117,-0.00622415,-0.035755713
KO:K07010,0.352024402,0.74581441,-0.16215642,-0.944011643,0.684385412,0.370962945,-0.07120743,-0.410096563
KO:K07011,0.364716137,0.765173271,0.157984423,0.919093759,0.019388941,0.030977443,0.393391895,2.458055215
KO:K07012,0.448131221,0.857958736,-0.132459723,-0.76768774,0.027019335,0.039432971,-0.373681281,-2.314289192
KO:K07017,0.13865026,0.381924428,-0.255409902,-1.51755101,0.065999667,0.073370641,-0.314238552,-1.901484548
KO:K07018,0.504504429,0.908255417,-0.116665185,-0.674798462,0.658370472,0.362330061,-0.07743935,-0.446195089
KO:K07019,0.60981919,0.994096405,0.089333321,0.515240904,0.048188438,0.058654431,0.336367984,2.051846772
KO:K07020,0.484329895,0.889671346,0.122206631,0.707325275,0.675093227,0.368718703,0.073423115,0.422925207
KO:K07023,9.81E-05,0.000730743,0.610603863,4.429210587,1.46E-05,0.000223683,0.662354924,5.078736162
KO:K07024,8.22E-08,1.41E-06,0.765983741,6.844790423,0.001018425,0.003651774,0.531475748,3.60428664
KO:K07025,0.024109265,0.090264157,0.380577358,2.36415532,0.310542154,0.221371725,0.176470588,1.029909843
KO:K07026,0.557179848,0.954075083,-0.102693744,-0.593066176,0.107934626,0.105015734,-0.276439382,-1.652415748
KO:K07027,0.961339969,0.999810126,0.008501919,0.04884157,0.849852387,0.421354045,-0.033195467,-0.190798594
KO:K07028,0.006259791,0.02887701,0.453172672,2.920363862,0.000420747,0.001965611,0.563758464,3.921043876
KO:K07029,0.010248379,0.044271585,0.428370264,2.723318773,0.126175913,0.116854286,0.263485246,1.569052443
KO:K07030,8.87E-05,0.00066745,0.613576426,4.463741728,0.002934047,0.007777474,0.488095621,3.212565855
KO:K07031,0.681613576,0.999810126,0.071867209,0.413915984,0.445590634,0.281874536,0.133195681,0.772029907
KO:K07032,0.000688157,0.004153598,0.54619375,3.74573029,0.001499667,0.004889193,0.51626233,3.462862761
KO:K07034,1.38E-09,4.44E-08,0.822304065,8.301187779,1.11E-06,4.02E-05,0.719544532,5.952178919
KO:K07037,0.907875602,0.999810126,0.020295081,0.116610382,0.754990884,0.393464958,0.054695562,0.314673126
KO:K07038,0.750991318,0.999810126,-0.055617319,-0.319992468,0.656938303,0.362330061,-0.077785096,-0.448199335
KO:K07039,0.51675122,0.918958687,-0.113355749,-0.655403632,0.16105208,0.139075906,-0.242155304,-1.433748244
KO:K07040,0.000901898,0.005223996,0.536110078,3.648314783,0.011106651,0.02087476,0.424148607,2.690556703
KO:K07041,0.000242154,0.001637604,0.582380212,4.115452795,0.000468683,0.002080893,0.559988735,3.882787585
KO:K07042,0.004957424,0.02328487,0.464310377,3.011564531,0.000200972,0.00117131,0.588419046,4.180550878
KO:K07043,0.926843929,0.999810126,-0.016103659,-0.092520477,0.975822202,0.45490117,-0.00531585,-0.030537665
KO:K07044,0.531682227,0.931826608,0.109372896,0.632091501,0.872444302,0.427681197,0.028155858,0.161807241
KO:K07045,0.000483027,0.003048418,-0.558927424,-3.872080811,0.000491584,0.002140085,-0.558307534,-3.865840013
KO:K07046,0.535957295,0.937190405,-0.10824256,-0.625481175,0.134343257,0.122328776,-0.258135096,-1.53489253
KO:K07047,7.43E-06,7.44E-05,-0.678664605,-5.308244526,0.000159385,0.001018159,-0.595766729,-4.261205559
KO:K07048,0.039624821,0.137217321,-0.349444973,-2.142476955,0.059534109,0.068133242,-0.321651884,-1.951453551
KO:K07050,0.719859379,0.999810126,-0.062844736,-0.361730548,0.226882415,0.176987663,-0.209595433,-1.231385388
KO:K07051,0.666840155,0.999810126,-0.075400481,-0.434379318,0.466522575,0.290113007,-0.12719779,-0.736679447
KO:K07052,0.409230648,0.821216345,0.143992737,0.835886281,0.027437443,0.039945427,0.372741402,2.307527721
KO:K07053,0.976291635,0.999810126,0.005212609,0.029944565,0.684385412,0.370962945,0.07120743,0.410096563
KO:K07054,0.001770109,0.009509844,0.509522726,3.401662773,0.040640512,0.05246519,0.347781218,2.13086896
KO:K07056,0.743258013,0.999810126,-0.057403768,-0.330304196,0.445590634,0.281874536,-0.133195681,-0.772029907
KO:K07058,8.03E-08,1.39E-06,0.766355828,6.852844245,0.00230754,0.006491835,0.498452012,3.302955008
KO:K07062,0.551290615,0.948601747,0.104223398,0.601996364,0.132950775,0.121184168,0.259029928,1.540595248
KO:K07064,0.951195137,0.999810126,-0.010735301,-0.061673162,0.666461712,0.365698676,-0.075491371,-0.434905936
KO:K07065,0.392360187,0.80147376,-0.149186151,-0.866708411,0.031345832,0.043811811,-0.364481205,-2.248454635
KO:K07066,0.95802529,0.999810126,0.009231483,0.053033091,0.80582113,0.409944982,-0.043097148,-0.247804504
KO:K07067,3.73E-14,1.45E-11,0.909842485,12.59573287,3.16E-06,7.54E-05,0.697891609,5.597686487
KO:K07068,0.149124938,0.403650379,-0.249032133,-1.477116927,0.187595857,0.15461041,-0.228070175,-1.345627841
KO:K07071,0.93719803,0.999810126,0.01381956,0.079394913,0.452974492,0.284283622,0.131062951,0.759450318
KO:K07074,0.850565284,0.999810126,-0.033036061,-0.189881367,0.356593054,0.243526876,-0.16064438,-0.934974826
KO:K07075,0.001574288,0.008569906,-0.514302598,-3.444978092,0.000872752,0.003219768,-0.537351626,-3.66018816
KO:K07076,0.010259583,0.044271585,-0.428313253,-2.722874896,0.00202372,0.006014913,-0.503978044,-3.351948889
KO:K07077,6.88E-05,0.000541486,0.620960538,4.550850169,0.002377131,0.006604539,0.49718818,3.291825694
KO:K07079,0.953312383,0.999810126,-0.010269064,-0.058994392,0.445590634,0.281874536,-0.133195681,-0.772029907
KO:K07080,2.37E-08,5.01E-07,-0.785016829,-7.279684325,0.000150666,0.000985608,-0.59752322,-4.280729169
KO:K07082,0.000299353,0.001979507,0.57536379,4.041108904,8.73E-05,0.000691455,0.614035088,4.469096786
KO:K07085,1.29E-09,4.27E-08,-0.823075747,-8.325316112,0.00033207,0.001623395,-0.571872991,-4.00462189
KO:K07088,0.972075321,0.999810126,0.006139957,0.035272035,0.670044591,0.366857134,0.074631646,0.429925156
KO:K07089,0.804005204,0.999810126,-0.043508132,-0.250172086,0.506191117,0.306330992,-0.116207029,-0.672112108
KO:K07090,0.277678676,0.640098077,-0.18868947,-1.103765637,0.164105813,0.140559704,-0.240454076,-1.423055211
KO:K07091,0.799413355,0.999810126,-0.044548394,-0.256165352,0.160406257,0.138585093,-0.24251806,-1.436030152
KO:K07093,0.93415678,0.999810126,0.014490207,0.083248643,0.97651892,0.45490117,-0.005162623,-0.029657408
KO:K07094,0.264704286,0.617772964,-0.193770571,-1.13463201,0.060223771,0.068684819,-0.320831687,-1.945905645
KO:K07095,0.022570607,0.085411233,0.384506193,2.392770326,0.282804976,0.207212857,0.186724503,1.091853786
KO:K07096,0.572995128,0.967382675,0.098622487,0.56931853,0.081335185,0.085909336,0.298699182,1.797978718
KO:K07098,0.958345095,0.999810126,-0.009161087,-0.052628648,0.864419507,0.424945581,0.029943215,0.172087839
KO:K07100,0.190505025,0.487587169,0.226614409,1.336572194,0.460182605,0.287406587,0.128998968,0.747286435
KO:K07101,0.100394785,0.296742787,-0.282279197,-1.690311622,0.101073619,0.100232549,-0.281740056,-1.686804553
KO:K07102,0.80553057,0.999810126,-0.043162893,-0.248183237,0.65261901,0.360849841,-0.078829602,-0.454255184
KO:K07104,0.097686128,0.290509397,-0.284458467,-1.704505386,0.009108336,0.017988135,-0.434468524,-2.771031013
KO:K07106,0.890377697,0.999810126,-0.024171362,-0.138894486,0.663825307,0.364679505,-0.076125098,-0.438578028
KO:K07107,0.986112136,0.999810126,0.003053156,0.017539126,0.559213871,0.326031342,0.102167183,0.589993072
KO:K07108,0.298404735,0.671497298,0.180882553,1.056518748,0.047420036,0.057837175,0.3374613,2.059371546
KO:K07110,0.503169558,0.906875366,-0.117028324,-0.676927997,0.121223654,0.113918888,-0.266855676,-1.59065174
KO:K07112,0.816983441,0.999810126,-0.040575743,-0.233282014,0.256427143,0.193267394,0.197098087,1.154897029
KO:K07113,0.059771619,0.194798169,0.321368576,1.949536666,0.008270256,0.016853873,0.439380678,2.809804217
KO:K07114,0.415792418,0.829736075,-0.142005756,-0.824112658,0.123605806,0.115463124,-0.265221878,-1.580173817
KO:K07115,0.279870311,0.64248302,-0.18784654,-1.098654027,0.018591833,0.030025601,-0.395807146,-2.475939911
KO:K07116,0.867980904,0.999810126,0.029149632,0.167523073,0.292579181,0.212507898,0.183040722,1.069558736
KO:K07117,0.676164458,0.999810126,0.073167117,0.42144268,0.523380163,0.313514294,-0.111580623,-0.645009718
KO:K07118,0.865037228,0.999810126,0.029805527,0.171295822,0.549312634,0.32288677,0.104738867,0.605006666
KO:K07119,0.854376843,0.999810126,0.032184221,0.184980103,0.74553553,0.390427706,0.056877061,0.327263616
KO:K07120,0.000755493,0.004524786,-0.542749045,-3.712197592,0.001212919,0.004149592,-0.524692342,-3.540651487
KO:K07121,0.723127649,0.999810126,-0.062081381,-0.357319621,0.463611644,0.288831935,-0.128023156,-0.741539034
KO:K07122,0.99238648,0.999810126,-0.001673726,-0.009614837,0.43577068,0.278766672,0.136062054,0.788954013
KO:K07124,0.485817286,0.890511818,0.121794093,0.704901513,0.131151904,0.12015661,0.260196214,1.548034316
KO:K07126,0.347389384,0.739668008,-0.163702582,-0.953259458,0.058403075,0.067158568,-0.323013416,-1.960673934
KO:K07127,0.743311298,0.999810126,-0.057391439,-0.330233022,0.500241341,0.303927215,-0.117826622,-0.681610384
KO:K07130,0.496665612,0.900177383,-0.11880466,-0.687348858,0.200366535,0.16222143,-0.221792639,-1.306645206
KO:K07131,8.00E-07,1.01E-05,0.725940581,6.063491291,0.000320688,0.001593999,0.573051186,4.016900304
KO:K07133,0.651584839,0.999810126,-0.079080087,-0.455707667,0.819738211,0.412350594,-0.03995473,-0.229705872
KO:K07136,1.28E-05,0.000120261,0.665712007,5.12487188,0.0057174,0.012837819,0.457543472,2.955943336
KO:K07137,0.48002589,0.88787605,-0.123404085,-0.714362724,0.295584986,0.213495489,-0.181923782,-1.062808026
KO:K07138,0.854788589,0.999810126,-0.032092244,-0.184450916,0.51912058,0.312110383,-0.112719993,-0.651680355
KO:K07139,0.436335964,0.845587841,-0.135896098,-0.787973602,0.142354464,0.127546438,-0.253115438,-1.502980419
KO:K07140,0.17537126,0.457490791,0.234367757,1.384912841,0.021637989,0.03321092,0.386996904,2.410989843
KO:K07141,0.000878767,0.005147686,-0.537092455,-3.657706855,0.000269613,0.001418398,-0.57884596,-4.077834645
KO:K07146,0.76686754,0.999810126,-0.051966811,-0.298930515,0.752303863,0.393002956,-0.055314663,-0.318245792
KO:K07147,0.045599042,0.155405705,-0.340110184,-2.077641631,0.139464118,0.125459344,-0.254901961,-1.514323064
KO:K07148,0.011087274,0.047316285,-0.424240818,-2.691270007,0.021701983,0.033245425,-0.386823181,-2.409717057
KO:K07151,0.819393944,0.999810126,0.040032312,0.230152621,0.41264569,0.26828982,0.142956393,0.829744269
KO:K07152,7.14E-06,7.22E-05,-0.679597472,-5.321795122,0.002931604,0.007777474,-0.488132095,-3.212881015
KO:K07153,0.635571812,0.999810126,0.082978757,0.478326266,0.064497422,0.072262461,0.315908188,1.912704423
KO:K07154,0.610241698,0.994096405,0.089228173,0.514629581,0.066019598,0.073370641,0.314216601,1.901337168
KO:K07156,0.854393543,0.999810126,0.032180491,0.184958639,0.214874544,0.170118616,0.214990306,1.264596371
KO:K07157,0.229502626,0.558970883,-0.208444252,-1.224314039,0.044489794,0.055667284,-0.341765662,-2.089088281
KO:K07159,0.008300205,0.036926858,0.439197983,2.808356597,0.002142317,0.006208328,0.5015914,3.330722123
