KO,p.Weighted,q.Weighted,cor.Weighted,Z.Weighted,p.Standard,q.Standard,cor.Standard,Z.Standard
KO:K12589,0.828726655,0.999829032,0.037931729,0.218058125,0.573886243,0.405373575,0.098394627,0.567990288
KO:K12600,0.404133491,0.81520941,-0.145548719,-0.845113271,0.055492835,0.105482322,-0.32661538,-1.985132458
KO:K12661,0.880383108,0.999829032,0.026390396,0.151654102,0.397034325,0.341348987,0.147734638,0.858086635
KO:K12686,0.528111227,0.931243662,0.110320445,0.637634785,0.067079299,0.118720238,0.313056971,1.893556216
KO:K12741,0.896730063,0.999829032,-0.022762925,-0.130796942,0.676403841,0.43761685,0.07310993,0.421111517
KO:K12812,0.781670077,0.999829032,0.048582498,0.279415146,0.752130361,0.460175947,0.055354662,0.318476624
KO:K12856,0.821276416,0.999829032,0.039608178,0.227710346,0.630497057,0.422965097,-0.084222472,-0.485546427
KO:K12941,0.196674458,0.521281479,0.223578029,1.317714579,0.48292024,0.374451617,-0.122598213,-0.709626262
KO:K12942,0.389088663,0.800700249,0.150208049,0.872781774,0.267143022,0.273368576,-0.192803261,-1.128748634
KO:K12957,0.98883736,0.999829032,0.002453991,0.014097149,0.408852862,0.346722553,-0.144107682,-0.836567692
KO:K12960,3.07E-05,0.000539889,0.643343036,4.827364646,0.001087202,0.009337407,0.528955815,3.580536253
KO:K12972,0.493757272,0.913710329,0.119602795,0.692033285,0.70174779,0.444496834,0.067096148,0.386308566
KO:K12979,0.011254252,0.062748528,0.423450643,2.685160896,0.089829302,0.144882878,0.29105213,1.747626862
KO:K12989,0.377355312,0.785312479,0.153914828,0.894836135,0.388383372,0.3385864,0.150429007,0.87409535
KO:K12992,0.953837792,0.999829032,0.010153375,0.058329706,0.894808924,0.502637712,-0.023188726,-0.133244917
KO:K12994,0.551648821,0.94098272,0.104130141,0.601451803,0.154605854,0.199049693,0.245824341,1.456857895
KO:K12995,9.96E-07,4.02E-05,0.721688993,5.989140602,0.000102077,0.002527077,0.60940538,4.415373033
KO:K13007,0.009309945,0.054582847,0.433344543,2.762202191,0.159015966,0.202193802,0.243302568,1.440967276
KO:K13010,0.762961603,0.999829032,0.052862872,0.304099278,0.675252256,0.437422712,0.073385101,0.422705059
KO:K13013,0.417076869,0.832649596,0.141618885,0.821821484,0.220654292,0.244000659,0.212368541,1.248441791
