"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KO:K00001",85.7202706351212,-1.17758447051546,0.813707870680037,-1.4471833356255,0.147845582551659,0.495556903129345
"KO:K00002",1.28814899271557,-5.41896884782388,5.02235992606318,-1.07896863777176,0.280601708793623,NA
"KO:K00003",356.903898973736,5.37752862045046,1.05795979885171,5.08292340246495,3.71669611506115e-07,5.47128640604627e-05
"KO:K00004",2.05202084985564,1.64785675143366,2.7208017071437,0.605651175205849,0.54474641212995,NA
"KO:K00005",0.2951152538905,0,5.06417944642348,0,1,NA
"KO:K00006",2.12346025441502,-2.65735897641168,5.02922684282201,-0.528383200730825,0.597233394962998,NA
"KO:K00007",0.0826935429112074,0,5.06220216723222,0,1,NA
"KO:K00008",100.071109463848,-1.52638397686461,0.710914314822344,-2.14707165834191,0.0317875772211519,0.233483389443513
"KO:K00009",20.7478337333586,-6.29259764982744,2.02909861335535,-3.10117882315335,0.00192751848012209,0.0377056334021662
"KO:K00010",14.9474212622912,-1.18978102392796,1.4726457975594,-0.807920700211665,0.419136233992648,0.741516431996007
"KO:K00011",0.267800681574491,0.347369270850594,5.04336579400303,0.0688764775427642,0.945087942246086,NA
"KO:K00012",297.513590234236,-1.38427407667992,0.397168931842205,-3.48535337408992,0.000491487502462394,0.0134606615984468
"KO:K00013",78.3177608320549,-0.700143443514925,0.88341547496106,-0.792541520223864,0.42804499196017,0.748654929007564
"KO:K00014",58.9234561496719,-3.01284784936174,1.12335855088423,-2.68200019218283,0.00731834177361725,0.0975437151048312
"KO:K00015",39.8856381141648,-1.4281373430774,1.16816031302512,-1.22255252738302,0.221498752816127,0.57079146148751
"KO:K00016",9.60812191046227,-0.235707288664838,1.14502778469991,-0.20585289878063,0.836905818719644,0.963751061778521
"KO:K00018",5.13578447411498,2.4434666915823,1.45788260231494,1.67603803468288,0.0937307428107016,NA
"KO:K00019",81.6784980249159,1.92809016068487,0.658276961548013,2.92899535197274,0.00340059507398147,0.0580649393639337
"KO:K00020",77.7217140515227,-0.870094401167875,0.722583006415284,-1.20414456670437,0.228533707032574,0.575972180870742
"KO:K00021",11.9941253812768,-3.08389026602492,2.04889377316405,-1.50514892788343,0.132285792193686,0.473202632357814
"KO:K00022",0.482493481129889,0,5.06427243684616,0,1,NA
"KO:K00023",200.889167966096,1.46881591746823,0.66255225368345,2.21690577505754,0.0266295310479496,0.211706473967519
"KO:K00024",887.060286824719,0.453751584213031,0.7867290741685,0.57675710624093,0.56410354934504,0.832488654902267
"KO:K00025",0.831590040695327,-23.5442763750657,5.02189424248279,-4.68832580660353,2.75449236760743e-06,NA
"KO:K00026",31.082102649265,0.667164789067568,2.45926758046069,0.271285969191928,0.786171096946455,0.947914794864895
"KO:K00027",212.452804566618,-0.128349850228788,0.839184206109177,-0.15294597931469,0.878440876187598,0.98112042727449
"KO:K00029",163.562028164057,0.134638201255598,0.665528316645268,0.202302738874086,0.8396800589326,0.965536374497041
"KO:K00030",59.761988786761,0.120212557173853,0.816086809154714,0.147303639545855,0.882892359875684,0.98112042727449
"KO:K00031",707.017193731905,-0.134383797015886,0.394620734635128,-0.340539118250184,0.733450569043287,0.926781423615855
"KO:K00032",0.429913699604996,-2.99314196863083,5.04636034381194,-0.593128862131525,0.553094916143325,NA
"KO:K00033",133.529266237548,-1.33606817627627,0.647223778673192,-2.06430638104058,0.0389886763936276,0.2669936643037
"KO:K00034",88.6746892274455,0.262119374416668,1.04056216290112,0.251901696757712,0.801117048048326,0.952794010294212
"KO:K00035",1.26200159482356,0.347460093991131,5.03279469797604,0.0690391948892458,0.944958420902931,NA
"KO:K00036",249.383542179233,-0.832414581250378,0.430858147172172,-1.93199220373044,0.0533604681576318,0.31256946897417
"KO:K00038",5.91160289295975,-0.0439444146094449,1.65369599122174,-0.0265734541552459,0.978799946295919,1
"KO:K00039",1.03922663615954,0.42080491049565,5.0336039699732,0.083599129571151,0.933375159016899,NA
"KO:K00040",0.3579078229627,-3.09984167819034,5.04161675715059,-0.614850717043058,0.538653311979187,NA
"KO:K00041",0.407751278747512,-0.0847702157870336,5.05308274919979,-0.0167759405484618,0.986615363857604,NA
"KO:K00042",36.7506970926441,0.0887728996682807,1.22951499594109,0.0722015591199295,0.942441504415883,0.999580695803761
"KO:K00045",9.91965752307866,-3.65558806509435,3.56434661260327,-1.02559836694009,0.305080937549021,0.647892472802631
"KO:K00046",20.4272318792699,-1.79744330204346,1.23010319868695,-1.4612134201115,0.143956881256863,0.491644771156705
"KO:K00048",0.0359136750113027,0,5.06128080654964,0,1,NA
"KO:K00050",19.6889292806425,-0.34072623850001,0.995618797534266,-0.342225598134394,0.732181122473939,0.925839622655843
"KO:K00052",184.704596099065,0.171480072732139,0.469310655393123,0.36538712846504,0.714822448040209,0.917018049718975
"KO:K00053",809.799804492025,1.36281960760215,0.435649780236769,3.12824582824644,0.00175853033802422,0.0357062510588481
"KO:K00054",14.0852868844262,0.732052234219141,1.32262625421643,0.55348382196816,0.579932155543134,0.841207462834463
"KO:K00055",27.0741030779121,-0.937688754551361,1.38481091529839,-0.67712403490791,0.498327260501312,0.788804479500302
"KO:K00057",4578.88197325356,-0.867539122740976,1.17544806686987,-0.738049725200678,0.460484232871086,0.769579373100069
"KO:K00058",234.25184963923,0.380557796413254,0.607100929288049,0.626844364839858,0.530761259097644,0.810878244440089
"KO:K00059",1003.43327675539,-0.824360187848813,0.383208906322044,-2.15120310162111,0.031460172341458,0.232043400589501
"KO:K00060",13.7212164138022,-0.466073253197232,0.865176534282426,-0.538703067789271,0.590091756596934,0.843885487380864
"KO:K00064",4.72864048464404,0.131054353873968,1.80291222977782,0.0726903682327999,0.942052513309861,NA
"KO:K00065",26.746253226517,-0.92385286997261,1.07293837091841,-0.861049334251891,0.389210872192995,0.720494366440399
"KO:K00066",138.905159097603,-0.147623387545725,0.618828083023399,-0.238553148435805,0.811452098390192,0.956244221948007
"KO:K00067",64.1930186754463,-1.3978976334243,1.04562598730607,-1.33690024004263,0.181255202475275,0.534090600788279
"KO:K00068",0.0395148464572519,0,5.06197544780039,0,1,NA
"KO:K00069",0.0826904714929994,-2.45004399006014,5.05334208832668,-0.484836361211283,0.627792427569373,NA
"KO:K00073",0.398585280599318,0,5.0662858661021,0,1,NA
"KO:K00074",163.084299583619,0.0981106589100511,0.521060141455329,0.188290469956168,0.850648955619023,0.971973725809188
"KO:K00075",46.0501142341683,-2.26663161503018,0.947357863830441,-2.39258225594448,0.0167302774873298,0.16453357661953
"KO:K00076",2.69882078159227,-0.526920139411224,2.73214509727208,-0.192859500740766,0.847069003245424,NA
"KO:K00077",86.0787696629917,-1.05358099545129,0.763049108059823,-1.38075123124145,0.167355463180221,0.514644967007398
"KO:K00079",0.129992163070775,-3.12555114591815,5.04274046032298,-0.619812018982624,0.53538155482126,NA
"KO:K00082",0.377019217380168,-4.23904906142271,5.02915530661851,-0.842894840778531,0.399287259214316,NA
"KO:K00083",1.15766660090199,-4.50683604080073,5.02519947246224,-0.896847192931921,0.369800461518971,NA
"KO:K00086",1.07412888903547,2.62469470131982,4.03877158588216,0.649874508995421,0.515773285169347,NA
"KO:K00087",241.383630106297,-0.47802518868407,1.14564758540506,-0.41725325900727,0.676493172945803,0.897502959075299
"KO:K00088",785.640512034938,-0.190608124011888,0.4687023606494,-0.406671994883481,0.6842489118466,0.901361448752437
"KO:K00090",2.15043292776288,0,2.6604852776734,0,1,NA
"KO:K00091",80.386170281206,0.189774831922219,1.23217013739087,0.154016743437776,0.877596533751002,0.98112042727449
"KO:K00096",11.3866234841227,0.956032137530969,2.5875903851358,0.36946811327744,0.711778836388153,0.915842320318448
"KO:K00097",51.4410365160236,-0.960749058440282,0.866742971403606,-1.10845901280796,0.267663630997556,0.610888635861993
"KO:K00098",0.787920921554113,2.08121160928547,5.01251626925679,0.415202963439769,0.677993329608249,NA
"KO:K00099",204.265160737119,-2.95031523503221,0.816700751855466,-3.61248012607969,0.000303282357276944,0.0093173614631256
