"","KO","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Activity","VOC","VOC_alt","gene_name","Priority","Significance","datExpr"
"1","K00004",2.05202084985564,0.892856685947998,2.71210521916391,0.329211669089759,0.741995703446885,NA,"consume","Diacetyl","Diacetyl","BDH","yes",NA,"K00004"
"2","K00156",211.435890536601,4.38724588460302,1.31264736678073,3.3422882608318,0.000830907217641176,0.0236840762733845,"produce","Acetate","Acetate","poxB","yes","Sig.48","K00156"
"3","K00158",187.651868403795,4.29193308658312,1.38074939108796,3.10840845868582,0.00188097906502221,0.0449114287148484,"produce","Acetate","Acetate","poxL","yes","Sig.48","K00158"
"4","K00925",75.0399757595876,1.15735417821768,1.00505256456807,1.15153596838495,0.249511806719063,0.676028052894165,"consume","Acetate","Acetate","ackA","yes",NA,"K00925"
"5","K01026",9.37508278686748,3.01795542665663,1.69497302310885,1.78053301469142,0.0749887712553592,0.417621786659048,"produce","Acetate","Acetate","pct","yes",NA,"K01026"
"6","K01067",18.7497412456074,19.5111796770874,2.3442734106881,8.32291130724397,8.58286698841e-17,6.31184038327671e-14,"produce","Acetate","Acetate","ACH1","yes","Sig.48","K01067"
"7","K01512",65.2108028287438,-0.47597836125887,1.23146200068887,-0.386514858755374,0.699115400309906,0.934615422130738,"produce","Acetate","Acetate","acyP","yes",NA,"K01512"
"8","K01574",5.50430207293495,1.9524401877554,1.74407145390186,1.11947259006354,0.262938578038123,0.686024002406127,"produce","Acetone","Acetone","adc","yes",NA,"K01574"
"9","K01652",1210.26305902684,-0.379621973709439,0.342724750541798,-1.10765847260611,0.268009340321198,0.691883280138722,"produce","Diacetyl","Diacetyl","ilvB","yes",NA,"K01652"
"10","K01895",729.514087394543,0.0661756418660464,0.498154848688095,0.132841509101682,0.894318725739908,0.99919686884001,"consume","Acetate","Acetate","acs","yes",NA,"K01895"
"11","K03366",12.1644858228611,-2.89199128979342,1.30745076474147,-2.21193131533734,0.0269714111067524,0.236156823656202,"consume","Diacetyl","Diacetyl","butA","yes",NA,"K03366"
"12","K10854",179.904253313819,-3.25040229090408,3.32539117501728,-0.977449605124182,0.328346615187966,0.742822255586593,"consume","Acetone","Acetone","acxB","yes",NA,"K10854"
"13","K10855",40.2807320038094,-1.93866305739337,2.38249853146836,-0.813710074439607,0.41581106139962,0.805551777010751,"consume","Acetone","Acetone","acxA","yes",NA,"K10855"
"14","K10856",23.8790653252539,-3.13824344142784,2.45353969017099,-1.27906772977825,0.200873206212233,0.622250024635536,"consume","Acetone","Acetone","acxC","yes",NA,"K10856"
"15","K18118",58.5022754502293,3.40407490198592,1.5188881721469,2.24116229516381,0.025015564211579,0.224895426909477,"produce","Acetate","Acetate","aarC","yes",NA,"K18118"
"16","K18371",14.7701106871758,2.65061003714108,2.31351875419535,1.14570501420594,0.251917228433599,0.676618213059157,"consume","Acetone","Acetone","acmA","yes",NA,"K18371"
"17","K18372",1.32921983238291,-1.13936866461733,4.25222858956771,-0.267946240569621,0.788740699779449,NA,"consume","Acetone","Acetone","acmB","yes",NA,"K18372"
"18","K18382",14.6592713541268,3.00601777053702,1.58530529892379,1.89617594325692,0.0579367831247404,0.359225379502993,"consume","Acetone","Acetone","ald1","yes",NA,"K18382"
