"","KO","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Activity","VOC","VOC_alt","gene_name","Priority","Significance","datExpr"
"1","K00004",2.05202084985564,-0.54826941741591,2.76423491780993,-0.198344002488145,0.842775926483333,NA,"consume","Diacetyl","Diacetyl","BDH","yes",NA,"K00004"
"2","K00156",211.435890536601,6.60100238609582,1.31143163039026,5.03343234456795,4.8177489423473e-07,2.21435785762638e-05,"produce","Acetate","Acetate","poxB","yes","Sig.D","K00156"
"3","K00158",187.651868403795,6.44001454052489,1.37952929482159,4.6682695066347,3.03747289270593e-06,9.79718230392958e-05,"produce","Acetate","Acetate","poxL","yes","Sig.D","K00158"
"4","K00925",75.0399757595876,0.551494072796391,1.01041208269215,0.545811043081535,0.585195831538631,0.775076178556995,"consume","Acetate","Acetate","ackA","yes",NA,"K00925"
"5","K01026",9.37508278686748,-0.134179471176098,1.77335484754859,-0.0756641973610536,0.939686260674075,0.98579925263868,"produce","Acetate","Acetate","pct","yes",NA,"K01026"
"6","K01067",18.7497412456074,19.2763384644818,2.35521666487557,8.18452873230675,2.73371314692462e-16,8.37655270103486e-14,"produce","Acetate","Acetate","ACH1","yes","Sig.D","K01067"
"7","K01512",65.2108028287438,0.966657052465918,1.22831844620717,0.786975930753775,0.431295956205226,0.656405310830553,"produce","Acetate","Acetate","acyP","yes",NA,"K01512"
"8","K01574",5.50430207293495,-1.81262429818756,1.87957682442584,-0.964378936062518,0.334855978798774,0.565838894321273,"produce","Acetone","Acetone","adc","yes",NA,"K01574"
"9","K01652",1210.26305902684,-0.994132425147762,0.344545702875801,-2.88534268995402,0.00390987807160071,0.0287532433385516,"produce","Diacetyl","Diacetyl","ilvB","yes","Sig.PD","K01652"
"10","K01895",729.514087394543,-1.01374098284074,0.500592514925146,-2.02508218284552,0.0428589261083854,0.156203451381181,"consume","Acetate","Acetate","acs","yes",NA,"K01895"
"11","K03366",12.1644858228611,-1.62561720049955,1.29277800503295,-1.25746044113592,0.208586954923731,0.42826999475729,"consume","Diacetyl","Diacetyl","butA","yes",NA,"K03366"
"12","K10854",179.904253313819,-28.7942670091985,3.42696957225487,-8.40225347850186,4.37991138241484e-17,2.01311676914242e-14,"consume","Acetone","Acetone","acxB","yes","Sig.PD","K10854"
"13","K10855",40.2807320038094,-8.80141802240279,2.50575307860079,-3.5124841699556,0.000443938449617463,0.00538733227473073,"consume","Acetone","Acetone","acxA","yes","Sig.PD","K10855"
"14","K10856",23.8790653252539,-8.66082350138324,2.56134738151997,-3.38135450266167,0.000721294204607022,0.0080979177355639,"consume","Acetone","Acetone","acxC","yes","Sig.PD","K10856"
"15","K18118",58.5022754502293,2.23230921752771,1.5282675902764,1.46067955097051,0.144103403478227,0.342734938285538,"produce","Acetate","Acetate","aarC","yes",NA,"K18118"
"16","K18371",14.7701106871758,-19.8951373197443,2.45539393261663,-8.10262543026761,5.3785642414913e-16,1.41264147971168e-13,"consume","Acetone","Acetone","acmA","yes","Sig.PD","K18371"
"17","K18372",1.32921983238291,-2.80772245138685,4.29482793950384,-0.653745037271788,0.513276082179669,NA,"consume","Acetone","Acetone","acmB","yes",NA,"K18372"
"18","K18382",14.6592713541268,-1.07529087236192,1.70618742519193,-0.630230217668471,0.528543971572667,0.736157645254809,"consume","Acetone","Acetone","ald1","yes",NA,"K18382"
