"","Label","Pyr","Flux","Time","Condition"
"1415","S1P5","C1",-0.00726,0.0559,"Pre-Drought"
"1416","S2P1","C1",0.00512,13.92183,"Pre-Drought"
"1417","S1P2","C2",0.00528,0.08818,"Pre-Drought"
"1418","S1P5","C1",0.00831,0.07017,"Pre-Drought"
"1419","S2P1","C1",-0.0014,14.01441,"Pre-Drought"
"1420","S1P2","C2",0.00226,0.10241,"Pre-Drought"
"1421","S1P5","C1",-0.00267,0.08799,"Pre-Drought"
"1422","S2P1","C1",-0.01298,14.10698,"Pre-Drought"
"1423","S1P2","C2",-0.01545,0.11668,"Pre-Drought"
"1424","S1P5","C1",-0.00617,0.10222,"Pre-Drought"
"1425","S2P1","C1",-0.00316,14.19951,"Pre-Drought"
"1426","S1P2","C2",-0.000995,0.13095,"Pre-Drought"
"1427","S1P5","C1",-0.00225,0.11649,"Pre-Drought"
"1428","S2P1","C1",0.00169,14.29204,"Pre-Drought"
"1429","S1P2","C2",-0.00317,0.14522,"Pre-Drought"
"1430","S1P5","C1",-0.00768,0.13076,"Pre-Drought"
"1431","S2P1","C1",0.00118,14.38451,"Pre-Drought"
"1432","S1P2","C2",0.00861,0.15949,"Pre-Drought"
"1433","S1P5","C1",-0.00906,0.14503,"Pre-Drought"
"1434","S2P1","C1",0.01161,14.47713,"Pre-Drought"
"1435","S1P2","C2",0.000121,0.17731,"Pre-Drought"
"1436","S1P5","C1",0.01148,0.15931,"Pre-Drought"
"1437","S2P1","C1",0.00764,14.56968,"Pre-Drought"
"1438","S1P2","C2",0.00012,0.1916,"Pre-Drought"
"1439","S1P5","C1",0.00959,0.17713,"Pre-Drought"
"1440","S2P1","C1",5.13e-05,14.66223,"Pre-Drought"
"1441","S1P2","C2",0.00939,0.20587,"Pre-Drought"
"1442","S1P5","C1",0.00107,0.1914,"Pre-Drought"
"1443","S2P1","C1",0.00612,14.75469,"Pre-Drought"
"1444","S1P2","C2",0.000396,0.22014,"Pre-Drought"
"1445","S1P5","C1",-0.00866,0.20568,"Pre-Drought"
"1446","S2P1","C1",-0.00104,14.84712,"Pre-Drought"
"1447","S1P2","C2",-0.00545,0.23441,"Pre-Drought"
"1448","S1P5","C1",0.01576,0.21995,"Pre-Drought"
"1449","S2P1","C1",0.00797,14.93965,"Pre-Drought"
"1450","S1P2","C2",0.0172,0.24868,"Pre-Drought"
"1451","S1P5","C1",0.00153,0.23422,"Pre-Drought"
"1452","S2P1","C1",0.00471,15.0322,"Pre-Drought"
"1453","S1P2","C2",-0.00309,0.26648,"Pre-Drought"
"1454","S1P5","C1",0.00191,0.2485,"Pre-Drought"
"1455","S2P1","C1",0.00564,15.12479,"Pre-Drought"
"1456","S1P2","C2",0.019,0.28075,"Pre-Drought"
"1457","S1P5","C1",-0.01234,0.2663,"Pre-Drought"
"1458","S2P1","C1",0.000881,15.21609,"Pre-Drought"
"1459","S1P2","C2",0.00825,0.29502,"Pre-Drought"
"1460","S1P5","C1",0.00752,0.28057,"Pre-Drought"
"1461","S2P1","C1",0.00154,15.30869,"Pre-Drought"
"1462","S1P2","C2",-0.000791,0.30929,"Pre-Drought"
"1463","S1P5","C1",-0.00172,0.29484,"Pre-Drought"
"1464","S2P1","C1",-0.01012,15.40131,"Pre-Drought"
"1465","S1P2","C2",0.000321,0.33177,"Pre-Drought"
"1466","S1P5","C1",-0.00249,0.30911,"Pre-Drought"
"1467","S2P1","C1",0.000299,15.49392,"Pre-Drought"
"1468","S1P2","C2",0.0055,0.34604,"Pre-Drought"
"1469","S1P5","C1",0.0021,0.3316,"Pre-Drought"
"1470","S2P1","C1",-0.00495,15.58652,"Pre-Drought"
"1471","S1P2","C2",-0.00134,0.36731,"Pre-Drought"
"1472","S1P5","C1",-0.000409,0.34586,"Pre-Drought"
"1473","S2P1","C1",-0.00179,15.67896,"Pre-Drought"
"1474","S1P2","C2",0.00601,0.38157,"Pre-Drought"
"1475","S1P5","C1",-0.00563,0.36713,"Pre-Drought"
"1476","S2P1","C1",-0.00121,15.7716,"Pre-Drought"
"1477","S1P2","C2",0.00327,0.40652,"Pre-Drought"
"1478","S1P5","C1",-0.015,0.38139,"Pre-Drought"
"1479","S1P2","C2",-0.00362,0.42076,"Pre-Drought"
"1480","S1P5","C1",0.00347,0.40633,"Pre-Drought"
"1481","S2P1","C1",0.00541,15.95685,"Pre-Drought"
"1482","S1P2","C2",0.01742,0.44205,"Pre-Drought"
"1483","S1P5","C1",-0.00606,0.42058,"Pre-Drought"
"1484","S2P1","C1",-0.00728,16.02764,"Pre-Drought"
"1485","S1P2","C2",0.01222,0.45628,"Pre-Drought"
"1486","S1P5","C1",0.00912,0.44188,"Pre-Drought"
"1487","S2P1","C1",0.01944,16.1203,"Pre-Drought"
"1488","S1P2","C2",0.007,0.48117,"Pre-Drought"
"1489","S1P5","C1",0.01529,0.45611,"Pre-Drought"
"1490","S2P1","C1",-0.01149,16.21288,"Pre-Drought"
"1491","S1P2","C2",0.00757,0.49541,"Pre-Drought"
"1492","S1P5","C1",0.00492,0.481,"Pre-Drought"
"1493","S2P1","C1",0.000404,16.35304,"Pre-Drought"
"1494","S1P2","C2",-0.01573,0.51667,"Pre-Drought"
"1495","S1P5","C1",0.00212,0.49523,"Pre-Drought"
"1496","S2P1","C1",8.61e-05,16.4948,"Pre-Drought"
"1497","S1P2","C2",-0.00486,0.53091,"Pre-Drought"
"1498","S1P5","C1",-0.00603,0.51648,"Pre-Drought"
"1499","S2P1","C1",0.000636,16.6366,"Pre-Drought"
"1500","S1P2","C2",-0.01519,0.55584,"Pre-Drought"
"1501","S1P5","C1",0.00745,0.53073,"Pre-Drought"
"1502","S2P1","C1",0.00066,16.77836,"Pre-Drought"
"1503","S1P2","C2",0.00291,0.57006,"Pre-Drought"
"1504","S1P5","C1",0.0169,0.55566,"Pre-Drought"
"1505","S2P1","C1",0.000118,16.92005,"Pre-Drought"
"1506","S1P2","C2",0.00024,0.59131,"Pre-Drought"
"1507","S1P5","C1",-0.00762,0.56988,"Pre-Drought"
"1508","S2P1","C1",-0.000463,17.0617,"Pre-Drought"
"1509","S1P2","C2",-0.00967,0.60554,"Pre-Drought"
"1510","S1P5","C1",0.00357,0.59113,"Pre-Drought"
"1511","S2P1","C1",0.00069,17.20338,"Pre-Drought"
"1512","S1P2","C2",0.01048,0.63044,"Pre-Drought"
"1513","S1P5","C1",0.00549,0.60537,"Pre-Drought"
"1514","S2P1","C1",-0.000113,17.34508,"Pre-Drought"
"1515","S1P2","C2",-0.01137,0.64466,"Pre-Drought"
"1516","S1P5","C1",-0.00947,0.63027,"Pre-Drought"
"1517","S1P2","C2",0.01,0.66591,"Pre-Drought"
"1518","S1P5","C1",0.00135,0.64448,"Pre-Drought"
"1519","S1P2","C2",0.01446,0.68014,"Pre-Drought"
"1520","S1P5","C1",0.00851,0.66573,"Pre-Drought"
"1521","S1P2","C2",7.44e-05,0.70506,"Pre-Drought"
"1522","S1P5","C1",0.01705,0.67995,"Pre-Drought"
"1523","S1P2","C2",-0.00295,0.71927,"Pre-Drought"
