"","Label","Pyr","Flux","Time","Condition"
"380","S1P3","C1",0.01597,0.46581,"Drought"
"381","S2P1","C1",-0.00605,0.47435,"Drought"
"382","S2P3","C1",0.00375,0.49292,"Drought"
"383","S2P5","C1",-0.00565,0.43339,"Drought"
"384","S3P1","C1",0.00573,0.46361,"Drought"
"385","S3P3","C1",0.00441,0.46459,"Drought"
"386","S1P4","C2",-0.00461,-0.03403,"Drought"
"387","S1P6","C2",0.08228,0.50873,"Drought"
"388","S2P2","C2",0.05113,0.43356,"Drought"
"389","S2P4","C2",0.1206,0.47453,"Drought"
"390","S2P6","C2",0.02469,0.49311,"Drought"
"391","S3P4","C2",0.20925,0.46377,"Drought"
"392","S3P6","C2",0.07295,0.46478,"Drought"
"393","S1P2","W",-0.00544,0.38155,"Drought"
"394","S1P4","W",0.00695,0.38867,"Drought"
"395","S1P1","C1",0.00468,0.52355,"Drought"
"396","S1P3","C1",-0.00276,0.50854,"Drought"
"397","S2P1","C1",-0.00298,0.51705,"Drought"
"398","S2P3","C1",0.01468,0.53561,"Drought"
"399","S2P5","C1",-0.00344,0.469,"Drought"
"400","S3P1","C1",0.01947,0.50433,"Drought"
"401","S3P3","C1",-0.00216,0.50721,"Drought"
"402","S1P4","C2",0.00102,0.000521,"Drought"
"403","S2P2","C2",0.06971,0.46919,"Drought"
"404","S2P4","C2",0.17642,0.51722,"Drought"
"405","S3P4","C2",0.20374,0.50449,"Drought"
"406","S3P6","C2",0.06853,0.5074,"Drought"
"407","S1P2","W",0.000915,0.40292,"Drought"
"408","S1P4","W",0.00607,0.41005,"Drought"
"409","S2P5","C1",-0.0154,0.51169,"Drought"
"410","S3P1","C1",0.02117,0.53999,"Drought"
"411","S3P3","C1",-0.00497,0.54279,"Drought"
"412","S1P4","C2",0.00568,0.02187,"Drought"
"413","S2P2","C2",0.04755,0.51186,"Drought"
"414","S1P2","W",0.01031,0.42428,"Drought"
"415","S1P4","W",-0.00201,0.43141,"Drought"
"416","S1P4","C2",-0.00205,0.04328,"Drought"
"417","S1P2","W",-0.00571,0.45272,"Drought"
"418","S1P4","W",0.00146,0.45985,"Drought"
"419","S1P4","C2",-0.000697,0.06463,"Drought"
"420","S3P2","C2",0.10604,0.71392,"Drought"
"421","S1P2","W",-0.00222,0.4741,"Drought"
"422","S1P4","W",0.00571,0.48122,"Drought"
"423","S1P4","C2",0.00859,0.09302,"Drought"
"424","S3P2","C2",0.11857,0.75655,"Drought"
"425","S1P2","W",0.00212,0.49549,"Drought"
"426","S1P4","W",-7.6e-05,0.50262,"Drought"
