"","Label","Time","Time_Flux"
"316","S2P6.C2","time",-0.06207
"317","S3P2.C2","time",0.01473
"318","S3P2.C2","Flux",-0.00458
"319","S3P4.C2","time",-0.02773
"320","S3P4.C2","Flux",-1.04e-05
"321","S3P6.C2","time",-0.04285
"322","S3P6.C2","Flux",0.00867
"323","S1P2.W","time",-0.07093
"324","S1P4.W","time",-0.03534
"325","S1P4.W","Flux",0.00296
"326","S1P1.C1","time",0.000313
"327","S1P1.C1","Flux",0.00185
"328","S1P3.C1","time",-0.00744
"329","S1P3.C1","Flux",-0.00863
"330","S1P5.C1","time",-0.54042
"331","S1P5.C1","Flux",0.01147
"332","S2P1.C1","time",-0.00747
"333","S2P1.C1","Flux",-0.00912
"334","S2P3.C1","time",-0.00734
"335","S2P3.C1","Flux",0.00617
"336","S2P5.C1","time",-0.01947
"337","S2P5.C1","Flux",-0.01472
"338","S3P1.C1","time",-0.00745
"339","S3P1.C1","Flux",0.00411
"340","S3P3.C1","time",-0.00747
"341","S3P3.C1","Flux",0.00597
"342","S3P5.C1","time",0.03589
"343","S3P5.C1","Flux",-0.0122
"344","S1P2.C2","time",-0.54024
"345","S1P2.C2","Flux",0.00115
"346","S1P4.C2","time",-1.35723
"347","S1P4.C2","Flux",-0.000337
"348","S1P6.C2","time",0.01411
"349","S1P6.C2","Flux",-0.00426
"350","S2P2.C2","time",-0.01928
"351","S2P2.C2","Flux",0.00194
"352","S2P4.C2","time",-0.00728
"353","S2P4.C2","Flux",0.000951
"354","S2P6.C2","time",-0.00716
"355","S3P2.C2","time",0.03609
"356","S3P2.C2","Flux",-0.00738
"357","S3P4.C2","time",-0.00729
"358","S3P4.C2","Flux",0.000922
"359","S3P6.C2","time",-0.00729
"360","S3P6.C2","Flux",0.0101
"361","S1P2.W","time",-0.00985
"362","S1P2.W","Flux",-0.00417
"363","S1P4.W","time",-0.00274
"364","S1P4.W","Flux",0.0137
"365","S1P1.C1","time",0.02169
"366","S1P1.C1","Flux",0.00514
"367","S1P3.C1","time",0.01394
"368","S1P3.C1","Flux",0.00473
"369","S1P5.C1","time",-0.52617
"370","S1P5.C1","Flux",-0.00484
"371","S2P1.C1","time",0.01392
"372","S2P1.C1","Flux",0.0072
"373","S2P3.C1","time",0.01406
"374","S2P3.C1","Flux",-0.00803
"375","S2P5.C1","time",0.00191
"376","S2P5.C1","Flux",-0.00145
"377","S3P1.C1","time",0.01392
"378","S3P1.C1","Flux",-0.00182
"379","S3P3.C1","time",0.01389
"380","S3P3.C1","Flux",0.0067
"381","S3P5.C1","time",0.05726
"382","S3P5.C1","Flux",-0.00441
"383","S1P2.C2","time",-0.526
"384","S1P2.C2","Flux",0.000413
"385","S1P4.C2","time",-1.31461
"386","S1P4.C2","Flux",0.00663
"387","S1P6.C2","time",0.03546
"388","S1P6.C2","Flux",-0.00742
"389","S2P2.C2","time",0.00208
"390","S2P2.C2","Flux",0.00915
"391","S2P4.C2","time",0.0141
"392","S2P4.C2","Flux",-0.01059
"393","S2P6.C2","time",0.01427
"394","S3P2.C2","time",0.05745
"395","S3P2.C2","Flux",0.000119
"396","S3P4.C2","time",0.01409
"397","S3P4.C2","Flux",0.00658
"398","S3P6.C2","time",0.01407
"399","S3P6.C2","Flux",0.00339
"400","S1P2.W","time",0.0115
"401","S1P2.W","Flux",-0.00735
"402","S1P4.W","time",0.01862
"403","S1P4.W","Flux",-0.0027
"404","S1P1.C1","time",0.04309
"405","S1P1.C1","Flux",-0.00569
"406","S1P3.C1","time",0.03529
"407","S1P3.C1","Flux",0.01479
"408","S1P5.C1","time",-0.51193
"409","S1P5.C1","Flux",0.00915
"410","S2P1.C1","time",0.0353
"411","S2P1.C1","Flux",0.00749
"412","S2P3.C1","time",0.03544
"413","S2P3.C1","Flux",-0.00251
"414","S2P5.C1","time",0.02328
"415","S2P5.C1","Flux",0.00591
"416","S3P1.C1","time",0.03528
"417","S3P1.C1","Flux",0.00972
"418","S3P3.C1","time",0.03523
"419","S3P3.C1","Flux",0.00809
"420","S3P5.C1","time",0.08562
"421","S3P5.C1","Flux",-0.00312
"422","S1P2.C2","time",-0.51176
"423","S1P2.C2","Flux",0.00879
"424","S1P4.C2","time",-1.27897
"425","S1P4.C2","Flux",0.02013
"426","S1P6.C2","time",0.05681
"427","S1P6.C2","Flux",-0.00672
"428","S2P2.C2","time",0.02344
"429","S2P2.C2","Flux",-0.000715
"430","S2P4.C2","time",0.03547
"431","S2P4.C2","Flux",0.00472
"432","S2P6.C2","time",0.03564
"433","S3P2.C2","time",0.08583
"434","S3P2.C2","Flux",-0.00283
"435","S3P4.C2","time",0.03544
"436","S3P4.C2","Flux",0.00355
"437","S3P6.C2","time",0.03542
"438","S3P6.C2","Flux",0.000971
"439","S1P2.W","time",0.03288
"440","S1P2.W","Flux",0.0041
"441","S1P4.W","time",0.04
"442","S1P4.W","Flux",-0.00677
"443","S1P1.C1","time",0.06444
"444","S1P1.C1","Flux",0.00383
"445","S1P3.C1","time",0.05663
"446","S1P3.C1","Flux",0.02449
"447","S1P5.C1","time",-0.49065
"448","S1P5.C1","Flux",0.00793
"449","S2P1.C1","time",0.05667
"450","S2P1.C1","Flux",-0.00284
"451","S2P3.C1","time",0.05685
"452","S2P3.C1","Flux",-0.00527
"453","S2P5.C1","time",0.04463
"454","S2P5.C1","Flux",-0.00531
"455","S3P1.C1","time",0.05666
"456","S3P1.C1","Flux",0.00756
"457","S3P3.C1","time",0.05659
"458","S3P3.C1","Flux",-9.55e-06
"459","S3P5.C1","time",0.10699
"460","S3P5.C1","Flux",0.00123
"461","S1P2.C2","time",-0.49047
"462","S1P2.C2","Flux",0.00919
"463","S1P4.C2","time",-1.23634
"464","S1P4.C2","Flux",0.00702
"465","S1P6.C2","time",0.0852
"466","S1P6.C2","Flux",0.00428
"467","S2P2.C2","time",0.04481
"468","S2P2.C2","Flux",-0.00588
"469","S2P4.C2","time",0.05688
"470","S2P4.C2","Flux",0.0075
"471","S2P6.C2","time",0.05705
"472","S3P2.C2","time",0.10719
"473","S3P2.C2","Flux",0.01303
"474","S3P4.C2","time",0.05682
"475","S3P4.C2","Flux",0.00736
"476","S3P6.C2","time",0.05676
"477","S3P6.C2","Flux",-0.000665
"478","S1P2.W","time",0.05425
"479","S1P2.W","Flux",0.0065
"480","S1P4.W","time",0.06137
"481","S1P4.W","Flux",-0.01396
"482","S1P1.C1","time",0.09284
"483","S1P1.C1","Flux",0.01418
"484","S1P3.C1","time",0.08502
"485","S1P3.C1","Flux",0.01871
"486","S1P5.C1","time",-0.47641
"487","S1P5.C1","Flux",-0.01203
"488","S2P1.C1","time",0.08514
"489","S2P1.C1","Flux",0.00326
"490","S2P3.C1","time",0.08524
"491","S2P3.C1","Flux",0.02427
"492","S2P5.C1","time",0.07306
"493","S2P5.C1","Flux",0.00922
"494","S3P1.C1","time",0.08501
"495","S3P1.C1","Flux",0.02023
"496","S3P3.C1","time",0.08497
"497","S3P3.C1","Flux",0.00476
"498","S3P5.C1","time",0.12841
"499","S3P5.C1","Flux",0.00202
"500","S1P2.C2","time",-0.47624
"501","S1P2.C2","Flux",-0.00808
"502","S1P4.C2","time",-1.20071
"503","S1P4.C2","Flux",0.00305
"504","S1P6.C2","time",0.10655
"505","S1P6.C2","Flux",0.01145
"506","S2P2.C2","time",0.07324
"507","S2P2.C2","Flux",0.00373
"508","S2P4.C2","time",0.08531
"509","S2P4.C2","Flux",0.01006
"510","S2P6.C2","time",0.08544
"511","S2P6.C2","Flux",0.00931
"512","S3P2.C2","time",0.12861
"513","S3P2.C2","Flux",0.00481
"514","S3P4.C2","time",0.08517
"515","S3P4.C2","Flux",0.00727
"516","S3P6.C2","time",0.08515
"517","S3P6.C2","Flux",0.01103
"518","S1P2.W","time",0.08269
"519","S1P2.W","Flux",0.00149
"520","S1P4.W","time",0.08979
"521","S1P4.W","Flux",-0.00817
"522","S1P1.C1","time",0.1142
"523","S1P1.C1","Flux",0.01467
"524","S1P3.C1","time",0.10638
"525","S1P3.C1","Flux",0.02857
"526","S1P5.C1","time",-0.46218
"527","S1P5.C1","Flux",-0.000983
"528","S2P1.C1","time",0.10652
"529","S2P1.C1","Flux",0.02026
"530","S2P3.C1","time",0.10666
"531","S2P5.C1","time",0.0944
"532","S2P5.C1","Flux",0.01803
"533","S3P1.C1","time",0.10638
"534","S3P1.C1","Flux",0.0222
"535","S3P3.C1","time",0.10632
"536","S3P3.C1","Flux",-0.00768
"537","S3P5.C1","time",0.14977
"538","S3P5.C1","Flux",-0.00198
"539","S1P2.C2","time",-0.462
"540","S1P2.C2","Flux",-0.00461
"541","S1P4.C2","time",-1.15806
"542","S1P4.C2","Flux",-0.00486
"543","S1P6.C2","time",0.12789
"544","S2P2.C2","time",0.09457
"545","S2P2.C2","Flux",0.00718
"546","S2P4.C2","time",0.10669
"547","S2P4.C2","Flux",0.02422
"548","S2P6.C2","time",0.10683
"549","S2P6.C2","Flux",0.01299
"550","S3P2.C2","time",0.14997
"551","S3P2.C2","Flux",0.00796
"552","S3P4.C2","time",0.10654
"553","S3P4.C2","Flux",0.0123
"554","S3P6.C2","time",0.10649
"555","S3P6.C2","Flux",0.00102
"556","S1P2.W","time",0.10405
"557","S1P2.W","Flux",0.00394
"558","S1P4.W","time",0.11116
"559","S1P4.W","Flux",-0.000661
"560","S1P1.C1","time",0.13557
"561","S1P1.C1","Flux",0.03358
"562","S1P3.C1","time",0.12772
"563","S1P5.C1","time",-0.44794
"564","S1P5.C1","Flux",0.0134
"565","S2P1.C1","time",0.12791
"566","S2P1.C1","Flux",0.02617
"567","S2P3.C1","time",0.12799
"568","S2P3.C1","Flux",0.01906
"569","S2P5.C1","time",0.11575
"570","S2P5.C1","Flux",0.01333
"571","S3P1.C1","time",0.12774
"572","S3P1.C1","Flux",0.0305
"573","S3P3.C1","time",0.12765
"574","S3P3.C1","Flux",0.00712
"575","S3P5.C1","time",0.17817
"576","S3P5.C1","Flux",0.00659
"577","S1P2.C2","time",-0.44777
"578","S1P2.C2","Flux",-0.00481
"579","S1P4.C2","time",-1.12242
"580","S1P4.C2","Flux",0.00641
"581","S1P6.C2","time",0.14927
"582","S2P2.C2","time",0.11593
"583","S2P2.C2","Flux",0.01187
"584","S2P4.C2","time",0.12808
"585","S2P4.C2","Flux",0.01903
"586","S2P6.C2","time",0.12816
"587","S2P6.C2","Flux",0.00501
"588","S3P2.C2","time",0.17837
"589","S3P2.C2","Flux",0.00609
"590","S3P4.C2","time",0.12791
"591","S3P4.C2","Flux",0.00699
"592","S3P6.C2","time",0.12784
"593","S3P6.C2","Flux",0.00423
"594","S1P2.W","time",0.12542
"595","S1P2.W","Flux",-0.00198
"596","S1P4.W","time",0.13253
"597","S1P4.W","Flux",0.00344
"598","S1P1.C1","time",0.15692
"599","S1P1.C1","Flux",-0.00258
"600","S1P3.C1","time",0.1491
"601","S1P5.C1","time",-0.4337
"602","S1P5.C1","Flux",-0.00386
"603","S2P1.C1","time",0.14927
"604","S2P1.C1","Flux",0.00421
"605","S2P3.C1","time",0.14939
"606","S2P3.C1","Flux",0.02541
"607","S2P5.C1","time",0.13709
"608","S2P5.C1","Flux",0.01899
"609","S3P1.C1","time",0.14913
"610","S3P1.C1","Flux",0.0393
"611","S3P3.C1","time",0.149
"612","S3P3.C1","Flux",0.01393
"613","S3P5.C1","time",0.19959
"614","S3P5.C1","Flux",-0.02321
"615","S1P2.C2","time",-0.43353
"616","S1P2.C2","Flux",0.00069
"617","S1P4.C2","time",-1.07972
"618","S1P4.C2","Flux",0.00685
"619","S1P6.C2","time",0.17765
"620","S2P2.C2","time",0.13729
"621","S2P2.C2","Flux",0.00599
"622","S2P4.C2","time",0.14944
"623","S2P4.C2","Flux",0.02572
"624","S2P6.C2","time",0.14959
"625","S2P6.C2","Flux",0.01054
"626","S3P2.C2","time",0.19979
"627","S3P2.C2","Flux",0.01438
"628","S3P4.C2","time",0.14929
"629","S3P4.C2","Flux",0.00903
"630","S3P6.C2","time",0.14919
"631","S3P6.C2","Flux",0.01841
"632","S1P2.W","time",0.14679
"633","S1P2.W","Flux",-0.00406
"634","S1P4.W","time",0.15391
"635","S1P4.W","Flux",0.00556
"636","S1P1.C1","time",0.18535
"637","S1P1.C1","Flux",0.01046
"638","S1P3.C1","time",0.17748
