"","Label","Pyr","Flux","Time","Condition"
"112","S2P2","C2",-0.00415,-0.20068,"Drought"
"113","S2P4","C2",0.00428,-0.18646,"Drought"
"114","S3P4","C2",0.00753,-0.18434,"Drought"
"115","S3P6","C2",-0.00624,-0.19936,"Drought"
"116","S1P2","W",0.03961,-0.22748,"Drought"
"117","S1P4","W",0.01197,-0.19185,"Drought"
"118","S1P3","C1",-0.0099,-0.12244,"Drought"
"119","S1P5","C1",-0.00429,-0.56892,"Drought"
"120","S2P1","C1",-0.00681,-0.13689,"Drought"
"121","S2P3","C1",-0.00379,-0.1616,"Drought"
"122","S2P5","C1",0.0117,-0.15111,"Drought"
"123","S3P1","C1",-0.00777,-0.13472,"Drought"
"124","S3P3","C1",-0.00621,-0.14976,"Drought"
"125","S1P2","C2",0.00844,-0.56874,"Drought"
"126","S1P4","C2",0.00669,-1.43554,"Drought"
"127","S1P6","C2",-0.00359,-0.09373,"Drought"
"128","S2P4","C2",-0.00348,-0.10818,"Drought"
"129","S3P4","C2",0.00713,-0.10604,"Drought"
"130","S3P6","C2",0.00768,-0.12104,"Drought"
"131","S1P2","W",-0.00327,-0.14918,"Drought"
"132","S1P3","C1",-0.01461,-0.04409,"Drought"
"133","S1P5","C1",0.00612,-0.55466,"Drought"
"134","S2P1","C1",-0.0084,-0.05856,"Drought"
"135","S2P3","C1",-0.00331,-0.08523,"Drought"
"136","S3P1","C1",0.00693,-0.05639,"Drought"
"137","S3P3","C1",0.00163,-0.07152,"Drought"
"138","S3P5","C1",-0.00282,0.01455,"Drought"
"139","S1P2","C2",-0.00525,-0.55449,"Drought"
"140","S1P6","C2",-0.00421,-0.00727,"Drought"
"141","S2P4","C2",-0.00723,-0.02988,"Drought"
"142","S3P2","C2",-0.00458,0.01473,"Drought"
"143","S3P4","C2",-1.04e-05,-0.02773,"Drought"
"144","S3P6","C2",0.00867,-0.04285,"Drought"
"145","S1P4","W",0.00296,-0.03534,"Drought"
"146","S1P1","C1",0.00185,0.000313,"Drought"
"147","S1P3","C1",-0.00863,-0.00744,"Drought"
"148","S1P5","C1",0.01147,-0.54042,"Drought"
"149","S2P1","C1",-0.00912,-0.00747,"Drought"
"150","S2P3","C1",0.00617,-0.00734,"Drought"
"151","S2P5","C1",-0.01472,-0.01947,"Drought"
"152","S3P1","C1",0.00411,-0.00745,"Drought"
"153","S3P3","C1",0.00597,-0.00747,"Drought"
"154","S3P5","C1",-0.0122,0.03589,"Drought"
"155","S1P2","C2",0.00115,-0.54024,"Drought"
"156","S1P4","C2",-0.000337,-1.35723,"Drought"
"157","S1P6","C2",-0.00426,0.01411,"Drought"
"158","S2P2","C2",0.00194,-0.01928,"Drought"
"159","S2P4","C2",0.000951,-0.00728,"Drought"
"160","S3P2","C2",-0.00738,0.03609,"Drought"
"161","S3P4","C2",0.000922,-0.00729,"Drought"
"162","S3P6","C2",0.0101,-0.00729,"Drought"
"163","S1P2","W",-0.00417,-0.00985,"Drought"
"164","S1P4","W",0.0137,-0.00274,"Drought"
"165","S1P1","C1",0.00514,0.02169,"Drought"
"166","S1P3","C1",0.00473,0.01394,"Drought"
"167","S1P5","C1",-0.00484,-0.52617,"Drought"
"168","S2P1","C1",0.0072,0.01392,"Drought"
"169","S2P3","C1",-0.00803,0.01406,"Drought"
"170","S2P5","C1",-0.00145,0.00191,"Drought"
"171","S3P1","C1",-0.00182,0.01392,"Drought"
"172","S3P3","C1",0.0067,0.01389,"Drought"
"173","S3P5","C1",-0.00441,0.05726,"Drought"
"174","S1P2","C2",0.000413,-0.526,"Drought"
"175","S1P4","C2",0.00663,-1.31461,"Drought"
"176","S1P6","C2",-0.00742,0.03546,"Drought"
"177","S2P2","C2",0.00915,0.00208,"Drought"
"178","S2P4","C2",-0.01059,0.0141,"Drought"
"179","S3P2","C2",0.000119,0.05745,"Drought"
"180","S3P4","C2",0.00658,0.01409,"Drought"
"181","S3P6","C2",0.00339,0.01407,"Drought"
"182","S1P2","W",-0.00735,0.0115,"Drought"
"183","S1P4","W",-0.0027,0.01862,"Drought"
"184","S1P1","C1",-0.00569,0.04309,"Drought"
"185","S1P3","C1",0.01479,0.03529,"Drought"
"186","S1P5","C1",0.00915,-0.51193,"Drought"
"187","S2P1","C1",0.00749,0.0353,"Drought"
"188","S2P3","C1",-0.00251,0.03544,"Drought"
"189","S2P5","C1",0.00591,0.02328,"Drought"
"190","S3P1","C1",0.00972,0.03528,"Drought"
"191","S3P3","C1",0.00809,0.03523,"Drought"
"192","S3P5","C1",-0.00312,0.08562,"Drought"
"193","S1P2","C2",0.00879,-0.51176,"Drought"
"194","S1P4","C2",0.02013,-1.27897,"Drought"
"195","S1P6","C2",-0.00672,0.05681,"Drought"
"196","S2P2","C2",-0.000715,0.02344,"Drought"
"197","S2P4","C2",0.00472,0.03547,"Drought"
"198","S3P2","C2",-0.00283,0.08583,"Drought"
"199","S3P4","C2",0.00355,0.03544,"Drought"
"200","S3P6","C2",0.000971,0.03542,"Drought"
"201","S1P2","W",0.0041,0.03288,"Drought"
"202","S1P4","W",-0.00677,0.04,"Drought"
"203","S1P1","C1",0.00383,0.06444,"Drought"
"204","S1P3","C1",0.02449,0.05663,"Drought"
"205","S1P5","C1",0.00793,-0.49065,"Drought"
"206","S2P1","C1",-0.00284,0.05667,"Drought"
"207","S2P3","C1",-0.00527,0.05685,"Drought"
"208","S2P5","C1",-0.00531,0.04463,"Drought"
"209","S3P1","C1",0.00756,0.05666,"Drought"
"210","S3P3","C1",-9.55e-06,0.05659,"Drought"
"211","S3P5","C1",0.00123,0.10699,"Drought"
"212","S1P2","C2",0.00919,-0.49047,"Drought"
"213","S1P4","C2",0.00702,-1.23634,"Drought"
"214","S1P6","C2",0.00428,0.0852,"Drought"
"215","S2P2","C2",-0.00588,0.04481,"Drought"
"216","S2P4","C2",0.0075,0.05688,"Drought"
"217","S3P2","C2",0.01303,0.10719,"Drought"
"218","S3P4","C2",0.00736,0.05682,"Drought"
"219","S3P6","C2",-0.000665,0.05676,"Drought"
"220","S1P2","W",0.0065,0.05425,"Drought"
"221","S1P4","W",-0.01396,0.06137,"Drought"
"222","S1P1","C1",0.01418,0.09284,"Drought"
"223","S1P3","C1",0.01871,0.08502,"Drought"
"224","S1P5","C1",-0.01203,-0.47641,"Drought"
"225","S2P1","C1",0.00326,0.08514,"Drought"
"226","S2P3","C1",0.02427,0.08524,"Drought"
"227","S2P5","C1",0.00922,0.07306,"Drought"
"228","S3P1","C1",0.02023,0.08501,"Drought"
"229","S3P3","C1",0.00476,0.08497,"Drought"
"230","S3P5","C1",0.00202,0.12841,"Drought"
"231","S1P2","C2",-0.00808,-0.47624,"Drought"
"232","S1P4","C2",0.00305,-1.20071,"Drought"
"233","S1P6","C2",0.01145,0.10655,"Drought"
"234","S2P2","C2",0.00373,0.07324,"Drought"
"235","S2P4","C2",0.01006,0.08531,"Drought"
"236","S2P6","C2",0.00931,0.08544,"Drought"
"237","S3P2","C2",0.00481,0.12861,"Drought"
"238","S3P4","C2",0.00727,0.08517,"Drought"
"239","S3P6","C2",0.01103,0.08515,"Drought"
"240","S1P2","W",0.00149,0.08269,"Drought"
"241","S1P4","W",-0.00817,0.08979,"Drought"
"242","S1P1","C1",0.01467,0.1142,"Drought"
"243","S1P3","C1",0.02857,0.10638,"Drought"
"244","S1P5","C1",-0.000983,-0.46218,"Drought"
"245","S2P1","C1",0.02026,0.10652,"Drought"
"246","S2P5","C1",0.01803,0.0944,"Drought"
"247","S3P1","C1",0.0222,0.10638,"Drought"
"248","S3P3","C1",-0.00768,0.10632,"Drought"
"249","S3P5","C1",-0.00198,0.14977,"Drought"
"250","S1P2","C2",-0.00461,-0.462,"Drought"
