"","Label","Flux","Time"
"394","S3P3.C1",0.0224,0.30825
"395","S3P5.C1",-0.01156,0.40057
"396","S1P2.C2",0.000952,-0.34106
"397","S2P2.C2",0.03923,0.27701
"398","S2P4.C2",0.05619,0.31792
"399","S2P6.C2",-0.00494,0.33637
"400","S3P2.C2",0.00474,0.40076
"401","S3P4.C2",0.02086,0.31109
"402","S3P6.C2",0.01922,0.30844
"403","S1P2.W",0.00497,0.28903
"404","S1P4.W",0.00211,0.29615
"405","S1P1.C1",0.01687,0.36685
"406","S1P5.C1",0.000281,-0.327
"407","S2P1.C1",0.01327,0.36037
"408","S2P3.C1",0.01798,0.37888
"409","S2P5.C1",0.0159,0.31245
"410","S3P1.C1",0.07034,0.35156
"411","S3P3.C1",0.00693,0.35086
"412","S3P5.C1",-0.00132,0.44319
"413","S1P2.C2",-0.00455,-0.32683
"414","S1P6.C2",0.01062,0.38769
"415","S2P2.C2",0.03261,0.31264
"416","S2P4.C2",0.05547,0.36054
"417","S2P6.C2",0.0018,0.37907
"418","S3P2.C2",0.01749,0.44339
"419","S3P4.C2",0.01527,0.35172
"420","S3P6.C2",0.01489,0.35104
"421","S1P2.W",0.00475,0.31041
"422","S1P4.W",0.00634,0.31751
"423","S1P1.C1",0.01666,0.40251
"424","S1P3.C1",0.04615,0.38751
"425","S1P5.C1",-0.00224,-0.30572
"426","S2P1.C1",0.00704,0.39601
"427","S2P3.C1",0.01479,0.41454
"428","S2P5.C1",0.03089,0.35509
"429","S3P1.C1",0.04615,0.38725
"430","S3P3.C1",0.0116,0.38642
"431","S3P5.C1",0.00385,0.47883
"432","S1P2.C2",-0.01054,-0.30554
"433","S1P6.C2",-0.00408,0.43038
"434","S2P2.C2",0.03127,0.35528
"435","S2P4.C2",0.03799,0.39618
"436","S2P6.C2",0.0126,0.41473
"437","S3P2.C2",0.0108,0.47904
"438","S3P4.C2",0.00785,0.38741
"439","S3P6.C2",0.02364,0.38661
"440","S1P2.W",-0.000509,0.33176
"441","S1P4.W",0.00152,0.33888
"442","S1P1.C1",0.0231,0.44519
"443","S1P3.C1",0.02571,0.43021
"444","S1P5.C1",0.00899,-0.29148
"445","S2P1.C1",0.00809,0.43867
"446","S2P3.C1",0.01681,0.45725
"447","S2P5.C1",0.02136,0.39071
"448","S3P1.C1",0.0456,0.42795
"449","S3P3.C1",0.00802,0.429
"450","S3P5.C1",0.00205,0.52152
"451","S1P2.C2",-0.000116,-0.29131
"452","S1P6.C2",0.01764,0.466
"453","S2P2.C2",0.02315,0.39089
"454","S2P4.C2",0.05545,0.43884
"455","S2P6.C2",-0.00608,0.45744
"456","S3P2.C2",0.00974,0.52171
"457","S3P4.C2",0.02447,0.42811
"458","S3P6.C2",-0.00752,0.42919
"459","S1P2.W",0.00831,0.36017
"460","S1P4.W",0.00459,0.3673
"461","S1P1.C1",0.01986,0.48086
"462","S1P3.C1",0.04116,0.46581
"463","S1P5.C1",0.00223,-0.27725
"464","S2P1.C1",-0.00216,0.47435
"465","S2P3.C1",0.03102,0.49292
"466","S2P5.C1",0.00631,0.43339
"467","S3P1.C1",0.02727,0.46361
"468","S3P3.C1",-0.00567,0.46459
"469","S3P5.C1",0.00201,0.55713
"470","S1P2.C2",0.00163,-0.27707
"471","S1P4.C2",-0.00153,-0.03403
"472","S1P6.C2",0.00549,0.50873
"473","S2P2.C2",0.04138,0.43356
"474","S2P4.C2",0.04404,0.47453
"475","S2P6.C2",-0.000228,0.49311
"476","S3P2.C2",0.01238,0.55734
"477","S3P4.C2",0.00468,0.46377
"478","S3P6.C2",0.01641,0.46478
"479","S1P2.W",0.00513,0.38155
"480","S1P4.W",3.48e-05,0.38867
"481","S1P1.C1",0.00438,0.52355
"482","S1P3.C1",0.03567,0.50854
"483","S1P5.C1",0.0035,-0.26301
"484","S2P1.C1",0.02078,0.51705
"485","S2P3.C1",0.02592,0.53561
"486","S2P5.C1",0.00789,0.469
"487","S3P1.C1",0.01411,0.50433
"488","S3P3.C1",0.00795,0.50721
"489","S1P2.C2",-0.01343,-0.26284
"490","S1P4.C2",-0.00269,0.000521
"491","S1P6.C2",0.000647,0.54436
"492","S2P2.C2",0.03395,0.46919
"493","S2P4.C2",0.03317,0.51722
"494","S2P6.C2",0.00301,0.53581
"495","S3P4.C2",0.01213,0.50449
"496","S3P6.C2",0.01337,0.5074
"497","S1P2.W",0.00137,0.40292
"498","S1P4.W",0.00409,0.41005
"499","S1P1.C1",0.00475,0.55922
"500","S1P3.C1",0.03409,0.54418
"501","S1P5.C1",-0.00147,-0.24877
"502","S2P1.C1",0.00833,0.55272
"503","S2P3.C1",0.02705,0.5713
"504","S2P5.C1",0.00524,0.51169
"505","S3P1.C1",0.02567,0.53999
"506","S3P3.C1",0.0166,0.54279
"507","S1P2.C2",0.00248,-0.2486
"508","S1P4.C2",-0.00891,0.02187
"509","S2P2.C2",0.03736,0.51186
"510","S2P4.C2",0.02303,0.55289
"511","S2P6.C2",-0.000537,0.57149
"512","S3P2.C2",-0.00999,0.63566
"513","S3P4.C2",0.02143,0.54015
"514","S3P6.C2",0.00186,0.54297
"515","S1P2.W",-0.00693,0.42428
"516","S1P4.W",-0.00108,0.43141
"517","S1P1.C1",0.02145,0.60186
"518","S1P5.C1",-0.0219,-0.23454
"519","S2P5.C1",0.00772,0.5473
"520","S3P1.C1",0.02531,0.58073
"521","S3P3.C1",0.00506,0.58542
"522","S3P5.C1",-0.00234,0.67809
"523","S1P2.C2",0.00292,-0.23436
"524","S1P4.C2",0.00946,0.04328
"525","S2P2.C2",0.0324,0.54747
"526","S3P2.C2",-0.01093,0.67829
"527","S1P2.W",0.0062,0.45272
"528","S1P4.W",-0.00316,0.45985
"529","S1P1.C1",0.01769,0.63756
"530","S1P5.C1",0.00135,-0.21328
"531","S2P3.C1",0.01992,0.64958
"532","S2P5.C1",0.00346,0.58992
"533","S3P5.C1",-0.01727,0.71373
"534","S1P2.C2",-0.00231,-0.2131
"535","S1P4.C2",0.000571,0.06463
"536","S1P6.C2",0.00855,0.66541
"537","S2P6.C2",-0.00193,0.64976
"538","S3P2.C2",-0.00291,0.71392
"539","S1P2.W",0.00214,0.4741
"540","S1P4.W",0.00766,0.48122
"541","S1P1.C1",0.01527,0.6802
"542","S1P3.C1",0.03433,0.66522
"543","S1P5.C1",-0.00477,-0.19904
"544","S2P3.C1",0.03343,0.69226
"545","S3P1.C1",0.03194,0.65712
"546","S3P3.C1",-0.000133,0.66372
"547","S3P5.C1",0.00319,0.75635
"548","S1P2.C2",-0.00109,-0.19887
"549","S1P4.C2",0.01395,0.09302
"550","S1P6.C2",0.01296,0.70102
"551","S2P6.C2",-0.00666,0.69247
"552","S3P2.C2",0.01953,0.75655
"553","S3P4.C2",0.00598,0.65728
"554","S3P6.C2",0.01889,0.6639
"555","S1P2.W",0.00121,0.49549
"556","S1P4.W",0.00499,0.50262
"557","S1P1.C1",0.00901,0.71583
"558","S1P3.C1",0.01441,0.70084
"559","S1P5.C1",0.00191,-0.18479
"560","S2P3.C1",0.03055,0.72794
"561","S2P5.C1",0.01943,0.66815
"562","S3P1.C1",0.00827,0.69278
"563","S3P3.C1",0.00228,0.69938
"564","S3P5.C1",0.000674,0.79199
"565","S1P2.C2",0.00226,-0.18462
"566","S1P4.C2",0.00543,0.11439
"567","S1P6.C2",0.01339,0.74369
"568","S2P2.C2",0.02143,0.66833
"569","S2P6.C2",-0.00562,0.72814
"570","S3P2.C2",0.00151,0.79219
"571","S3P4.C2",0.02231,0.69294
"572","S3P6.C2",0.00643,0.69956
"573","S1P2.W",-0.01269,0.51685
"574","S1P4.W",-0.00163,0.52398
"575","S1P1.C1",0.00585,0.75846
"576","S1P3.C1",0.04369,0.74351
"577","S1P5.C1",0.00134,-0.17056
"578","S2P3.C1",0.03499,0.77064
"579","S2P5.C1",0.00852,0.70378
"580","S3P1.C1",0.00699,0.73351
"581","S3P3.C1",0.00324,0.74206
"582","S3P5.C1",-0.00103,0.83464
"583","S1P2.C2",0.000519,-0.17038
"584","S1P4.C2",-0.0116,0.13575
"585","S1P6.C2",0.01785,0.77927
"586","S2P2.C2",0.02136,0.70396
"587","S2P6.C2",-0.00583,0.77084
"588","S3P2.C2",0.00848,0.83484
"589","S3P4.C2",-0.00702,0.73367
"590","S3P6.C2",0.01327,0.74225
"591","S1P2.W",-0.000854,0.54524
"592","S1P4.W",-0.0143,0.55236
"593","S1P1.C1",0.00863,0.7941
"594","S1P3.C1",0.03651,0.7791
"595","S1P5.C1",0.00865,-0.15632
"596","S2P3.C1",0.03403,0.8063
"597","S2P5.C1",0.01112,0.74646
"598","S3P1.C1",0.01154,0.76918
"599","S3P3.C1",-0.00269,0.77772
"600","S3P5.C1",0.00422,0.87028
"601","S1P2.C2",0.01079,-0.15615
"602","S1P4.C2",-0.00188,0.15711
"603","S1P6.C2",0.02097,0.82191
"604","S2P2.C2",0.02435,0.74662
"605","S2P6.C2",0.0062,0.80649
"606","S3P2.C2",0.01719,0.87047
"607","S3P4.C2",0.01064,0.76934
"608","S3P6.C2",0.00948,0.77791
"609","S1P2.W",-0.00158,0.5666
"610","S1P4.W",0.00766,0.57373
"611","S1P1.C1",0.00949,0.83676
"612","S1P3.C1",0.02135,0.82172
"613","S1P5.C1",-0.01595,-0.14208
"614","S2P3.C1",0.03142,0.84902
"615","S2P5.C1",0.013,0.78206
"616","S3P1.C1",0.02088,0.8099
"617","S3P3.C1",0.00151,0.82037
"618","S3P5.C1",-8.37e-05,0.91292
"619","S1P2.C2",-0.00647,-0.14191
"620","S1P4.C2",0.01559,0.18553
"621","S1P6.C2",0.01244,0.85755
"622","S2P2.C2",0.02462,0.78223
"623","S2P6.C2",-0.00276,0.8492
"624","S3P2.C2",0.00305,0.91312
"625","S3P4.C2",0.01997,0.81006
"626","S3P6.C2",0.01148,0.82056
"627","S1P1.C1",0.01817,0.8724
"628","S1P3.C1",0.01935,0.85736
"629","S1P5.C1",-0.000456,-0.12081
"630","S2P3.C1",0.02787,0.88469
"631","S2P5.C1",0.00373,0.82473
"632","S3P1.C1",0.02822,0.84558
"633","S3P3.C1",0.00337,0.85601
"634","S3P5.C1",0.00809,0.94856
"635","S1P2.C2",0.00921,-0.12064
"636","S1P4.C2",0.01117,0.20691
"637","S1P6.C2",0.01149,0.90022
"638","S2P2.C2",0.02186,0.82491
"639","S2P6.C2",-0.00338,0.88488
"640","S3P2.C2",0.000311,0.94875
"641","S3P4.C2",0.01032,0.84574
"642","S3P6.C2",0.00226,0.85619
"643","S1P1.C1",0.01723,0.91507
"644","S1P3.C1",0.02063,0.90003
"645","S1P5.C1",-0.00178,-0.10657
"646","S2P3.C1",0.02286,0.92742
"647","S2P5.C1",0.00255,0.86036
"648","S3P1.C1",0.02749,0.88627
