Feature,Kingdom,Phylum,Class,Order,Family,Genus
x363,Eukaryota,Zoopagomycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus
x723,Eukaryota,Zoopagomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Coemansia
x743,Eukaryota,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Conidiobolus
x1625,Eukaryota,Zoopagomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Linderina
x1746,Eukaryota,Zoopagomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Martensiomyces
x1994,Eukaryota,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Neoconidiobolus
x2487,Eukaryota,Zoopagomycota,unclassified,Ramicandelaberales,Ramicandelaberaceae,Ramicandelaber
x103,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
x598,Bacteria,Verrucomicrobia,Spartobacteria,unclassified,unclassified,Candidatus_Xiphinematobacter
x635,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Cephaloticoccus
x691,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
x754,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita
x1167,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Geminisphaera
x1284,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula
x1556,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Lacunisphaera
x1820,Bacteria,Verrucomicrobia,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum
x2016,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Nibricoccus
x2105,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
x2223,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobia_subdivision_3,Pedosphaera
x2385,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter
x2563,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium
x2584,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea
x3127,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium
x43,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Acionnavirus
x71,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Aegirvirus
x1459,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Jilinvirus
x1483,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Kembevirus
x1631,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Lirvirus
x2007,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Nerrivikvirus
x2353,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Pontusvirus
x2361,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Poseidonvirus
x3218,Bacteria,unknown,unknown,unknown,unknown,unknown
x649,Viruses,unclassified_phages,Caudoviricetes,Caudovirales,Myoviridae,Charybdisvirus
x1086,Viruses,unclassified_phages,Caudoviricetes,Caudovirales,Podoviridae,Fipvunavirus
x1474,Viruses,unclassified_phages,Caudoviricetes,Caudovirales,Myoviridae,Kanaloavirus
x321,Eukaryota,unclassified,Pelagophyceae,Pelagomonadales,unclassified,Aureococcus
x516,Bacteria,unclassified,Candidatus_Babeliae,Candidatus_Babeliales,Candidatus_Babeliaceae,Candidatus_Babela
x971,Eukaryota,unclassified,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus
x1907,Eukaryota,unclassified,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga
x2645,Eukaryota,unclassified,Choanoflagellata,Craspedida,Salpingoecidae,Salpingoeca
x2946,Eukaryota,unclassified,unclassified,unclassified,Apusomonadidae,Thecamonas
x838,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Defluviitoga
x1073,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium
x1186,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Geotoga
x1515,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga
x1728,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga
x1775,Bacteria,Thermotogae,Thermotogae,Mesoaciditogales,Mesoaciditogaceae,Mesoaciditoga
x1782,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga
x2079,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Oceanotoga
x2256,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Petrotoga
x2447,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga
x2997,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho
x3005,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga
x486,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium
x2970,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator
x2972,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium
x3001,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermosulfurimonas
x561,Archaea,Thaumarchaeota,Nitrososphaeria,Candidatus_Nitrosocaldales,Candidatus_Nitrosocaldaceae,Candidatus_Nitrosocaldus
x562,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrosocosmicus
x564,Archaea,Thaumarchaeota,unclassified,unclassified,unclassified,Candidatus_Nitrosotalea
x565,Archaea,Thaumarchaeota,unclassified,unclassified,unclassified,Candidatus_Nitrosotenuis
x2033,Archaea,Thaumarchaeota,unclassified,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus
x2034,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera
x19,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
x212,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma
x534,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus_Hepatoplasma
x537,Bacteria,Tenericutes,unclassified,unclassified,unclassified,Candidatus_Izimaplasma
x574,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus_Phytoplasma
x1017,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Entomoplasma
x1302,Bacteria,Tenericutes,Mollicutes,Haloplasmatales,Haloplasmataceae,Haloplasma
x1780,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma
x1944,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma
x1945,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasmopsis
x2793,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma
x3104,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma
x17,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium
x176,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminiphilus
x177,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminivibrio
x179,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminobacterium
x180,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminomonas
x710,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus
x924,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Dethiosulfovibrio
x1464,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Jonquetella
x2468,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Pyramidobacter
x2872,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistes
x2952,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermanaerovibrio
x3007,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermovirga
x258,Eukaryota,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia
x268,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis
x410,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Boechera
x429,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Brachypodium
x603,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Capsella
x703,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus
x1028,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Phrymaceae,Erythranthe
x1034,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus
x1039,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Eutrema
x1122,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria
x1214,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine
x1223,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium
x1698,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Manihot
x2155,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Panicum
x2267,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus
x2290,Eukaryota,Streptophyta,Bryopsida,Funariales,Funariaceae,Physcomitrium
x2355,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus
x2396,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus
x2534,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus
x2643,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix
x2698,Eukaryota,Streptophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella
x2713,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Setaria
x2764,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum
x2773,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Sorghum
x2792,Eukaryota,Streptophyta,Magnoliopsida,Alismatales,Araceae,Spirodela
x3138,Eukaryota,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis
x3204,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea
x1344,Viruses,ssRNA_viruses,Flasuviricetes,Amarillovirales,Flaviviridae,Hepacivirus
x141,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Alkalispirochaeta
x419,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia
x420,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella
x430,Bacteria,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira
x441,Bacteria,Spirochaetes,Spirochaetia,Brevinematales,Brevinemataceae,Brevinema
x1593,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptonema
x1594,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira
x2634,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Salinispira
x2692,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sediminispirochaeta
x2779,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Sphaerochaetaceae,Sphaerochaeta
x2791,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta
x3065,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema
x3094,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Turneriella
x2581,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubricoccus
x2586,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubrivirga
x13,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter
x20,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Achromatium
x21,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
x26,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter
x29,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium
x33,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus
x36,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella
x37,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidomonas
x40,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
x42,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
x44,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Actibacterium
x47,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
x69,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella
x77,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
x79,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter
x81,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Aestuariispira
x82,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aestuariivita
x83,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Afifellaceae,Afifella
x84,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Afipia
x85,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agaribacterium
x87,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agarilytica
x88,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans
x91,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
x93,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Agitococcus
x96,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium
x100,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Ahrensiaceae,Ahrensia
x101,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Aidingimonas
x105,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albidovulum
x106,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albimonas
x107,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes
x108,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
x111,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Algicoccus
x112,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Algicola
x113,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Algiphilaceae,Algiphilus
x116,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aliagarivorans
x117,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Aliarcobacter
x118,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus
x121,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Aliidiomarina
x123,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aliiglaciecola
x124,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aliihoeflea
x125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aliiroseovarius
x126,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
x127,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alishewanella
x137,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola
x138,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,Alkalimonas
x140,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalispirillum
x143,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges
x144,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Allgaiera
x148,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Allochromatium
x149,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Allofrancisella
x162,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Alsobacteraceae,Alsobacter
x163,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter
x167,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Alteriqipengyuania
x169,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
x171,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Alysiella
x173,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Amantichitinum
x178,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aminobacter
x185,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Acuticoccaceae,Amorphus
x188,Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Amphiplicatus
x189,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea
x191,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter
x198,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum
x210,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter
x225,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma
x227,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Ancylobacter
x231,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Andreprevotia
x235,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Angulomicrobium
x237,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Annwoodia
x242,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Antarctobacter
x251,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Aquabacter
x252,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,Aquabacterium
x253,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aquamicrobium
x254,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquaspirillum
x255,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
x261,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aquimixticola
x262,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Aquimonas
x263,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,Aquincola
x265,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Aquisalimonas
x266,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquitalea
x271,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Geminicoccaceae,Arboricoccus
x274,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium
x276,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
x280,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella
x281,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas
x284,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Arhodomonas
x285,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum
x288,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus
x289,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Arsukibacterium
x294,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Asaia
x302,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis
x303,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Atlantibacter
x312,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Aurantiacibacter
x314,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Aurantimonas
x317,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Aureimonas
x331,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium
x333,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus
x334,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Azohydromonas
x335,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azomonas
x336,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Azonexus
x337,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Azorhizobium
x338,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira
x339,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum
x340,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter
x341,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azovibrio
x347,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bacterioplanes
x348,Bacteria,Proteobacteria,Oligoflexia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax
x353,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Balneatrichaceae,Balneatrix
x361,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella
x362,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Basfia
x364,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Basilea
x367,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,unclassified,Bauldia
x370,Bacteria,Proteobacteria,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
x373,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Beggiatoa
x374,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Beijerinckia
x377,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Belnapia
x380,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Bergeriella
x383,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bermanella
x391,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bibersteinia
x392,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Bieblia
x395,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila
x396,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Bruguierivoracaceae,Biostraticola
x398,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bisgaardia
x403,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Blastochloridaceae,Blastochloris
x405,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas
x413,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bombella
x418,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella
x421,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Boseaceae,Bosea
x422,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Boseongicola
x428,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Brachymonas
x431,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Brackiella
x432,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas
x433,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium
x436,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria
x437,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Cohaesibacteraceae,Breoghania
x442,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Brevirhabdus
x443,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
