Sample,Pyruv,Condition,Type,Time,Flux
S3P4,C2,pre-drought,sample,0.14611,13.02237
S1P2,C2,pre-drought,sample,-0.99909,13.04565
S1P1,C1,drought,sample,-0.61112,13.05098
S3P1,C1,drought,sample,1.78493,13.05785
S1P3,C1,pre-drought,sample,0.34196,13.12225
S1P2,C2,pre-drought,sample,-0.03307,13.15272
S3P1,C1,drought,sample,-0.52626,13.1756
S3P4,C2,pre-drought,sample,1.33362,13.21356
S1P3,C1,pre-drought,sample,1.71348,13.22203
S1P5,C1,pre-drought,sample,0.36713,13.22694
S2P3,C1,pre-drought,sample,0.13639,13.2288
S2P6,C2,drought,sample,0.10683,13.24428
S3P6,C2,drought,sample,1.05196,13.2773
S2P7,C1,pre-drought,sample,1.74578,13.28756
S2P8,C2,pre-drought,sample,1.3755,13.2882
S1P6,C2,pre-drought,sample,0.03545,13.31877
S1P3,C1,pre-drought,sample,4.12883,13.33273
