Sample,Pyruv,Condition,Type,Time,Flux
S1P3,C1,drought,sample,-0.2792,4.82157
S3P1,C1,pre-drought,sample,0.01405,4.87893
S1P3,C1,pre-drought,sample,0.01385,4.8795
S2P2,C2,drought,sample,0.13729,4.91635
S1P3,C1,pre-drought,sample,-0.56583,4.92496
S1.4W,C2,drought,water,0.48122,4.92549
S1P5,C1,drought,sample,-0.52617,4.93622
S1P5,C1,drought,sample,1.09988,4.93977
S1P1,C1,pre-drought,sample,-0.55352,4.96021
S2P7,C1,pre-drought,sample,1.90244,4.96568
S1P3,C1,drought,sample,1.52147,4.96905
S1P5,C1,pre-drought,sample,0.44188,4.97984
S2P1,C1,pre-drought,sample,0.41803,4.99587
S3P2,C2,pre-drought,sample,0.14557,5.00067
S1.4W,C2,drought,water,0.41005,5.02842
S3P4,C2,pre-drought,sample,1.0974,5.06558
S1P3,C1,drought,sample,0.01394,5.07506
S3P6,C2,pre-drought,sample,1.39934,5.09479
S3P6,C2,pre-drought,sample,1.35662,5.10708
S2P5,C1,drought,sample,1.97457,5.13201
S2P8,C2,pre-drought,sample,1.79918,5.13866
S1P4,C2,pre-drought,sample,0.90942,5.16821
S2P4,C2,pre-drought,sample,0.30286,5.1745
S1.4W,C2,drought,water,0.38867,5.18148
S1P2,C2,pre-drought,sample,0.75481,5.21326
S2P1,C1,pre-drought,sample,0.30267,5.22699
S1P5,C1,pre-drought,sample,0.17713,5.26945
S2P1,C1,drought,sample,1.19959,5.27003
S1P5,C1,pre-drought,sample,0.01309,5.28132
S1.4W,C2,drought,water,1.01481,5.31617
S2P1,C1,pre-drought,sample,1.81303,5.34671
S2P5,C1,drought,sample,1.23455,5.37368
S2P8,C2,pre-drought,sample,1.04301,5.37734
S1P4,C2,pre-drought,sample,1.71804,5.42167
S2P1,C1,pre-drought,sample,0.34326,5.42709
S1P5,C1,pre-drought,sample,1.07046,5.44467
S1P2,C2,drought,sample,-0.61851,5.46192
S3P6,C2,pre-drought,sample,-0.24769,5.51835
S1P5,C1,pre-drought,sample,0.7938,5.54447
S1P5,C1,pre-drought,sample,1.45037,5.55969
S1P4,C2,pre-drought,sample,1.15325,5.58188
S3P1,C1,pre-drought,sample,1.80303,5.58697
S1P4,C2,pre-drought,sample,0.53531,5.60463
S1P6,C2,drought,sample,0.0852,5.63952
S1P1,C1,drought,sample,0.44519,5.66425
S2P8,C2,pre-drought,sample,0.71196,5.68639
S3P1,C1,pre-drought,sample,-0.09791,5.71339
S2P6,C2,pre-drought,sample,0.12477,5.72792
S3P2,C2,pre-drought,sample,1.84204,5.75724
S1P3,C1,drought,sample,1.83464,5.76928
S2P3,C1,drought,sample,1.83597,5.79392
S1P3,C1,pre-drought,sample,0.03525,5.81069
S3P5,C1,pre-drought,sample,0.40043,5.81338
S3P1,C1,drought,sample,0.73351,5.81964
S1P5,C1,pre-drought,sample,-0.46416,5.82737
S1P1,C1,pre-drought,sample,1.86758,5.8343
S1P3,C1,pre-drought,sample,1.863,5.84015
S3P3,C1,drought,sample,1.91726,5.84196
S3P1,C1,drought,sample,0.03528,5.84667
S1P3,C1,pre-drought,sample,0.37762,5.84749
S1.2W,C2,drought,water,0.08269,5.87816
