S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.09284,0.00558,0.08502,-0.0079,-0.47641,-0.00313,0.08514,-0.00163,0.08524,0.00553,0.07306,0.01669,0.08501,0.00764,0.08497,-0.01438,0.12841,5.72E-04,-0.47624,0.0288,-1.20071,0.00757,0.10655,-0.00162,0.07324,-0.00177,0.08531,0.0077,0.08544,-0.00288,0.12861,0.01005,0.08517,0.01225,0.08515,-0.0027,0.08269,0.00623,0.08979,0.00746
0.1142,0.01437,0.10638,0.01139,-0.46218,0.00334,0.10652,0.00498,0.10666,,0.0944,0.01494,0.10638,0.01356,0.10632,-0.01165,0.14977,-0.03322,-0.462,-0.00844,-1.15806,0.01089,0.12789,,0.09457,0.01071,0.10669,0.02351,0.10683,0.00642,0.14997,0.00953,0.10654,-4.97E-06,0.10649,0.01229,0.10405,0.00489,0.11116,0.00975
0.13557,0.00235,0.12772,,-0.44794,8.15E-04,0.12791,0.00664,0.12799,0.00766,0.11575,-0.00721,0.12774,0.0304,0.12765,-0.00126,0.17817,-0.00797,-0.44777,-0.00939,-1.12242,0.02002,0.14927,,0.11593,0.02963,0.12808,0.01353,0.12816,0.00821,0.17837,0.00688,0.12791,-0.00665,0.12784,0.00346,0.12542,0.0126,0.13253,0.00767
0.15692,0.01001,0.1491,,-0.4337,-5.02E-04,0.14927,8.90E-04,0.14939,0.00929,0.13709,-0.00167,0.14913,0.0207,0.149,-0.00497,0.19959,0.00394,-0.43353,0.06082,-1.07972,0.01868,0.17765,,0.13729,0.01425,0.14944,0.01698,0.14959,-0.00189,0.19979,0.02011,0.14929,0.01678,0.14919,0.00773,0.14679,0.00766,0.15391,4.70E-04
0.18535,0.02005,0.17748,,-0.41947,0.00377,0.17767,0.00494,0.17779,0.01438,0.16552,0.01955,0.17752,0.05644,0.17743,0.00376,0.22095,-0.00759,-0.41929,4.66E-04,-1.04414,0.02068,0.19903,,0.16569,0.00685,0.17788,0.05053,0.178,-0.00789,0.22113,0.04156,0.17769,0.03345,0.17762,0.0125,0.1752,0.01292,0.18228,0.01309
0.20671,0.02724,0.19885,,-0.39818,0.00454,0.19904,0.01016,0.19922,0.00489,0.1869,0.00478,0.1989,0.04979,0.19877,-0.00548,0.24229,8.36E-04,-0.39801,-0.01034,-0.66071,-0.00977,0.22041,,0.18707,0.01419,0.19921,0.03225,0.19939,-7.26E-04,0.24249,0.0183,0.19906,0.01723,0.19896,0.00425,0.19653,0.011,0.20363,-0.01023
0.2281,0.01339,0.22023,,-0.38395,0.00372,0.22045,0.01712,0.22056,0.00599,0.20826,0.02579,0.22025,0.0399,0.22015,0.00457,0.28663,-0.00423,-0.38377,0.00156,-0.58242,-0.00488,0.24182,,0.20841,0.03348,0.22064,0.03349,0.22075,0.00381,0.28683,0.02519,0.22042,0.02362,0.22032,0.0145,0.21788,0.02045,0.225,0.02717
0.24948,0.01712,0.24164,,-0.36971,0.00103,0.24183,-0.00752,0.24199,0.01731,0.22959,0.01331,0.24164,0.04938,0.24149,-0.0098,0.32222,0.00562,-0.36954,,-0.50404,-0.0275,0.27385,,0.22976,0.02842,0.242,0.03852,0.24215,0.00911,0.32242,0.01863,0.24182,0.0381,0.24168,0.01161,0.23924,0.01368,0.24638,0.00639
0.28852,0.01702,0.27368,,-0.35547,0.00433,0.28213,0.00314,0.30049,0.0025,0.258,0.01611,0.27527,0.05628,0.27263,-0.00457,0.36493,0.00206,-0.3553,,-0.42568,,0.30943,0.00473,0.25817,0.02569,0.2823,0.03341,0.30069,-0.00124,0.36513,0.03007,0.27543,0.03257,0.27281,0.00767,0.26766,0.00474,0.27479,0.00825
0.3242,0.00582,0.30926,0.03864,-0.34124,0.00669,0.31774,0.01237,0.33616,0.00713,0.27683,0.01558,0.31093,0.04095,0.30825,8.47E-04,0.40057,-0.02073,-0.34106,,-0.3473,,0.35209,,0.27701,0.02439,0.31792,0.04308,0.33637,0.00244,0.40076,0.01958,0.31109,0.01091,0.30844,0.00716,0.28903,0.00606,0.29615,0.01645
