S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.09284,0.01418,0.08502,0.01871,-0.47641,-0.01203,0.08514,0.00326,0.08524,0.02427,0.07306,0.00922,0.08501,0.02023,0.08497,0.00476,0.12841,2.02E-03,-0.47624,-0.00808,-1.20071,0.00305,0.10655,0.01145,0.07324,0.00373,0.08531,0.01006,0.08544,0.00931,0.12861,0.00481,0.08517,0.00727,0.08515,0.01103,0.08269,0.00149,0.08979,-0.00817
0.1142,0.01467,0.10638,0.02857,-0.46218,-9.83E-04,0.10652,0.02026,0.10666,,0.0944,0.01803,0.10638,0.0222,0.10632,-0.00768,0.14977,-0.00198,-0.462,-0.00461,-1.15806,-0.00486,0.12789,,0.09457,0.00718,0.10669,0.02422,0.10683,0.01299,0.14997,0.00796,0.10654,1.23E-02,0.10649,0.00102,0.10405,0.00394,0.11116,-6.61E-04
0.13557,0.03358,0.12772,,-0.44794,1.34E-02,0.12791,0.02617,0.12799,0.01906,0.11575,0.01333,0.12774,0.0305,0.12765,0.00712,0.17817,0.00659,-0.44777,-0.00481,-1.12242,0.00641,0.14927,,0.11593,0.01187,0.12808,0.01903,0.12816,0.00501,0.17837,0.00609,0.12791,0.00699,0.12784,0.00423,0.12542,-0.00198,0.13253,0.00344
0.15692,-0.00258,0.1491,,-0.4337,-3.86E-03,0.14927,4.21E-03,0.14939,0.02541,0.13709,0.01899,0.14913,0.0393,0.149,0.01393,0.19959,-0.02321,-0.43353,6.90E-04,-1.07972,0.00685,0.17765,,0.13729,0.00599,0.14944,0.02572,0.14959,0.01054,0.19979,0.01438,0.14929,0.00903,0.14919,0.01841,0.14679,-0.00406,0.15391,5.56E-03
0.18535,0.01046,0.17748,,-0.41947,0.00884,0.17767,-0.00351,0.17779,0.033,0.16552,0.01557,0.17752,0.03492,0.17743,-0.00119,0.22095,0.01055,-0.41929,-4.70E-03,-1.04414,0.00463,0.19903,,0.16569,0.02212,0.17788,0.03352,0.178,0.00147,0.22113,0.01232,0.17769,0.01245,0.17762,0.00913,0.1752,-0.0021,0.18228,-6.87E-04
0.20671,0.0102,0.19885,,-0.39818,-0.0045,0.19904,8.23E-04,0.19922,0.02914,0.1869,0.01832,0.1989,0.03577,0.19877,0.0078,0.24229,-2.91E-03,-0.39801,0.00101,-0.66071,-0.00867,0.22041,,0.18707,0.02079,0.19921,0.00801,0.19939,-8.56E-04,0.24249,0.0199,0.19906,0.03578,0.19896,0.0139,0.19653,-0.00601,0.20363,0.00747
0.2281,0.01914,0.22023,,-0.38395,0.00178,0.22045,0.00928,0.22056,0.03059,0.20826,0.01852,0.22025,0.04239,0.22015,0.02377,0.28663,-0.00473,-0.38377,-0.00932,-0.58242,0.00849,0.24182,,0.20841,0.01269,0.22064,0.01986,0.22075,-0.00233,0.28683,0.02637,0.22042,0.03017,0.22032,0.009,0.21788,0.00837,0.225,0.00417
0.24948,0.03902,0.24164,,-0.36971,-0.01515,0.24183,0.00963,0.24199,0.03317,0.22959,0.02601,0.24164,0.07358,0.24149,0.01225,0.32222,-0.01159,-0.36954,0.00181,-0.50404,0.00565,0.27385,,0.22976,0.02384,0.242,0.05092,0.24215,0.00491,0.32242,-3.64E-04,0.24182,0.01743,0.24168,0.02004,0.23924,-0.00614,0.24638,4.62E-04
0.28852,0.02153,0.27368,,-0.35547,0.00441,0.28213,0.01027,0.30049,0.06149,0.258,0.02026,0.27527,0.04693,0.27263,0.00923,0.36493,-0.00388,-0.3553,0.00406,-0.42568,3.35E-04,0.30943,0.01047,0.25817,0.03176,0.2823,0.05405,0.30069,0.00309,0.36513,0.0091,0.27543,0.00644,0.27281,0.01783,0.26766,0.01326,0.27479,0.00979
0.3242,0.03252,0.30926,0.03546,-0.34124,0.00365,0.31774,0.0033,0.33616,0.03098,0.27683,0.02471,0.31093,0.0736,0.30825,2.24E-02,0.40057,-0.01156,-0.34106,9.52E-04,-0.3473,,0.35209,,0.27701,0.03923,0.31792,0.05619,0.33637,-0.00494,0.40076,0.00474,0.31109,0.02086,0.30844,0.01922,0.28903,0.00497,0.29615,0.00211
0.36685,0.01687,0.35191,,-0.327,2.81E-04,0.36037,0.01327,0.37888,0.01798,0.31245,0.0159,0.35156,0.07034,0.35086,0.00693,0.44319,-0.00132,-0.32683,-0.00455,-0.26895,,0.38769,0.01062,0.31264,0.03261,0.36054,0.05547,0.37907,0.0018,0.44339,0.01749,0.35172,0.01527,0.35104,0.01489,0.31041,0.00475,0.31751,0.00634
0.40251,0.01666,0.38751,0.04615,-0.30572,-0.00224,0.39601,0.00704,0.41454,0.01479,0.35509,0.03089,0.38725,0.04615,0.38642,0.0116,0.47883,0.00385,-0.30554,-0.01054,-0.19067,,0.43038,-0.00408,0.35528,0.03127,0.39618,0.03799,0.41473,1.26E-02,0.47904,0.0108,0.38741,0.00785,0.38661,0.02364,0.33176,-5.09E-04,0.33888,0.00152
0.44519,2.31E-02,0.43021,0.02571,-0.29148,0.00899,0.43867,0.00809,0.45725,0.01681,0.39071,0.02136,0.42795,0.0456,0.429,0.00802,0.52152,0.00205,-0.29131,-1.16E-04,-0.11238,,0.466,0.01764,0.39089,0.02315,0.43884,0.05545,0.45744,-0.00608,0.52171,0.00974,0.42811,0.02447,0.42919,-0.00752,0.36017,8.31E-03,0.3673,0.00459
0.48086,0.01986,0.46581,0.04116,-0.27725,2.23E-03,0.47435,-0.00216,0.49292,0.03102,0.43339,0.00631,0.46361,0.02727,0.46459,-0.00567,0.55713,0.00201,-0.27707,0.00163,-0.03403,-0.00153,0.50873,0.00549,0.43356,0.04138,0.47453,0.04404,0.49311,-2.28E-04,0.55734,0.01238,0.46377,0.00468,0.46478,0.01641,0.38155,0.00513,0.38867,3.48E-05
0.52355,0.00438,0.50854,0.03567,-0.26301,0.0035,0.51705,0.02078,0.53561,0.02592,0.469,0.00789,0.50433,0.01411,0.50721,7.95E-03,0.59984,,-0.26284,-0.01343,5.21E-04,-0.00269,0.54436,6.47E-04,0.46919,0.03395,0.51722,0.03317,0.53581,0.00301,0.60003,,0.50449,0.01213,0.5074,0.01337,0.40292,0.00137,0.41005,0.00409
0.55922,0.00475,0.54418,0.03409,-0.24877,-1.47E-03,0.55272,0.00833,0.5713,0.02705,0.51169,0.00524,0.53999,0.02567,0.54279,1.66E-02,0.63549,,-0.2486,0.00248,0.02187,-8.91E-03,0.58706,,0.51186,0.03736,0.55289,0.02303,0.57149,-5.37E-04,0.63566,-0.00999,0.54015,0.02143,0.54297,0.00186,0.42428,-0.00693,0.43141,-0.00108
0.60186,0.02145,0.58686,,-0.23454,-2.19E-02,0.59539,,0.61397,,0.5473,0.00772,0.58073,0.02531,0.58542,0.00506,0.67809,-0.00234,-0.23436,0.00292,0.04328,0.00946,0.62271,,0.54747,0.0324,0.59558,,0.61418,,0.67829,-0.01093,0.58089,,0.58559,,0.45272,0.0062,0.45985,-0.00316
0.63756,0.01769,0.62252,,-0.21328,0.00135,0.63111,,0.64958,0.01992,0.58992,0.00346,0.6164,,0.62101,,0.71373,-0.01727,-0.2131,-0.00231,0.06463,5.71E-04,0.66541,0.00855,0.59008,,0.63131,,0.64976,-0.00193,0.71392,-0.00291,0.6166,,0.62119,,0.4741,0.00214,0.48122,7.66E-03
0.6802,0.01527,0.66522,0.03433,-0.19904,-0.00477,0.67377,,0.69226,0.03343,0.62546,,0.65712,0.03194,0.66372,-1.33E-04,0.75635,0.00319,-0.19887,-0.00109,0.09302,0.01395,0.70102,0.01296,0.62566,,0.67398,,0.69247,-0.00666,0.75655,0.01953,0.65728,0.00598,0.6639,0.01889,0.49549,0.00121,0.50262,0.00499
0.71583,0.00901,0.70084,0.01441,-0.18479,0.00191,0.70944,,0.72794,0.03055,0.66815,0.01943,0.69278,0.00827,0.69938,0.00228,0.79199,6.74E-04,-0.18462,0.00226,0.11439,0.00543,0.74369,0.01339,0.66833,0.02143,0.70962,,0.72814,-0.00562,0.79219,0.00151,0.69294,0.02231,0.69956,0.00643,0.51685,-0.01269,0.52398,-0.00163
0.75846,0.00585,0.74351,0.04369,-0.17056,0.00134,0.75212,,0.77064,0.03499,0.70378,0.00852,0.73351,0.00699,0.74206,0.00324,0.83464,-0.00103,-0.17038,5.19E-04,0.13575,-0.0116,0.77927,0.01785,0.70396,0.02136,0.75229,,0.77084,-5.83E-03,0.83484,0.00848,0.73367,-0.00702,0.74225,0.01327,0.54524,-8.54E-04,0.55236,-1.43E-02
0.7941,8.63E-03,0.7791,0.03651,-0.15632,0.00865,0.78777,,0.8063,0.03403,0.74646,0.01112,0.76918,0.01154,0.77772,-0.00269,0.87028,0.00422,-0.15615,0.01079,0.15711,-0.00188,0.82191,0.02097,0.74662,0.02435,0.78794,,0.80649,0.0062,0.87047,0.01719,0.76934,0.01064,0.77791,0.00948,0.5666,-0.00158,0.57373,0.00766
0.83676,0.00949,0.82172,0.02135,-0.14208,-0.01595,0.83041,,0.84902,0.03142,0.78206,0.013,0.8099,0.02088,0.82037,0.00151,0.91292,-8.37E-05,-0.14191,-0.00647,0.18553,0.01559,0.85755,0.01244,0.78223,0.02462,0.83058,,0.8492,-0.00276,0.91312,0.00305,0.81006,0.01997,0.82056,0.01148,0.58796,,0.59509,
0.8724,0.01817,0.85736,0.01935,-0.12081,-4.56E-04,0.86605,,0.88469,0.02787,0.82473,0.00373,0.84558,0.02822,0.85601,0.00337,0.94856,8.09E-03,-0.12064,0.00921,0.20691,0.01117,0.90022,0.01149,0.82491,0.02186,0.86623,,0.88488,-0.00338,0.94875,3.11E-04,0.84574,0.01032,0.85619,0.00226,0.60932,,0.61644,
0.91507,0.01723,0.90003,0.02063,-0.10657,-0.00178,0.90869,,0.92742,0.02286,0.86036,0.00255,0.88627,0.02749,0.89866,,1.00681,0.00379,-0.1064,0.00554,0.2283,-0.00519,0.93578,0.01031,0.86053,0.02133,0.90887,,0.92758,4.73E-03,1.02126,-0.00116,0.88644,0.00728,0.89884,,0.63767,,0.64478,
0.95073,0.01331,0.9356,0.02011,-0.09234,-0.00207,0.94436,,0.96304,0.01514,0.90302,0.0049,0.92193,0.01767,0.93425,,1.04956,0.00171,-0.09216,-0.01116,0.24968,1.62E-02,1.02119,0.02032,0.90319,0.02205,0.94454,,0.96324,-0.00452,1.06404,0.00205,0.92211,0.01394,0.93443,,0.659,,0.66612,
1.00676,0.01013,0.97824,0.03173,-0.0781,0.01556,1.01458,4.91E-04,1.00683,0.03482,0.93861,0.01558,0.96266,0.01301,0.99479,0.01296,1.0994,0.0112,-0.07793,6.21E-04,0.28872,0.0118,1.06388,0.0116,0.93877,0.01936,1.029,0.01951,1.02123,-2.89E-03,1.11385,0.00466,0.96282,0.01974,1.00922,0.01578,0.68038,,0.6875,
1.04949,-0.00229,1.00678,0.04077,-0.06387,-5.41E-03,1.05734,3.36E-04,1.04953,0.01834,0.98123,0.01291,1.00693,0.0247,1.03751,0.01042,1.14216,-0.00749,-0.0637,3.20E-03,0.3244,0.01665,1.11361,0.01785,1.02123,0.01504,1.07176,0.02722,1.06391,0.01622,1.15661,0.00657,1.02138,0.0191,1.05196,0.00134,0.70174,,0.70885,
1.09922,0.01302,1.04948,0.05533,-0.04964,-0.00618,1.10708,0.01465,1.09926,0.02594,1.00682,0.01492,1.04972,0.02063,1.08728,7.11E-03,1.19193,0.00329,-0.04948,-6.90E-04,0.36705,0.01207,1.15631,0.02204,1.06398,0.03164,1.1215,0.01779,1.11366,0.01098,1.20639,-0.00149,1.06414,0.01041,1.10169,0.00802,0.73014,,0.73728,
1.14197,0.01538,1.09921,0.04521,-4.86E-04,-0.03035,1.1498,0.01022,1.14196,,1.04956,0.00565,1.09953,0.00582,1.12999,-0.01042,1.23472,0.00847,-3.24E-04,0.02249,0.40271,0.00649,1.20608,0.02904,1.11377,0.02161,1.16424,0.01117,1.15638,,1.24918,-0.00476,1.11392,0.0048,1.14444,0.00948,0.75149,,0.75861,
1.19175,0.01179,1.1419,0.04609,0.01374,0.00878,1.19959,-0.00929,1.19175,,1.09935,0.01358,1.14226,0.00712,1.17977,0.00289,1.29635,-0.00686,0.0139,0.0289,0.44538,0.00931,1.24881,0.0172,1.15652,0.00959,1.21404,0.02254,1.20617,,1.29655,1.66E-04,1.15669,0.00196,1.19419,0.01462,0.77285,,0.77998,
1.23447,0.01544,1.19168,0.04367,0.02795,-0.00173,1.24236,0.00139,1.2345,,1.14209,0.02186,1.19208,0.00499,1.22248,0.00438,1.33197,-0.01541,0.02811,-2.39E-03,0.48106,0.00663,1.28704,0.01491,1.20626,0.01595,1.25681,0.02363,1.24897,,1.33216,-0.00536,1.20648,0.01838,1.2369,0.01761,0.79424,,0.80135,
1.2895,0.02321,1.23439,0.04488,0.04218,0.00103,1.30278,0.00828,1.28792,,1.19183,0.02278,1.23486,0.01863,1.29109,0.00275,1.37462,0.00305,0.04235,0.00347,0.52375,1.04E-02,1.32267,0.02347,1.24898,0.02403,1.30296,0.02938,1.28809,,1.37481,4.94E-04,1.24926,0.02441,1.29128,0.0117,0.82263,,0.82975,
1.32515,0.02046,1.28688,0.02801,0.05641,-0.02103,1.33846,3.95E-04,1.3235,0.01534,1.23455,0.01179,1.31479,0.01414,1.3267,0.00228,1.41027,-0.00207,0.05657,0.00722,0.55942,0.00862,1.36528,0.02182,1.29876,0.01203,1.33863,0.00913,1.32369,0.00477,1.41046,-0.00733,1.31495,0.00437,1.32689,0.00623,0.84396,,0.85109,
1.3658,0.01091,1.3225,0.04024,0.07061,0.01556,1.38111,-0.00299,1.36616,,1.28434,-0.00577,1.35047,0.01116,1.36935,0.00678,1.45295,0.00312,0.07078,0.01298,0.60206,-0.01174,1.40086,-0.00279,1.34148,0.02114,1.38128,0.02229,1.36635,,1.45316,0.01083,1.35064,0.0094,1.36954,0.01063,0.86534,,0.87245,
1.40149,0.00357,1.3651,0.02371,0.09189,0.01306,1.41677,0.01207,1.40175,0.03384,1.32707,0.01053,1.39317,0.01272,1.40497,0.00196,1.48863,0.01033,0.09205,-0.01117,0.63775,0.01816,1.44344,0.02297,1.39127,0.01586,1.41694,0.01974,1.40194,-0.01288,1.48884,-3.13E-04,1.39333,0.03271,1.40515,8.68E-04,0.88671,,0.89383,
1.44218,0.01616,1.40067,0.03359,0.1061,0.00761,1.45944,0.0072,1.44444,0.01019,1.37685,0.01483,1.42883,0.01299,1.44764,-0.00112,1.53133,-0.00147,0.10626,0.0075,0.68039,0.00823,1.47903,0.01144,1.43403,0.02809,1.45962,0.01093,1.44464,0.0159,1.53153,-0.00269,1.429,0.00929,1.44782,0.00277,0.91512,,0.92227,
1.47785,0.00832,1.44325,0.04202,0.12034,0.01531,1.49513,-0.00215,1.48006,0.02293,1.41959,0.00965,1.47155,-1.96E-04,1.48326,0.00616,1.56699,-6.98E-03,0.12049,7.26E-04,0.71603,0.00906,1.52164,0.00453,1.48383,0.01509,1.4953,-0.00747,1.48027,0.01054,1.5672,0.00197,1.47171,0.00431,1.48345,0.00124,0.93654,,0.94363,
