S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.12527,0.0036,0.14581,-0.00339,-1.36516,,0.12453,0.01884,0.11501,0.00451,0.14576,-0.01348,0.10317,-0.00268,0.10339,0.01422,0.14536,0.00872,-1.36498,,0.14685,-9.10E-04,0.17093,-0.00546,0.15291,-0.00532,0.14608,-0.00364,0.12477,0.00222,0.14557,-4.89E-04,0.14611,0.01686,0.12501,8.88E-04
0.14666,-0.00546,0.17073,-0.00335,-1.35091,,0.1459,-0.01367,0.13639,0.0099,0.17072,-0.00292,0.12455,0.00864,0.1248,-0.00986,0.16678,-0.01404,-1.35072,,0.17178,0.00501,0.19233,0.01304,0.17786,0.00885,0.171,0.00497,0.14615,0.01079,0.16698,-0.0059,0.17102,-7.53E-04,0.14993,-4.59E-04
0.17159,0.01632,0.19213,-0.00176,-1.33666,,0.17081,-0.004,0.15777,0.00192,0.19207,0.00289,0.14594,-0.00179,0.14972,0.00771,0.19174,-0.0073,-1.33646,,0.19318,-0.00439,0.21373,-0.00547,0.19921,-0.0025,0.19236,-0.00968,0.16755,0.00276,0.19192,-0.00454,0.19242,0.01941,0.17134,0.00701
0.193,-0.00392,0.21353,0.01122,-1.31887,,0.19218,-0.00163,0.17917,-0.00905,0.21347,-0.01318,0.17086,-0.00546,0.17113,-0.00387,0.21314,-0.0053,-1.31868,,0.21457,0.00374,0.23512,-9.20E-04,0.2206,0.00969,0.21375,-0.00633,0.19243,5.60E-04,0.2133,0.01305,0.21381,0.01075,0.19274,0.01254
0.21438,-0.00213,0.23492,-0.00713,-1.30458,,0.21356,0.00316,0.20405,-1.87E-04,0.23481,-0.01091,0.19225,-0.00226,0.19253,-0.01492,0.23451,-0.00485,-1.30439,,0.23598,-0.01297,0.26002,0.00466,0.24196,0.00327,0.23514,0.00103,0.21383,0.01019,0.23471,-0.00766,0.23521,0.00966,0.21414,-0.00977
0.23578,0.00677,0.25983,-0.00363,-1.2903,,0.23495,-0.00427,0.22545,0.00476,0.25977,0.00263,0.21363,0.00663,0.21394,-0.0146,0.2559,-0.006,-1.29012,-5.89E-04,0.26093,-4.85E-04,0.28142,0.00537,0.26691,5.70E-04,0.26007,0.00864,0.2352,-0.00997,0.2561,0.00363,0.26014,0.00801,0.23906,-0.00286
0.26072,-0.00171,0.28123,-0.02035,-1.27603,0.03257,0.25988,-0.00579,0.24683,-0.00721,0.28113,0.00252,0.23503,-0.01156,0.23885,-0.00393,0.28087,-0.00811,-1.27587,-0.00325,0.29495,0.01549,0.30277,0.01277,0.28828,5.91E-04,0.28146,0.00526,0.2566,0.01142,0.28106,0.00566,0.28153,0.00463,0.34396,0.00476
0.28212,0.00341,0.3026,0.00591,-1.26178,0.00241,0.28127,9.95E-04,0.26822,0.00165,0.30252,-0.00497,0.25998,-0.02431,0.26025,-0.00621,0.30227,-0.01141,-1.26161,0.00606,0.33061,-5.58E-04,0.32416,-0.00573,0.30966,0.01601,0.30286,0.00293,0.28152,0.00966,0.30247,-0.00151,0.30292,0.00882,0.37954,0.02704
0.29477,0.00186,0.32397,0.00753,-1.24755,0.01175,0.30267,0.00328,0.29314,-0.01256,0.32389,-0.00336,0.28135,-0.0089,0.34375,-0.00932,0.32558,1.65E-05,-1.24737,-8.42E-04,0.34993,0.00466,0.34215,0.0016,0.33103,0.00176,0.32426,0.0115,0.30757,0.01124,0.32579,0.00557,0.32431,0.004,0.41865,0.01746
0.33043,0.00684,0.34196,0.01114,-1.22977,2.85E-04,0.32407,0.00693,0.3192,0.00135,0.3488,-0.00492,0.30275,0.00722,0.37933,-0.00448,0.36125,-0.00361,-1.22959,0.00207,0.38561,0.01462,0.37781,0.009,0.35594,-0.00412,0.34347,0.01197,0.34316,-0.00598,0.36145,0.01589,0.34922,0.04809,0.45426,0.01596
0.34973,-0.00931,0.37762,0.00895,-1.21551,0.02094,0.34326,0.00816,0.3548,0.00102,0.37016,0.0065,0.32414,0.0034,0.41844,-0.00112,0.40043,0.00596,-1.21531,0.01177,0.4248,0.00975,0.41703,-0.01198,0.37727,0.0107,0.3791,0.00634,0.39405,-0.0208,0.4006,0.00817,0.36887,0.02486,0.49346,0.01065
0.38542,-3.53E-04,0.41683,-0.00662,-1.20125,0.01324,0.37892,0.00345,0.40569,-9.10E-04,0.3915,0.00403,0.34906,-0.01176,0.45405,-0.00434,0.43609,-0.00472,-1.20104,8.34E-04,0.46047,-0.01005,0.45263,0.00713,0.39861,0.00726,0.41819,0.00216,0.42963,0.00799,0.4363,0.00158,0.40442,0.02415,0.52911,
0.42461,-0.0023,0.45247,0.01311,-1.18696,-0.01819,0.41803,0.00113,0.44126,0.01152,0.41285,7.84E-04,0.36872,-0.00646,0.49325,0.01034,0.47529,9.24E-04,-1.18678,-0.00308,0.49965,-0.00759,0.49179,0.00978,0.41995,0.00224,0.45376,-0.00764,0.48088,0.00836,0.47547,-0.00352,0.44353,0.02587,0.56826,
0.46028,0.0054,0.4916,-0.00925,-1.17272,0.00879,0.45358,0.01388,0.4925,-0.00923,0.43779,-0.00768,0.40426,-0.01808,0.5289,,0.51091,0.00817,-1.17252,0.01153,0.53531,0.00587,0.52743,0.01409,0.44492,0.0152,0.49292,0.00134,0.51648,-4.45E-04,0.5111,-0.00541,0.47916,0.01342,0.6039,
0.49946,-0.00175,0.52723,0.00605,-1.15844,-0.00795,0.49273,-0.01136,0.52811,-0.00798,0.45918,0.0048,0.44337,-0.00497,0.56806,,0.5501,,-1.15825,-0.0045,0.57449,,0.56659,,0.46632,4.26E-04,0.52856,-0.00294,0.56767,,0.55029,,0.51837,0.0143,0.643,
0.53512,-0.01816,0.5664,,-1.14065,-0.00203,0.52838,0.0138,0.57931,,0.48056,-0.00347,0.47899,-0.0151,0.60369,,0.58575,,-1.14046,0.00672,0.61014,,0.60221,,0.4877,9.32E-04,0.56771,,0.60326,,0.58594,,0.55405,,0.67859,
0.57429,,0.60204,,-1.12638,0.00255,0.56753,,0.6149,,0.50192,-6.04E-04,0.51819,-0.00897,0.64279,,0.62495,,-1.12619,-0.00943,0.64929,,0.64137,,0.50906,-0.00402,0.60334,,0.6545,,0.62514,,0.59331,,0.71773,0.01954
0.60994,,0.64118,,-1.11214,-0.00651,0.60317,,0.66611,,0.52686,-0.00218,0.55388,,0.67838,,0.66054,,-1.11194,-3.39E-04,0.68497,,0.67696,,0.534,0.0076,0.6425,,0.69012,,0.66074,,0.62891,,0.75333,0.00403
0.6491,,0.67679,,-1.09789,5.52E-04,0.64233,,0.70174,,0.54823,,0.59311,,0.71752,0.0026,0.69971,,-1.0977,0.00279,0.72416,0.02207,0.71612,0.01113,0.55537,,0.67815,,0.7413,-0.00392,0.69988,,0.66813,,0.7925,0.00908
