S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.10384,-0.00742,0.12441,0.00407,-1.37941,0.02062,0.10311,0.01024,0.09008,0.00341,0.1244,-0.00134,0.08177,0.0051,0.08201,0.01409,0.12394,0.00671,-1.37922,-0.00522,0.12547,0.00587,0.14601,0.00421,0.13154,0.00621,0.12471,-2.30E-03,0.10339,0.00424,0.12414,0.0029,0.12472,-0.00716,0.1036,0.01249
0.12527,-0.00167,0.14581,-0.0109,-1.36516,-0.00402,0.12453,-0.00977,0.11501,0.01824,0.14576,5.83E-04,0.10317,0.00606,0.10339,0.00488,0.14536,-0.01694,-1.36498,0.00424,0.14685,-0.00792,0.17093,0.00165,0.15291,0.01143,0.14608,0.00457,0.12477,0.00703,0.14557,-2.91E-05,0.14611,0.01661,0.12501,0.00486
0.14666,0.01814,0.17073,-0.00919,-1.35091,0.00154,0.1459,-0.0038,0.13639,-0.01345,0.17072,0.00249,0.12455,0.01321,0.1248,0.00338,0.16678,0.00214,-1.35072,0.0022,0.17178,0.00867,0.19233,0.01909,0.17786,0.01174,0.171,-0.00588,0.14615,-0.0051,0.16698,0.00222,0.17102,0.01374,0.14993,0.00566
0.17159,0.01324,0.19213,0.00484,-1.33666,5.81E-04,0.17081,-0.00681,0.15777,-0.00928,0.19207,-0.00494,0.14594,0.00317,0.14972,0.01254,0.19174,-0.01417,-1.33646,-0.03979,0.19318,9.38E-04,0.21373,0.00315,0.19921,-7.32E-03,0.19236,-0.00698,0.16755,0.00288,0.19192,0.00165,0.19242,0.00929,0.17134,0.00907
0.193,3.17E-04,0.21353,0.0023,-1.31887,-0.01656,0.19218,-0.0123,0.17917,-0.00382,0.21347,0.02931,0.17086,4.97E-04,0.17113,0.0056,0.21314,3.49E-04,-1.31868,0.00247,0.21457,0.00843,0.23512,-9.44E-03,0.2206,0.00227,0.21375,0.00229,0.19243,-8.04E-04,0.2133,-0.0227,0.21381,0.01033,0.19274,4.73E-03
0.21438,-1.20E-02,0.23492,0.02084,-1.30458,0.00725,0.21356,-0.00835,0.20405,-0.01546,0.23481,0.00192,0.19225,0.00691,0.19253,0.01381,0.23451,-0.0207,-1.30439,-0.00394,0.23598,-8.28E-03,0.26002,0.01845,0.24196,-0.00549,0.23514,-0.00258,0.21383,-8.59E-04,0.23471,0.00885,0.23521,0.00127,0.21414,-0.0021
0.23578,0.00903,0.25983,-0.00549,-1.2903,-0.00771,0.23495,-0.01717,0.22545,0.01169,0.25977,-0.00687,0.21363,1.13E-05,0.21394,0.00872,0.2559,-0.01282,-1.29012,0.00552,0.26093,-0.00174,0.28142,0.01048,0.26691,-0.00221,0.26007,0.00904,0.2352,1.97E-03,0.2561,0.00871,0.26014,-0.00157,0.23906,0.01212
0.26072,2.00E-03,0.28123,-0.00193,-1.27603,0.0251,0.25988,-0.0024,0.24683,0.01056,0.28113,0.01216,0.23503,0.01401,0.23885,0.01197,0.28087,-0.00128,-1.27587,6.07E-04,0.29495,-0.00327,0.30277,-0.00636,0.28828,3.68E-04,0.28146,0.00355,0.2566,0.01004,0.28106,0.00574,0.28153,8.61E-03,0.34396,-0.00148
0.28212,-3.97E-04,0.3026,-5.87E-03,-1.26178,6.51E-04,0.28127,0.00786,0.26822,0.01043,0.30252,0.0074,0.25998,-0.00203,0.26025,-0.00165,0.30227,0.0092,-1.26161,0.00509,0.33061,0.00659,0.32416,0.00629,0.30966,1.49E-02,0.30286,0.00928,0.28152,0.0031,0.30247,5.80E-04,0.30292,-0.00891,0.37954,-0.00317
0.29477,0.01185,0.32397,-0.00301,-1.24755,0.01013,0.30267,0.00148,0.29314,1.11E-02,0.32389,0.00463,0.28135,0.00325,0.34375,-0.00247,0.32558,2.74E-04,-1.24737,0.00237,0.34993,-0.00178,0.34215,0.00277,0.33103,0.0047,0.32426,0.00327,0.30757,2.53E-03,0.32579,0.00488,0.32431,-0.00109,0.41865,0.01314
