"","X3300044942_Site3_PreDrought_6hr","X3300044943_Site3_PreDrought_48hr","X3300044944_Site3_PreDrought_0hr","X3300044945_Site3_Drought_6hr","X3300045458_Site1_PreDrought_48hr","X3300045459_Site1_Drought_6hr","X3300045460_Site1_Drought_48hr","X3300045461_Site2_PreDrought_0hr","X3300045462_Site2_PreDrought_6hr","X3300045463_Site2_PreDrought_48hr","X3300045464_Site2_Drought_0hr","X3300045465_Site2_Drought_48hr","X3300045466_Site2_Pre_drought_0hr","X3300045467_Site2_PreDrought_6hr","X3300045468_Site2_PreDrought_48hr","X3300045469_Site2_Drought_0hr","X3300045470_Site2_Drought_6hr","X3300045471_Site3_Drought_6hr","X3300045472_Site3_Drought_48hr","X3300045473_Site2_Drought_48hr","X3300048051_Site1_Drought_0hr","X3300048052_Site3_PreDrought_0hr","X3300048053_Site3_PreDrought_48hr","X3300048054_Site3_Drought_0hr","X3300048092_Site1_PreDrought_0hr","X3300048093_Site1_PreDrought_6hr","X3300048094_Site1_PreDrought_48hr","X3300048095_Site1_Drought_6hr","X3300048096_Site1_Drought_48hr","X3300048099_Site1_PreDrought_0hr","X3300048100_Site1_PreDrought_6hr","X3300049511_Site2_Drought_6hr","X3300049512_Site3_Drought_0hr","X3300049557_Site3_Drought_48hr","X3300049628_Site1_Drought_0hr"
"KO:K00030",5.49435127385788,5.36492445576221,4.72640140933467,4.44463729106756,5.52034767044494,2.46316411113114,7.5870831893461,6.30778116022227,5.98595780711297,5.72907451316559,4.97757114263066,7.55762711156055,8.09317442915338,5.92079813851309,2.46316411113114,6.91809890665296,7.12440921968926,4.67699379248822,4.9855932263076,7.02430172329582,2.46316411113114,7.58510235463919,6.21462576523447,2.46316411113114,4.28885044111068,6.00065933729501,5.09565663761024,5.20442033634844,6.47634255257006,4.9512944550428,5.93676714582227,5.9549936496785,4.98995126236533,6.75329233463638,5.33854511919228
"KO:K00031",9.31860484089615,9.72168746215697,8.82790586285083,9.2250056985067,9.24227503144632,9.80285500518695,9.4012233125995,8.66495580272804,9.36367207052752,9.11336895594971,10.0714636764078,11.4662266125376,8.74361968995246,9.19490620941244,7.95518527050219,9.61836658455713,8.83200714552096,9.08308505768066,10.2096964217854,9.93019244118223,9.91177148377424,7.8907869431359,10.5469892974287,8.70561858605217,9.17608645372528,9.40176194180436,9.68870339656135,8.9184647127921,9.42992554399318,8.81559049238647,9.37110753194881,9.44523632827516,8.62361986532706,9.40217463960102,8.78006595831357
"KO:K00033",6.18335570038428,6.75384568029656,7.45342858729336,5.16945941270113,7.09808568343646,7.36960991317996,6.97586306398629,7.36195930934749,6.34812356472025,5.72907451316559,6.99267221680133,8.40670669434174,8.19880253727624,7.04577501973036,2.46316411113114,6.40156301305441,5.86191677482559,5.10741668375251,6.22470367691536,6.94206774678875,9.58928522516185,2.46316411113114,2.46316411113114,6.75912196745632,7.73947600477384,7.24368106254895,7.64928031973492,7.09836865314591,7.53048303122729,7.80842322016798,6.61069224374001,6.40472739109864,5.9001463535314,7.97261407053512,7.19207506720967
"KO:K00034",7.04545112057175,6.665678229649,7.6065583724253,5.34478796578373,6.20790499112288,2.46316411113114,2.46316411113114,8.36492963603263,7.91807046537703,8.14878186215304,4.44127720228112,2.46316411113114,8.56891508930795,5.70987229250286,2.46316411113114,5.50301884860805,5.43257288931631,5.87498135878099,3.91576323903554,4.47640513562061,2.46316411113114,2.46316411113114,5.51484049870122,7.2963617539953,8.5608424610683,6.61423671016717,5.0274738397485,5.18049593523113,5.51818771532297,6.69876765796847,5.85083444934247,7.99240904400289,6.37532415272049,5.3923483002564,5.1722981890209
"KO:K00036",9.04198121296626,7.00099773820361,8.20213360770395,7.7837496678612,7.33942476446726,7.52235767985074,7.63036990041983,7.20918429727351,6.9976765069104,6.38256994297606,8.36317876270589,8.73197022797841,7.63648321518292,8.56920711211861,6.64758549618976,7.69955271288719,7.90271352125561,6.55001097862264,8.66798862101234,8.24068560197656,9.61241336169605,7.74603650447442,8.12748041095715,6.75912196745632,7.73493203951894,7.99644267555955,7.49806394788328,8.38586760650228,8.48446222006289,7.67949557134494,7.05023171135938,7.39470495603877,7.70828041115798,8.41012181943274,9.15444848115407
"KO:K00038",3.14558767427041,3.31168973912114,4.72640140933467,2.46316411113114,3.92098022484782,2.46316411113114,2.46316411113114,2.46316411113114,3.01936910128309,4.20784047137884,2.46316411113114,4.0525059619493,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,4.73802095686014,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,4.48756126741854,5.04552743156828,5.88593847946033,4.24042955313907,4.05500894537617,4.38469998050028,4.1278849797455,3.6466382705052,3.88325026504695,4.37953479478628,3.81117503223573
"KO:K00042",5.65344579317112,6.89172261485273,5.80049971101316,2.46316411113114,6.09970044216158,2.46316411113114,4.54737389882383,6.13506761703839,5.69859599843901,5.27700091146371,3.91236882098544,2.46316411113114,6.09482896242592,5.86755147592265,2.46316411113114,4.4102248133544,2.46316411113114,4.9559099573489,6.35004401753681,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,6.96526018135713,6.51590183112004,7.03417796831171,5.40294837665747,5.22622756715089,6.59834160384179,5.88967100697651,5.7970618032868,5.34587840873725,5.28078198896715,6.20115032636992
"KO:K00046",4.38442355799725,4.98471076511137,5.98509042082284,4.07117881567572,4.63919961434146,2.46316411113114,2.46316411113114,4.72163388386387,3.71590466050599,3.78494138627145,2.46316411113114,2.46316411113114,2.46316411113114,5.1821536371457,2.46316411113114,5.50301884860805,4.12991923844064,3.63115573638955,3.56519567668241,4.77147332008494,6.18685878689937,2.46316411113114,2.46316411113114,2.46316411113114,4.81138671425348,5.14985264751681,5.33889414429056,5.99745523730443,6.51603218898067,4.86472718149826,5.50703502354528,2.46316411113114,6.60794807395775,5.99366047366838,5.02314683956894
"KO:K00050",4.52767178777142,4.58459975634705,4.54218983078286,3.7328365673616,4.08742805435131,5.28839579096348,2.46316411113114,2.46316411113114,4.94420752067368,3.83523985163358,3.84976826330983,2.46316411113114,6.52608882808742,4.74191856851524,6.64758549618976,5.22619574554758,4.27152177039429,3.39565050183367,5.72808430794451,3.76450170672872,2.46316411113114,6.29594666464591,5.51484049870122,2.46316411113114,3.83495461463621,3.66043329098365,4.9800472186603,4.58395411688296,4.81200404624572,4.77219115072197,5.23000713481549,4.83804505012228,4.68741387948134,4.52346067155358,5.69600437381616
"KO:K00052",8.14174041940288,7.60307311193765,7.61768987177219,6.75347280439142,7.74056224095473,7.91616074480974,6.9303498862635,6.63831110511906,7.59153153568299,7.00708788316343,7.31550211515911,7.38943461780188,7.24351831490229,8.0733370996179,6.88522797017046,6.58867980288496,7.91586869802654,7.97882808568835,7.43985994569305,7.52068309799598,9.51758907716491,7.8907869431359,6.95341510269886,2.46316411113114,7.77973941338968,8.33153625784563,7.71757009493299,7.16551742416284,7.50448426066252,7.31127100587581,7.59891612739537,7.73766473319051,6.12771689393638,8.17509196073686,7.16628135386445
"KO:K00053",12.0577287827464,9.17573058492176,8.9735600794562,9.41343466856012,10.1083999984785,9.29451527714768,9.77014967432707,9.07820764214192,9.76553798997756,9.58815664893718,9.13132701740665,9.35430567285844,8.07743247036682,10.2338030477168,8.89645201042002,8.56608606504534,10.418734507059,10.4379133116082,9.27345361025961,9.24049583129188,9.46773217900004,10.2148873146763,8.0905130701894,7.79631666887151,9.44433807463967,10.0887314348891,9.45724434730059,9.40821261123781,9.31879221548319,9.63853362903701,9.70234763156571,10.4225494216696,7.79549283514905,9.33979702433474,8.32056002443386
"KO:K00054",6.24475943189795,4.30737026254869,2.46316411113114,4.54781095879569,5.57150527732369,2.46316411113114,2.46316411113114,2.46316411113114,4.80315591961452,4.46295296121484,2.46316411113114,2.46316411113114,2.46316411113114,5.70987229250286,2.46316411113114,4.94374693956543,4.61942716487243,4.97861402126602,2.46316411113114,4.47640513562061,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,3.450728775574,4.91277860370775,3.92267087921373,5.33987476318978,4.93805856516462,4.86472718149826,4.75879757932666,5.46533596760807,4.29331754838739,4.37953479478628,6.00059860233744
"KO:K00055",2.46316411113114,2.46316411113114,2.46316411113114,6.46103308905294,2.46316411113114,6.33984412691916,7.33128493903798,4.56774302744473,4.03225836732901,4.96064395994014,6.28012558369267,5.0789271291325,2.46316411113114,2.46316411113114,2.46316411113114,6.423603156805,2.46316411113114,5.02291407899974,3.45343581357235,3.76450170672872,5.57697219088462,2.46316411113114,7.31602524597033,6.52365723062611,3.3224581328428,4.38034969803707,3.32914715502213,4.54575894672996,4.6229195182068,3.43738302000644,3.69793035336141,4.14097671505428,5.39721447046321,5.62248787286096,4.61156382369885
"KO:K00057",5.82492185756205,5.2173988939452,4.06658092408764,4.20880731262672,5.58400858500345,5.33116627595595,17.1854729575322,4.72163388386387,5.8460558313988,4.4038959970563,6.07055012617949,5.77759084312304,2.46316411113114,5.13716618858588,2.46316411113114,4.08895769106715,4.51367773207219,4.78528030144133,5.70937658934729,5.33157007432087,8.48977655527083,2.46316411113114,6.34648543337096,2.46316411113114,5.18525608825967,6.13967497001055,5.63884232768138,5.95642044947034,5.84574419593655,6.62411517059098,5.78019732220513,5.58978819616072,5.17938678462124,13.2689277690892,5.9200411985907
"KO:K00058",8.08524658211826,8.01818938890791,7.40283683274651,5.80796335765328,8.35694278606075,8.00954933668392,7.08371391101978,7.51015841908852,8.03836490679302,7.37052763718793,8.39416843444019,8.30911508688849,7.83682746318325,8.17464625253457,2.46316411113114,7.40052831021239,7.88275282286987,8.05587821340013,8.01185761357491,7.92162237935509,2.46316411113114,8.70922137697585,7.84626739055051,6.52365723062611,8.22093427848097,8.5852354882545,8.34053495653623,8.13214731990825,8.51731424498803,8.64095483045899,8.00626290808057,8.19680813343279,7.2811541680136,8.45285704147651,8.11593476018726
"KO:K00059",9.32108791368711,9.55942758193718,9.85578196142345,9.65532630043315,9.43421782208297,9.60340814962281,9.30661636015164,8.77780146754145,9.37212819963794,8.62291548736598,9.43850230819324,9.72849691714536,9.53081284983494,9.71171115227523,10.1928634675385,10.7055225952745,9.67946808350498,9.63773212304058,9.63630389974773,9.60076351513064,10.1673873062561,10.5560108832615,8.94208343974775,10.2651752719462,10.8325891666086,10.3607666684891,10.5545095225985,9.9572957976106,10.0744330267313,9.78949861650622,9.41547503047808,9.61004110325059,9.51782990561031,10.7218449275451,11.8785647356804
"KO:K00060",5.70711015902187,4.26797804429844,4.06658092408764,4.54781095879569,4.61409800941435,5.24426364649929,2.46316411113114,4.29568281684517,4.80315591961452,4.69952367428147,6.49850700128594,2.46316411113114,2.46316411113114,5.69462545002422,2.46316411113114,3.81228544227896,4.9475229233414,3.87591659451245,3.91576323903554,4.66846565659809,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,4.97982492668647,4.7202753466403,4.38046000757587,3.8302841914459,3.97161178426261,4.81925983607352,4.78031443857791,4.45292860999504,4.50548007104579,4.30088865373237,4.55679987776341
"KO:K00064",4.03582639440106,3.7147574104913,4.20389448752633,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,3.30601509789736,3.67635868056413,2.46316411113114,2.46316411113114,4.8700458731459,2.46316411113114,2.46316411113114,4.20574884202171,2.46316411113114,3.05899630447493,4.53777601819758,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,4.39213229849373,3.66043329098365,4.95569801438741,4.88536637690986,4.57106448604731,4.24823069779713,2.46316411113114,3.77778494124742,2.46316411113114,4.02882550101718,3.70068839815453
"KO:K00065",4.79953157412627,5.07396650460858,6.14843219094865,4.20880731262672,5.64490961226677,4.82831454660626,2.46316411113114,5.09884639092363,4.40683667237544,2.46316411113114,3.55294822270891,2.46316411113114,6.91145532554329,4.7109234833979,2.46316411113114,6.16016737795967,4.74829374654152,4.8610757600752,4.44563112846443,5.06683275895786,2.46316411113114,2.46316411113114,2.46316411113114,2.46316411113114,6.16427852095172,5.76273062315601,5.88593847946033,5.13136255893556,5.98486125124826,4.38469998050028,3.58590753958775,5.52894249092776,6.40036317286106,4.7706397757381,6.74606503757854
"KO:K00066",6.12573704670948,6.34567228713186,7.16545710446213,6.48577356000839,5.94452938011263,5.15153068570739,6.8592570236289,7.19673211075693,6.78205481158425,7.55010776202264,6.07055012617949,8.87067706358271,7.06324160447706,6.41294245669412,8.51018219723263,6.30983995675338,5.86191677482559,7.6996329730001,9.59153525385914,8.74915114139537,2.46316411113114,8.54397515171468,5.51484049870122,7.79631666887151,6.0511872290926,6.12302235818462,5.33889414429056,6.138532500522,6.93215359703497,6.32714788853674,5.45585935223295,6.88480571008831,6.62926062463153,5.31897477610988,6.97147867587773
"KO:K00067",5.20615884890043,6.15906885745715,5.71935317121816,3.7328365673616,6.56118007311357,2.46316411113114,5.62721731101173,4.64694857538316,5.78159483981547,5.46746267460337,4.62290445720161,4.18885197532711,2.46316411113114,5.54942399279654,2.46316411113114,3.81228544227896,5.16693887565398,5.75144140025178,7.26061724000946,5.7456232101003,9.92106352843168,2.46316411113114,7.25044963351094,2.46316411113114,6.03639765882187,5.1829369333916,5.91090862560467,5.76345627002058,5.43683627870841,5.99212102009122,6.36549684553606,6.23578024838932,4.68741387948134,4.58977838515751,5.87798044570783
