"","Label","Pyr","Flux","Time","Condition"
"86","S2P4","C2",0.00744,-0.31791,"Pre-Drought"
"87","S2P6","C2",0.00187,-0.28663,"Pre-Drought"
"88","S3P2","C2",0.00832,-0.31274,"Pre-Drought"
"89","S3P4","C2",-0.00458,-0.29367,"Pre-Drought"
"90","S3P6","C2",-0.00377,-0.32248,"Pre-Drought"
"91","S1P1","C1",-0.00527,-0.25434,"Pre-Drought"
"92","S1P3","C1",-0.01167,-0.21856,"Pre-Drought"
"93","S1P5","C1",-0.02499,-1.51449,"Pre-Drought"
"94","S2P1","C1",0.00562,-0.27181,"Pre-Drought"
"95","S2P3","C1",0.005,-0.22868,"Pre-Drought"
"96","S2P7","C1",-0.00526,-0.23316,"Pre-Drought"
"97","S3P1","C1",-0.00183,-0.32236,"Pre-Drought"
"98","S3P3","C1",-0.00087,-0.27639,"Pre-Drought"
"99","S3P5","C1",0.00309,-0.26672,"Pre-Drought"
"100","S1P2","C2",-0.00596,-1.51431,"Pre-Drought"
"101","S1P4","C2",-0.00904,-0.22564,"Pre-Drought"
"102","S1P6","C2",-0.01284,-0.18968,"Pre-Drought"
"103","S2P8","C2",0.00226,-0.19753,"Pre-Drought"
"104","S2P4","C2",-0.0138,-0.24313,"Pre-Drought"
"105","S2P6","C2",0.00248,-0.21178,"Pre-Drought"
"106","S3P2","C2",-0.00236,-0.23808,"Pre-Drought"
"107","S3P4","C2",-0.01868,-0.21884,"Pre-Drought"
"108","S3P6","C2",-0.00502,-0.24769,"Pre-Drought"
"109","S1P1","C1",-0.00695,-0.17954,"Pre-Drought"
"110","S1P3","C1",0.00841,-0.1298,"Pre-Drought"
"111","S1P5","C1",-0.00519,-1.49675,"Pre-Drought"
"112","S2P1","C1",0.01305,-0.19699,"Pre-Drought"
"113","S2P3","C1",-0.00122,-0.15382,"Pre-Drought"
"114","S2P7","C1",0.01271,-0.15837,"Pre-Drought"
"115","S3P1","C1",0.02139,-0.24753,"Pre-Drought"
"116","S3P3","C1",0.000403,-0.20163,"Pre-Drought"
"117","S3P5","C1",0.00385,-0.19205,"Pre-Drought"
"118","S1P2","C2",-0.00439,-1.49659,"Pre-Drought"
"119","S1P4","C2",-0.00907,-0.15082,"Pre-Drought"
"120","S1P6","C2",0.00872,-0.10104,"Pre-Drought"
