"","Label","Pyr","Flux","Time","Condition"
"327","S3P3","C1",-9.07065,0.23885,"Pre-Drought"
"328","S3P5","C1",-20.24561,0.28087,"Pre-Drought"
"329","S1P2","C2",-2.08135,-1.27587,"Pre-Drought"
"330","S1P4","C2",23.43465,0.29495,"Pre-Drought"
"331","S1P6","C2",27.68955,0.30277,"Pre-Drought"
"332","S2P8","C2",2.12302,0.28828,"Pre-Drought"
"333","S2P4","C2",10.99279,0.28146,"Pre-Drought"
"334","S2P6","C2",14.07662,0.2566,"Pre-Drought"
"335","S3P2","C2",9.64429,0.28106,"Pre-Drought"
"336","S3P4","C2",6.75894,0.28153,"Pre-Drought"
"337","S3P6","C2",1.73363,0.34396,"Pre-Drought"
"338","S1P1","C1",6.13337,0.28212,"Pre-Drought"
"339","S1P3","C1",13.01617,0.3026,"Pre-Drought"
"340","S1P5","C1",3.00669,-1.26178,"Pre-Drought"
"341","S2P1","C1",3.41521,0.28127,"Pre-Drought"
"342","S2P3","C1",3.2887,0.26822,"Pre-Drought"
"343","S2P7","C1",-8.68013,0.30252,"Pre-Drought"
"344","S3P1","C1",-10.65039,0.25998,"Pre-Drought"
"345","S3P3","C1",-17.01912,0.26025,"Pre-Drought"
"346","S3P5","C1",-18.7798,0.30227,"Pre-Drought"
"347","S1P2","C2",2.93119,-1.26161,"Pre-Drought"
"348","S1P4","C2",-0.24565,0.33061,"Pre-Drought"
"349","S1P6","C2",6.08136,0.32416,"Pre-Drought"
"350","S2P8","C2",27.34603,0.30966,"Pre-Drought"
"351","S2P4","C2",5.1745,0.30286,"Pre-Drought"
"352","S2P6","C2",10.16872,0.28152,"Pre-Drought"
"353","S3P2","C2",-6.15034,0.30247,"Pre-Drought"
"354","S3P4","C2",4.63206,0.30292,"Pre-Drought"
"355","S3P6","C2",28.07437,0.37954,"Pre-Drought"
"356","S1P1","C1",-0.96224,0.29477,"Pre-Drought"
"357","S1P3","C1",11.10748,0.32397,"Pre-Drought"
"358","S1P5","C1",7.04088,-1.24755,"Pre-Drought"
"359","S2P1","C1",5.22699,0.30267,"Pre-Drought"
"360","S2P3","C1",-9.70412,0.29314,"Pre-Drought"
"361","S2P7","C1",-11.41692,0.32389,"Pre-Drought"
"362","S3P1","C1",-8.22232,0.28135,"Pre-Drought"
"363","S3P3","C1",-11.01766,0.34375,"Pre-Drought"
"364","S3P5","C1",-11.7512,0.32558,"Pre-Drought"
"365","S1P2","C2",-3.46449,-1.24737,"Pre-Drought"
"366","S1P4","C2",4.11781,0.34993,"Pre-Drought"
"367","S1P6","C2",13.43935,0.34215,"Pre-Drought"
"368","S2P8","C2",6.70337,0.33103,"Pre-Drought"
"369","S2P4","C2",22.34682,0.32426,"Pre-Drought"
"370","S2P6","C2",6.87893,0.30757,"Pre-Drought"
"371","S3P2","C2",11.33973,0.32579,"Pre-Drought"
"372","S3P4","C2",-0.37191,0.32431,"Pre-Drought"
"373","S3P6","C2",18.77097,0.41865,"Pre-Drought"
"374","S1P1","C1",8.49549,0.33043,"Pre-Drought"
"375","S1P3","C1",13.12225,0.34196,"Pre-Drought"
"376","S1P5","C1",3.4655,-1.22977,"Pre-Drought"
"377","S2P1","C1",9.98697,0.32407,"Pre-Drought"
"378","S2P3","C1",4.23855,0.3192,"Pre-Drought"
"379","S2P7","C1",3.99329,0.3488,"Pre-Drought"
"380","S3P1","C1",8.19218,0.30275,"Pre-Drought"
"381","S3P3","C1",-2.3948,0.37933,"Pre-Drought"
"382","S3P5","C1",-7.34034,0.36125,"Pre-Drought"
"383","S1P2","C2",-2.12181,-1.22959,"Pre-Drought"
"384","S1P4","C2",15.3259,0.38561,"Pre-Drought"
"385","S1P6","C2",15.52836,0.37781,"Pre-Drought"
"386","S2P8","C2",-2.98218,0.35594,"Pre-Drought"
"387","S2P4","C2",12.7652,0.34347,"Pre-Drought"
"388","S2P6","C2",-5.58297,0.34316,"Pre-Drought"
"389","S3P2","C2",12.26947,0.36145,"Pre-Drought"
"390","S3P4","C2",23.02097,0.34922,"Pre-Drought"
"391","S3P6","C2",17.37851,0.45426,"Pre-Drought"
"392","S1P1","C1",-10.87067,0.34973,"Pre-Drought"
"393","S1P3","C1",5.84749,0.37762,"Pre-Drought"
"394","S1P5","C1",13.5232,-1.21551,"Pre-Drought"
"395","S2P1","C1",5.42709,0.34326,"Pre-Drought"
"396","S2P3","C1",4.57978,0.3548,"Pre-Drought"
"397","S2P7","C1",6.96053,0.37016,"Pre-Drought"
"398","S3P1","C1",3.14165,0.32414,"Pre-Drought"
"399","S3P3","C1",2.02943,0.41844,"Pre-Drought"
