"","Label","Time","Time_Flux"
"1934","S1P5.C1","Flux",-0.00199
"1935","S2P1.C1","time",1.80836
"1936","S2P1.C1","Flux",0.0019
"1937","S2P3.C1","time",1.79333
"1938","S2P3.C1","Flux",0.00491
"1939","S2P5.C1","time",1.78954
"1940","S3P1.C1","time",1.78493
"1941","S3P1.C1","Flux",0.02275
"1942","S3P3.C1","time",1.79631
"1943","S3P3.C1","Flux",-0.00566
"1944","S3P5.C1","time",1.8803
"1945","S1P2.C2","time",0.24128
"1946","S1P2.C2","Flux",0.03753
"1947","S1P4.C2","time",1.06392
"1948","S1P4.C2","Flux",0.05756
"1949","S1P6.C2","time",1.83479
"1950","S1P6.C2","Flux",0.24579
"1951","S2P2.C2","time",1.85368
"1952","S2P4.C2","time",1.80853
"1953","S2P4.C2","Flux",0.23226
"1954","S2P6.C2","time",1.7935
"1955","S2P6.C2","Flux",0.03439
"1956","S3P2.C2","time",1.8805
"1957","S3P4.C2","time",1.7851
"1958","S3P4.C2","Flux",0.34893
"1959","S3P6.C2","time",1.79649
"1960","S3P6.C2","Flux",0.12586
"1961","S1P2.W","time",1.30344
"1962","S1P2.W","Flux",0.0039
"1963","S1P4.W","time",1.31054
"1964","S1P4.W","Flux",-0.00536
"1965","S1P1.C1","time",1.82413
"1966","S1P1.C1","Flux",0.00887
"1967","S1P3.C1","time",1.79199
"1968","S1P3.C1","Flux",0.03094
"1969","S1P5.C1","time",0.25534
"1970","S1P5.C1","Flux",-0.00767
"1971","S2P1.C1","time",1.85102
"1972","S2P1.C1","Flux",-0.00547
"1973","S2P3.C1","time",1.83597
"1974","S2P3.C1","Flux",0.01085
"1975","S2P5.C1","time",1.83927
"1976","S3P1.C1","time",1.82059
"1977","S3P1.C1","Flux",0.00389
"1978","S3P3.C1","time",1.83899
"1979","S3P3.C1","Flux",-0.00902
"1980","S3P5.C1","time",1.92297
"1981","S1P2.C2","time",0.2555
"1982","S1P2.C2","Flux",0.03342
"1983","S1P4.C2","time",1.11366
"1984","S1P4.C2","Flux",0.05991
"1985","S1P6.C2","time",1.87046
"1986","S1P6.C2","Flux",0.26374
"1987","S2P2.C2","time",1.89645
"1988","S2P4.C2","time",1.85119
"1989","S2P4.C2","Flux",0.19937
"1990","S2P6.C2","time",1.83617
"1991","S2P6.C2","Flux",0.02661
"1992","S3P2.C2","time",1.92317
"1993","S3P4.C2","time",1.82075
"1994","S3P4.C2","Flux",0.33749
"1995","S3P6.C2","time",1.83918
"1996","S3P6.C2","Flux",0.10499
"1997","S1P2.W","time",1.36259
"1998","S1P2.W","Flux",0.00413
"1999","S1P4.W","time",1.3697
"2000","S1P4.W","Flux",-8.15e-05
"2001","S1P1.C1","time",1.85981
"2002","S1P1.C1","Flux",0.00707
"2003","S1P3.C1","time",1.83464
"2004","S1P3.C1","Flux",0.01972
"2005","S1P5.C1","time",0.27657
"2006","S1P5.C1","Flux",-0.0065
"2007","S2P1.C1","time",1.88667
"2008","S2P1.C1","Flux",-0.000347
"2009","S2P3.C1","time",1.87161
"2010","S2P3.C1","Flux",-0.000256
"2011","S2P5.C1","time",1.88201
"2012","S3P1.C1","time",1.8633
"2013","S3P1.C1","Flux",0.00944
"2014","S3P3.C1","time",1.87462
"2015","S3P3.C1","Flux",0.00619
"2016","S3P5.C1","time",1.95865
"2017","S3P5.C1","Flux",-0.00893
"2018","S1P2.C2","time",0.27674
"2019","S1P2.C2","Flux",0.05232
"2020","S1P4.C2","time",1.1564
"2021","S1P4.C2","Flux",0.0719
"2022","S1P6.C2","time",1.91308
"2023","S2P2.C2","time",1.94625
"2024","S2P4.C2","time",1.88684
"2025","S2P4.C2","Flux",0.23635
"2026","S2P6.C2","time",1.87181
"2027","S2P6.C2","Flux",0.000351
"2028","S3P2.C2","time",1.95884
"2029","S3P2.C2","Flux",0.10694
"2030","S3P4.C2","time",1.86347
"2031","S3P4.C2","Flux",0.1896
"2032","S3P6.C2","time",1.87481
"2033","S3P6.C2","Flux",0.12256
"2034","S1P2.W","time",1.42877
"2035","S1P2.W","Flux",-0.00176
"2036","S1P4.W","time",1.43589
"2037","S1P4.W","Flux",0.01487
"2038","S1P1.C1","time",1.9005
"2039","S1P1.C1","Flux",-0.00507
"2040","S1P3.C1","time",1.87028
"2041","S1P3.C1","Flux",0.02284
"2042","S1P5.C1","time",0.29079
"2043","S1P5.C1","Flux",-0.00706
"2044","S2P1.C1","time",1.92932
"2045","S2P1.C1","Flux",0.01215
"2046","S2P3.C1","time",1.91428
"2047","S2P3.C1","Flux",0.003
"2048","S2P5.C1","time",1.93183
"2049","S3P1.C1","time",1.89898
"2050","S3P1.C1","Flux",0.01022
"2051","S3P3.C1","time",1.91726
"2052","S3P3.C1","Flux",0.00249
"2053","S1P2.C2","time",0.29095
"2054","S1P2.C2","Flux",0.03953
"2055","S1P4.C2","time",1.20617
"2056","S1P4.C2","Flux",0.08339
"2057","S1P6.C2","time",1.94868
"2058","S2P2.C2","time",1.989
"2059","S2P2.C2","Flux",0.11821
"2060","S2P4.C2","time",1.92949
"2061","S2P4.C2","Flux",0.27287
"2062","S2P6.C2","time",1.91444
"2063","S2P6.C2","Flux",0.01292
"2064","S3P4.C2","time",1.89916
"2065","S3P4.C2","Flux",0.24651
"2066","S3P6.C2","time",1.91744
"2067","S3P6.C2","Flux",0.11843
"2068","S1P2.W","time",1.48791
"2069","S1P2.W","Flux",-0.000405
"2070","S1P4.W","time",1.49501
"2071","S1P4.W","Flux",0.000884
"2072","S1P1.C1","time",1.93617
"2073","S1P1.C1","Flux",0.00949
"2074","S1P3.C1","time",1.91291
"2075","S1P5.C1","time",0.30501
"2076","S1P5.C1","Flux",-0.00344
"2077","S2P1.C1","time",1.96498
"2078","S2P1.C1","Flux",9.86e-06
"2079","S2P3.C1","time",1.94984
"2080","S2P3.C1","Flux",0.00577
"2081","S2P5.C1","time",1.97457
"2082","S2P5.C1","Flux",0.01034
"2083","S3P1.C1","time",1.94168
"2084","S3P1.C1","Flux",0.01716
"2085","S3P3.C1","time",1.95284
"2086","S3P3.C1","Flux",-0.00639
"2087","S1P2.C2","time",0.30517
"2088","S1P2.C2","Flux",0.06309
"2089","S1P4.C2","time",1.24894
"2090","S1P4.C2","Flux",0.08167
"2091","S2P4.C2","time",1.96515
"2092","S2P4.C2","Flux",0.20504
"2093","S2P6.C2","time",1.95
"2094","S2P6.C2","Flux",0.03713
"2095","S3P4.C2","time",1.94185
"2096","S3P4.C2","Flux",0.49261
"2097","S3P6.C2","time",1.95302
"2098","S3P6.C2","Flux",0.15008
"2099","S1P2.W","time",1.54704
"2100","S1P2.W","Flux",0.0038
"2101","S1P4.W","time",1.55414
"2102","S1P4.W","Flux",-0.000853
"2103","S1P1.C1","time",1.97689
"2104","S1P1.C1","Flux",-0.00223
"2105","S1P3.C1","time",1.94851
"2106","S1P5.C1","time",0.31922
"2107","S1P5.C1","Flux",0.00512
"2108","S2P5.C1","time",2.02438
"2109","S2P5.C1","Flux",0.00622
"2110","S3P1.C1","time",1.97733
"2111","S3P1.C1","Flux",0.00907
"2112","S1P2.C2","time",0.31939
"2113","S1P2.C2","Flux",0.05431
"2114","S1P4.C2","time",1.2897
"2115","S1P4.C2","Flux",0.07427
"2116","S1P2.W","time",1.61324
"2117","S1P2.W","Flux",0.00524
"2118","S1P4.W","time",1.62037
"2119","S1P4.W","Flux",0.00254
"2120","S1P5.C1","time",0.33345
"2121","S1P5.C1","Flux",0.00221
"2122","S1P2.C2","time",0.33361
"2123","S1P2.C2","Flux",0.07051
"2124","S1P4.C2","time",1.32536
