"","X1","X2","X3"
"196",NA,NA,NA
"197","S3P5.C1",0.01732,-0.19205
"198",NA,NA,NA
"199","S1P2.C2",-0.000326,-1.49659
"200",NA,NA,NA
"201","S1P4.C2",0.00487,-0.15082
"202",NA,NA,NA
"203","S1P6.C2",-0.0047,-0.10104
"204",NA,NA,NA
"205","S2P8.C2",0.00255,-0.12279
"206",NA,NA,NA
"207","S2P4.C2",0.0069,-0.16826
"208",NA,NA,NA
"209","S2P6.C2",0.01164,-0.1369
"210",NA,NA,NA
"211","S3P2.C2",-0.00661,-0.16334
"212",NA,NA,NA
"213","S3P4.C2",0.00662,-0.14403
"214",NA,NA,NA
"215","S3P6.C2",0.00186,-0.17293
"216",NA,NA,NA
"217","S1P1.C1",0.01187,-0.10471
"218",NA,NA,NA
"219","S1P3.C1",0.00132,-0.04495
"220",NA,NA,NA
"221","S1P5.C1",-0.01202,-1.48253
"222",NA,NA,NA
"223","S2P1.C1",0.00985,-0.12216
"224",NA,NA,NA
"225","S2P3.C1",-0.01397,-0.07897
"226",NA,NA,NA
"227","S2P7.C1",0.00227,-0.08367
"228",NA,NA,NA
"229","S3P1.C1",-0.00732,-0.1727
"230",NA,NA,NA
"231","S3P3.C1",-0.01763,-0.12685
"232",NA,NA,NA
"233","S3P5.C1",-0.00212,-0.11728
"234",NA,NA,NA
"235","S1P2.C2",-0.00864,-1.48236
"236",NA,NA,NA
"237","S1P4.C2",-0.000735,-0.07598
"238",NA,NA,NA
"239","S1P6.C2",0.01102,-0.00735
"240",NA,NA,NA
"241","S2P8.C2",-0.00376,-0.04801
"242",NA,NA,NA
"243","S2P4.C2",0.01416,-0.09343
"244",NA,NA,NA
"245","S2P6.C2",-0.02382,-0.06207
"246",NA,NA,NA
"247","S3P2.C2",0.00125,-0.08854
"248",NA,NA,NA
"249","S3P4.C2",-0.0077,-0.06925
"250",NA,NA,NA
"251","S3P6.C2",0.0028,-0.09814
"252",NA,NA,NA
"253","S1P1.C1",-0.00404,-0.02986
"254",NA,NA,NA
"255","S1P3.C1",0.00198,-0.00755
"256",NA,NA,NA
"257","S1P5.C1",-0.00177,-1.46832
"258",NA,NA,NA
"259","S2P1.C1",0.00922,-0.04726
"260",NA,NA,NA
"261","S2P3.C1",-0.00183,-0.02704
"262",NA,NA,NA
"263","S2P7.C1",-0.01536,-0.00747
"264",NA,NA,NA
"265","S3P1.C1",0.00505,-0.09791
"266",NA,NA,NA
"267","S3P3.C1",-0.00842,-0.05207
"268",NA,NA,NA
"269","S3P5.C1",-0.00388,-0.04241
"270",NA,NA,NA
"271","S1P2.C2",0.00446,-1.46814
"272",NA,NA,NA
"273","S1P4.C2",0.00741,-0.00652
"274",NA,NA,NA
"275","S1P6.C2",0.00419,0.01405
"276",NA,NA,NA
"277","S2P8.C2",-0.00679,-0.000324
"278",NA,NA,NA
"279","S2P4.C2",-0.000286,-0.00723
"280",NA,NA,NA
"281","S2P6.C2",-0.0054,-0.03867
"282",NA,NA,NA
"283","S3P2.C2",0.00317,-0.01366
"284",NA,NA,NA
"285","S3P4.C2",-0.00382,-0.00716
"286",NA,NA,NA
"287","S3P6.C2",0.00782,-0.02815
"288",NA,NA,NA
"289","S1P1.C1",-0.02583,-0.0067
"290",NA,NA,NA
"291","S1P3.C1",0.00745,0.01385
"292",NA,NA,NA
"293",NA,NA,NA
"294","S2P1.C1",-0.00292,-0.00742
"295",NA,NA,NA
"296","S2P3.C1",-0.00545,-0.00565
"297",NA,NA,NA
"298","S2P7.C1",-0.004,0.01391
"299",NA,NA,NA
"300","S3P1.C1",0.01038,-0.02315
"301",NA,NA,NA
"302","S3P3.C1",-0.00136,-0.02834
"303",NA,NA,NA
"304","S3P5.C1",-0.00508,0.01333
"305",NA,NA,NA
"306",NA,NA,NA
"307","S1P4.C2",-0.00684,0.01488
"308",NA,NA,NA
"309","S1P6.C2",1.39e-05,0.03545
"310",NA,NA,NA
"311","S2P8.C2",-0.00749,0.02105
"312",NA,NA,NA
"313","S2P4.C2",-0.00246,0.01417
"314",NA,NA,NA
"315",NA,NA,NA
"316","S3P2.C2",0.0015,0.01354
"317",NA,NA,NA
"318","S3P4.C2",-0.00488,0.01422
"319",NA,NA,NA
"320","S3P6.C2",-0.0028,-0.00682
"321",NA,NA,NA
"322","S1P1.C1",0.01114,0.01469
"323",NA,NA,NA
"324","S1P3.C1",0.00876,0.03525
"325",NA,NA,NA
"326",NA,NA,NA
"327","S2P1.C1",0.02082,0.01398
"328",NA,NA,NA
"329","S2P3.C1",-0.00451,0.01573
"330",NA,NA,NA
"331","S2P7.C1",-0.000324,0.0353
"332",NA,NA,NA
