"","Label","Time","Time_Flux"
"1790","S2P4.C2","Flux",-0.00869
"1791","S2P6.C2","time",1.45508
"1792","S2P6.C2","Flux",0.000933
"1793","S3P2.C2","time",1.39333
"1794","S3P2.C2","Flux",0.0036
"1795","S3P4.C2","time",1.36922
"1796","S3P4.C2","Flux",0.0075
"1797","S3P6.C2","time",1.48845
"1798","S3P6.C2","Flux",0.00894
"1799","S1P1.C1","time",1.38292
"1800","S1P1.C1","Flux",0.000499
"1801","S1P3.C1","time",1.41443
"1802","S1P3.C1","Flux",0.00268
"1803","S1P5.C1","time",-0.8344
"1804","S1P5.C1","Flux",-0.02257
"1805","S2P1.C1","time",1.30904
"1806","S2P1.C1","Flux",-0.011
"1807","S2P3.C1","time",1.43111
"1808","S2P3.C1","Flux",0.01535
"1809","S2P7.C1","time",0.92551
"1810","S2P7.C1","Flux",-0.0085
"1811","S3P1.C1","time",1.30742
"1812","S3P1.C1","Flux",-0.01116
"1813","S3P3.C1","time",1.43122
"1814","S3P3.C1","Flux",-0.00243
"1815","S3P5.C1","time",1.39316
"1816","S3P5.C1","Flux",0.000996
"1817","S1P2.C2","time",-0.80208
"1818","S1P2.C2","Flux",-0.00404
"1819","S1P4.C2","time",1.4578
"1820","S1P4.C2","Flux",-0.00566
"1821","S1P6.C2","time",1.52854
"1822","S1P6.C2","Flux",0.00708
"1823","S2P8.C2","time",0.93264
"1824","S2P8.C2","Flux",-0.00284
"1825","S2P4.C2","time",1.43906
"1826","S2P4.C2","Flux",-0.000621
"1827","S2P6.C2","time",1.49424
"1828","S2P6.C2","Flux",0.00304
"1829","S3P2.C2","time",1.43242
"1830","S3P2.C2","Flux",-0.0085
"1831","S3P4.C2","time",1.42009
"1832","S3P4.C2","Flux",-0.01051
"1833","S3P6.C2","time",1.53472
"1834","S3P6.C2","Flux",0.00682
"1835","S1P1.C1","time",1.4185
"1836","S1P1.C1","Flux",0.00428
"1837","S1P3.C1","time",1.45353
"1838","S1P3.C1","Flux",0.00862
"1839","S1P5.C1","time",-0.8201
"1840","S1P5.C1","Flux",-0.00511
"1841","S2P1.C1","time",1.36402
"1842","S2P1.C1","Flux",0.000547
"1843","S2P3.C1","time",1.46671
"1844","S2P3.C1","Flux",-0.0182
"1845","S2P7.C1","time",0.94686
"1846","S2P7.C1","Flux",-0.00757
"1847","S3P1.C1","time",1.33347
"1848","S3P1.C1","Flux",0.009
"1849","S3P3.C1","time",1.47396
"1850","S3P3.C1","Flux",0.01295
"1851","S3P5.C1","time",1.43225
"1852","S3P5.C1","Flux",0.00997
"1853","S1P2.C2","time",-0.78781
"1854","S1P2.C2","Flux",-0.000106
"1855","S1P4.C2","time",1.49343
"1856","S1P4.C2","Flux",0.00668
"1857","S1P6.C2","time",1.56419
"1858","S1P6.C2","Flux",-0.0101
"1859","S2P8.C2","time",0.95399
"1860","S2P8.C2","Flux",-0.00909
"1861","S2P4.C2","time",1.47472
"1862","S2P4.C2","Flux",0.02774
"1863","S2P6.C2","time",1.52986
"1864","S2P6.C2","Flux",-0.01193
"1865","S3P2.C2","time",1.468
"1866","S3P2.C2","Flux",0.01586
"1867","S3P4.C2","time",1.45569
"1868","S3P4.C2","Flux",-0.02059
"1869","S3P6.C2","time",1.57744
"1870","S3P6.C2","Flux",-0.01218
"1871","S1P1.C1","time",1.4576
"1872","S1P1.C1","Flux",-0.00778
"1873","S1P3.C1","time",1.48914
"1874","S1P3.C1","Flux",-0.00218
"1875","S1P5.C1","time",-0.80229
"1876","S1P5.C1","Flux",-0.0146
"1877","S2P1.C1","time",1.39968
"1878","S2P1.C1","Flux",0.01466
"1879","S2P3.C1","time",1.50587
"1880","S2P3.C1","Flux",-0.01118
"1881","S2P7.C1","time",0.97179
"1882","S2P7.C1","Flux",0.000915
"1883","S3P1.C1","time",1.36906
"1884","S3P1.C1","Flux",-0.00228
"1885","S3P3.C1","time",1.52027
"1886","S3P3.C1","Flux",0.01388
"1887","S3P5.C1","time",1.46782
"1888","S3P5.C1","Flux",0.00732
"1889","S1P2.C2","time",-0.77356
"1890","S1P2.C2","Flux",-0.01322
"1891","S1P4.C2","time",1.53264
"1892","S1P4.C2","Flux",0.00403
"1893","S1P6.C2","time",1.60333
"1894","S1P6.C2","Flux",-0.00139
"1895","S2P8.C2","time",0.97892
