"","Label","Pyr","Flux","Time","Condition"
"1181","S2P8","C2",-15.31477,1.3755,"Pre-Drought"
"1182","S3P6","C2",-11.38152,2.4438,"Pre-Drought"
"1183","S1P3","C1",12.59084,4.12883,"Pre-Drought"
"1184","S1P5","C1",-4.79333,-0.52109,"Pre-Drought"
"1185","S3P3","C1",-17.88982,2.38311,"Pre-Drought"
"1186","S1P2","C2",6.5849,-0.49245,"Pre-Drought"
"1187","S2P8","C2",3.62321,1.39685,"Pre-Drought"
"1188","S3P6","C2",21.71338,2.48657,"Pre-Drought"
"1189","S1P3","C1",1.19617,4.14313,"Pre-Drought"
"1190","S1P5","C1",9.87651,-0.50689,"Pre-Drought"
"1191","S2P1","C1",-21.50559,9.73039,"Pre-Drought"
"1192","S2P7","C1",-14.34749,1.41106,"Pre-Drought"
"1193","S3P3","C1",-14.85913,2.42932,"Pre-Drought"
"1194","S1P2","C2",-8.56014,-0.47819,"Pre-Drought"
"1195","S2P8","C2",-1.92788,1.41817,"Pre-Drought"
"1196","S3P6","C2",-14.85089,2.53287,"Pre-Drought"
"1197","S1P3","C1",23.59804,4.15745,"Pre-Drought"
"1198","S1P5","C1",-8.0345,-0.49266,"Pre-Drought"
"1199","S2P1","C1",-5.49522,9.82293,"Pre-Drought"
"1200","S2P7","C1",-3.68655,1.43595,"Pre-Drought"
"1201","S3P3","C1",-25.05865,2.47209,"Pre-Drought"
"1202","S1P2","C2",-9.38558,-0.46398,"Pre-Drought"
"1203","S2P8","C2",-14.02867,1.44306,"Pre-Drought"
"1204","S3P6","C2",-23.68187,2.5756,"Pre-Drought"
"1205","S1P3","C1",-4.34277,4.17178,"Pre-Drought"
"1206","S1P5","C1",-3.19602,-0.47837,"Pre-Drought"
"1207","S2P1","C1",12.16156,9.9155,"Pre-Drought"
"1208","S2P7","C1",-25.83737,1.45728,"Pre-Drought"
"1209","S3P3","C1",35.91216,2.51843,"Pre-Drought"
"1210","S1P2","C2",-4.705,-0.44625,"Pre-Drought"
"1211","S2P8","C2",9.64692,1.46441,"Pre-Drought"
"1212","S3P6","C2",-32.83397,2.62189,"Pre-Drought"
"1213","S1P5","C1",3.13796,-0.46416,"Pre-Drought"
"1214","S2P1","C1",3.94425,10.05635,"Pre-Drought"
"1215","S2P7","C1",0.9559,1.4787,"Pre-Drought"
"1216","S3P3","C1",22.24286,2.56116,"Pre-Drought"
"1217","S1P2","C2",-0.0197,-0.43201,"Pre-Drought"
"1218","S2P8","C2",-23.32839,1.48583,"Pre-Drought"
"1219","S1P5","C1",7.82631,-0.44641,"Pre-Drought"
"1220","S2P1","C1",-12.97189,10.15161,"Pre-Drought"
"1221","S2P7","C1",0.33871,1.50006,"Pre-Drought"
"1222","S3P3","C1",-24.85699,2.60743,"Pre-Drought"
"1223","S1P2","C2",-6.896,-0.41777,"Pre-Drought"
"1224","S2P8","C2",-24.57991,1.50719,"Pre-Drought"
"1225","S3P6","C2",16.87951,2.71088,"Pre-Drought"
"1226","S1P5","C1",-16.36962,-0.43221,"Pre-Drought"
"1227","S2P1","C1",16.29824,10.24424,"Pre-Drought"
"1228","S2P7","C1",5.19589,1.525,"Pre-Drought"
"1229","S3P3","C1",11.49368,2.65017,"Pre-Drought"
"1230","S2P8","C2",-12.72421,1.53213,"Pre-Drought"
"1231","S3P6","C2",-0.27913,2.75362,"Pre-Drought"
"1232","S1P5","C1",-0.48159,-0.41797,"Pre-Drought"
"1233","S2P1","C1",-2.3013,10.33694,"Pre-Drought"
"1234","S2P7","C1",-13.39744,1.54639,"Pre-Drought"
"1235","S3P3","C1",8.0067,2.69646,"Pre-Drought"
"1236","S1P2","C2",0.3204,-0.38924,"Pre-Drought"
"1237","S2P8","C2",1.34134,1.55352,"Pre-Drought"
"1238","S3P6","C2",-20.70972,2.79988,"Pre-Drought"
"1239","S1P5","C1",18.33039,-0.4037,"Pre-Drought"
"1240","S2P1","C1",-5.59841,10.42949,"Pre-Drought"
"1241","S2P7","C1",23.90243,1.56777,"Pre-Drought"
"1242","S3P3","C1",0.6786,2.73918,"Pre-Drought"
"1243","S1P2","C2",-8.56096,-0.37498,"Pre-Drought"
"1244","S2P8","C2",7.26057,1.5749,"Pre-Drought"
"1245","S3P6","C2",3.4349,2.84262,"Pre-Drought"
"1246","S1P5","C1",31.82771,-0.38943,"Pre-Drought"
"1247","S2P1","C1",-15.07352,10.52207,"Pre-Drought"
"1248","S3P3","C1",19.909,2.78544,"Pre-Drought"
"1249","S1P2","C2",-30.45754,-0.35715,"Pre-Drought"
"1250","S3P6","C2",-1.9912,2.88892,"Pre-Drought"
"1251","S2P7","C1",16.11525,1.61403,"Pre-Drought"
"1252","S3P3","C1",-14.4953,2.82817,"Pre-Drought"
"1253","S2P8","C2",-3.33921,1.62116,"Pre-Drought"
"1254","S1P5","C1",27.84355,-0.35735,"Pre-Drought"
"1255","S2P1","C1",2.53842,10.70714,"Pre-Drought"
"1256","S2P7","C1",-16.26456,1.63539,"Pre-Drought"
"1257","S2P8","C2",15.96883,1.64252,"Pre-Drought"
"1258","S3P6","C2",29.13561,2.97787,"Pre-Drought"
"1259","S1P5","C1",19.96377,-0.3431,"Pre-Drought"
"1260","S2P1","C1",-8.98394,10.79971,"Pre-Drought"
"1261","S2P7","C1",-7.26079,1.65678,"Pre-Drought"
"1262","S3P3","C1",-5.62901,2.91723,"Pre-Drought"
"1263","S1P2","C2",9.38814,-0.3144,"Pre-Drought"
"1264","S2P8","C2",6.29773,1.66391,"Pre-Drought"
"1265","S1P5","C1",-7.49239,-0.32887,"Pre-Drought"
"1266","S2P1","C1",3.33507,10.89231,"Pre-Drought"
"1267","S2P7","C1",-2.54144,1.67813,"Pre-Drought"
"1268","S3P3","C1",-34.91778,2.96352,"Pre-Drought"
"1269","S1P2","C2",0.46995,-0.30012,"Pre-Drought"
"1270","S2P8","C2",13.12184,1.68525,"Pre-Drought"
"1271","S1P5","C1",-7.09337,-0.31459,"Pre-Drought"
"1272","S2P1","C1",-1.12193,10.98493,"Pre-Drought"
"1273","S2P7","C1",-25.17614,1.70308,"Pre-Drought"
"1274","S1P2","C2",8.95195,-0.28588,"Pre-Drought"
"1275","S2P8","C2",-1.8498,1.71021,"Pre-Drought"
"1276","S1P5","C1",8.80918,-0.30031,"Pre-Drought"
"1277","S2P1","C1",-32.71676,11.07749,"Pre-Drought"
"1278","S2P7","C1",-15.56544,1.7244,"Pre-Drought"
"1279","S1P2","C2",3.84758,-0.2681,"Pre-Drought"
"1280","S2P8","C2",-0.46665,1.73153,"Pre-Drought"
"1281","S1P5","C1",-2.82087,-0.28608,"Pre-Drought"
"1282","S2P1","C1",4.82107,11.17012,"Pre-Drought"
"1283","S2P7","C1",-37.4954,1.74578,"Pre-Drought"
"1284","S1P2","C2",16.14928,-0.25382,"Pre-Drought"
"1285","S2P8","C2",25.90003,1.75291,"Pre-Drought"
"1286","S1P5","C1",9.87453,-0.26829,"Pre-Drought"
"1287","S2P1","C1",6.98608,11.26273,"Pre-Drought"
"1288","S2P7","C1",0.41891,1.76714,"Pre-Drought"
"1289","S1P2","C2",-25.73483,-0.23958,"Pre-Drought"
"1290","S2P8","C2",-6.2904,1.77427,"Pre-Drought"
"1291","S1P5","C1",-9.72759,-0.25402,"Pre-Drought"
"1292","S2P1","C1",4.10731,11.37456,"Pre-Drought"
"1293","S2P7","C1",-1.29073,1.79205,"Pre-Drought"
"1294","S1P2","C2",-1.98684,-0.22535,"Pre-Drought"
"1295","S1P5","C1",6.15838,-0.23978,"Pre-Drought"
"1296","S2P1","C1",5.42445,11.46711,"Pre-Drought"
"1297","S1P2","C2",11.09218,-0.21111,"Pre-Drought"
"1298","S2P8","C2",15.27114,1.82053,"Pre-Drought"
"1299","S1P5","C1",-13.71586,-0.22554,"Pre-Drought"
"1300","S2P1","C1",20.33726,11.55962,"Pre-Drought"
"1301","S2P7","C1",19.1345,1.83478,"Pre-Drought"
"1302","S1P2","C2",-11.7215,-0.19688,"Pre-Drought"
"1303","S2P8","C2",7.48024,1.84191,"Pre-Drought"
"1304","S1P5","C1",14.39694,-0.21131,"Pre-Drought"
"1305","S2P1","C1",12.69612,11.65223,"Pre-Drought"
"1306","S2P7","C1",-2.08539,1.85613,"Pre-Drought"
"1307","S1P2","C2",-12.86409,-0.17911,"Pre-Drought"
"1308","S2P8","C2",27.57934,1.86326,"Pre-Drought"
