"","Label","Pyr","Flux","Time","Condition"
"950","S1P5","C1",-0.000789,-0.78801,"Pre-Drought"
"951","S2P1","C1",0.00132,1.43889,"Pre-Drought"
"952","S2P3","C1",-0.000205,1.54148,"Pre-Drought"
"953","S2P7","C1",0.01272,0.99315,"Pre-Drought"
"954","S3P1","C1",-0.00697,1.41993,"Pre-Drought"
"955","S3P3","C1",0.00448,1.56302,"Pre-Drought"
"956","S3P5","C1",-0.00516,1.50699,"Pre-Drought"
"957","S1P2","C2",-0.00542,-0.75931,"Pre-Drought"
"958","S1P4","C2",0.00704,1.56832,"Pre-Drought"
"959","S1P6","C2",0.01576,1.63896,"Pre-Drought"
"960","S2P8","C2",0.0066,1.00028,"Pre-Drought"
"961","S2P4","C2",0.01009,1.54956,"Pre-Drought"
"962","S2P6","C2",-0.00544,1.60466,"Pre-Drought"
"963","S3P2","C2",-0.00983,1.54281,"Pre-Drought"
"964","S3P4","C2",-0.00628,1.54256,"Pre-Drought"
"965","S3P6","C2",0.00952,1.66639,"Pre-Drought"
"966","S1P1","C1",0.00183,1.53244,"Pre-Drought"
"967","S1P3","C1",-0.00906,1.564,"Pre-Drought"
"968","S1P5","C1",-0.0057,-0.77376,"Pre-Drought"
"969","S2P1","C1",0.00753,1.47455,"Pre-Drought"
"970","S2P3","C1",0.00416,1.58066,"Pre-Drought"
"971","S2P7","C1",0.00151,1.01453,"Pre-Drought"
"972","S3P1","C1",0.00235,1.45553,"Pre-Drought"
"973","S3P3","C1",-0.00521,1.60925,"Pre-Drought"
"974","S3P5","C1",0.00307,1.54264,"Pre-Drought"
"975","S1P2","C2",0.00688,-0.74502,"Pre-Drought"
"976","S1P4","C2",0.01237,1.60757,"Pre-Drought"
"977","S1P6","C2",-0.00712,1.67806,"Pre-Drought"
"978","S2P8","C2",-0.00452,1.02166,"Pre-Drought"
"979","S2P4","C2",0.00983,1.58872,"Pre-Drought"
"980","S2P6","C2",0.0042,1.64381,"Pre-Drought"
"981","S3P2","C2",0.01098,1.58196,"Pre-Drought"
"982","S3P4","C2",0.02087,1.59373,"Pre-Drought"
"983","S3P6","C2",0.01072,1.71267,"Pre-Drought"
"984","S1P1","C1",0.00874,1.56813,"Pre-Drought"
"985","S1P3","C1",0.00107,1.60315,"Pre-Drought"
"986","S1P5","C1",0.00617,-0.75949,"Pre-Drought"
"987","S2P1","C1",-0.00376,1.51373,"Pre-Drought"
"988","S2P3","C1",0.01052,1.61631,"Pre-Drought"
"989","S2P7","C1",0.00423,1.03588,"Pre-Drought"
"990","S3P1","C1",0.01468,1.50678,"Pre-Drought"
"991","S3P3","C1",0.01404,1.65194,"Pre-Drought"
"992","S3P5","C1",0.0033,1.58177,"Pre-Drought"
"993","S1P2","C2",-0.01231,-0.73075,"Pre-Drought"
"994","S1P4","C2",0.00781,1.64316,"Pre-Drought"
"995","S1P6","C2",-0.01339,1.71366,"Pre-Drought"
"996","S2P8","C2",0.000604,1.04301,"Pre-Drought"
"997","S2P4","C2",4.83e-05,1.62437,"Pre-Drought"
"998","S2P6","C2",0.000345,1.6794,"Pre-Drought"
"999","S3P2","C2",-0.00468,1.61762,"Pre-Drought"
"1000","S3P4","C2",-0.00399,1.62934,"Pre-Drought"
"1001","S3P6","C2",-0.01133,1.75541,"Pre-Drought"
"1002","S1P1","C1",0.00652,1.60741,"Pre-Drought"
"1003","S1P3","C1",-0.000641,1.6388,"Pre-Drought"
"1004","S1P5","C1",0.01468,-0.74522,"Pre-Drought"
"1005","S2P1","C1",0.0012,1.54939,"Pre-Drought"
"1006","S2P3","C1",0.000888,1.65544,"Pre-Drought"
"1007","S2P7","C1",0.00649,1.06082,"Pre-Drought"
"1008","S3P1","C1",-0.00529,1.54238,"Pre-Drought"
"1009","S3P3","C1",-0.00576,1.69822,"Pre-Drought"
"1010","S3P5","C1",0.00815,1.61743,"Pre-Drought"
"1011","S1P2","C2",-0.00568,-0.71293,"Pre-Drought"
"1012","S1P4","C2",-0.00447,1.6824,"Pre-Drought"
"1013","S1P6","C2",-0.00696,1.75278,"Pre-Drought"
"1014","S2P8","C2",0.01309,1.06796,"Pre-Drought"
"1015","S2P4","C2",-0.00588,1.66355,"Pre-Drought"
"1016","S2P6","C2",0.00492,1.71858,"Pre-Drought"
"1017","S3P2","C2",-0.00873,1.65676,"Pre-Drought"
"1018","S3P4","C2",-0.00253,1.68057,"Pre-Drought"
"1019","S3P6","C2",0.00398,1.80166,"Pre-Drought"
"1020","S1P1","C1",-0.00129,1.64296,"Pre-Drought"
"1021","S1P3","C1",0.00277,1.67789,"Pre-Drought"
"1022","S1P5","C1",-0.0022,-0.73095,"Pre-Drought"
"1023","S2P3","C1",0.00534,1.69103,"Pre-Drought"
"1024","S2P7","C1",-0.000517,1.08219,"Pre-Drought"
"1025","S3P1","C1",0.000206,1.59356,"Pre-Drought"
"1026","S3P3","C1",-0.00285,1.74096,"Pre-Drought"
"1027","S3P5","C1",-0.00153,1.65657,"Pre-Drought"
"1028","S1P2","C2",0.00217,-0.69867,"Pre-Drought"
"1029","S1P4","C2",0.00746,1.71804,"Pre-Drought"
"1030","S1P6","C2",0.00561,1.7884,"Pre-Drought"
"1031","S2P8","C2",0.02265,1.08932,"Pre-Drought"
"1032","S2P4","C2",-0.00169,1.69921,"Pre-Drought"
"1033","S2P6","C2",0.000784,1.75419,"Pre-Drought"
"1034","S3P2","C2",0.00818,1.69242,"Pre-Drought"
"1035","S3P4","C2",0.00111,1.71619,"Pre-Drought"
"1036","S3P6","C2",-0.00184,1.84438,"Pre-Drought"
"1037","S1P1","C1",-0.00659,1.6822,"Pre-Drought"
"1038","S1P3","C1",0.01478,1.71348,"Pre-Drought"
"1039","S1P5","C1",0.0851,-0.71312,"Pre-Drought"
"1040","S2P1","C1",0.00122,1.6242,"Pre-Drought"
"1041","S2P3","C1",-0.01364,1.7302,"Pre-Drought"
"1042","S2P7","C1",0.00207,1.10358,"Pre-Drought"
"1043","S3P1","C1",-0.06341,1.62918,"Pre-Drought"
