S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.1142,-0.01369,0.10638,,-0.46218,,0.10652,-0.00247,0.10666,,0.0944,,0.10638,0.00197,0.10632,-0.00324,0.14977,,-0.462,,-1.15806,9.12E-04,0.12789,,0.09457,,0.10669,0.04586,0.10683,-6.04E-04,0.14997,0.02302,0.10654,0.03988,0.10649,0.00875,0.10405,-0.0047,0.11116,-0.00165
0.13557,-0.00482,0.12772,,-0.44794,0.00132,0.12791,-0.009,0.12799,-0.00872,0.11575,,0.12774,0.00828,0.12765,-0.01709,0.17817,0.00244,-0.44777,,-1.12242,,0.14927,,0.11593,,0.12808,0.05217,0.12816,-1.74E-04,0.17837,0.05785,0.12791,0.05183,0.12784,0.01904,0.12542,-0.00163,0.13253,0.00133
0.15692,,0.1491,,-0.4337,,0.14927,-0.00139,0.14939,0.00472,0.13709,,0.14913,0.007,0.149,-6.80E-04,0.19959,-0.00799,-0.43353,,-1.07972,,0.17765,,0.13729,,0.14944,0.0743,0.14959,0.01053,0.19979,0.05624,0.14929,0.08228,0.14919,0.02017,0.14679,-0.00421,0.15391,0.00197
0.18535,0.00243,0.17748,,-0.41947,,0.17767,0.00683,0.17779,4.29E-06,0.16552,,0.17752,-0.00259,0.17743,-0.00299,0.22095,-0.00914,-0.41929,,-1.04414,,0.19903,,0.16569,-0.00917,0.17788,0.10066,0.178,0.00971,0.22113,0.08383,0.17769,0.0866,0.17762,0.01285,0.1752,-0.00304,0.18228,0.0065
0.20671,-0.00534,0.19885,,-0.39818,7.74E-05,0.19904,0.01349,0.19922,0.01558,0.1869,,0.1989,,0.19877,-0.00257,0.24229,-4.74E-04,-0.39801,,-0.66071,-0.0074,0.22041,,0.18707,0.00201,0.19921,0.10331,0.19939,0.01181,0.24249,0.06305,0.19906,0.12394,0.19896,0.02211,0.19653,0.00507,0.20363,0.01708
0.2281,-1.97E-04,0.22023,,-0.38395,,0.22045,0.00108,0.22056,-0.00683,0.20826,,0.22025,0.00372,0.22015,-0.01366,0.28663,-0.00344,-0.38377,,-0.58242,0.00144,0.24182,,0.20841,-4.56E-04,0.22064,0.10921,0.22075,0.00374,0.28683,0.07952,0.22042,0.18224,0.22032,0.02704,0.21788,-0.00663,0.225,4.26E-04
0.24948,0.00325,0.24164,,-0.36971,,0.24183,-8.10E-04,0.24199,0.01426,0.22959,,0.24164,0.02542,0.24149,0.00499,0.32222,,-0.36954,,-0.50404,0.00879,0.27385,,0.22976,0.02087,0.242,0.196,0.24215,0.02899,0.32242,0.11251,0.24182,0.23951,0.24168,0.0464,0.23924,0.00978,0.24638,0.00304
0.28852,0.00123,0.27368,,-0.35547,,0.28213,-0.00536,0.30049,2.11E-04,0.258,-0.01632,0.27527,0.01501,0.27263,-0.01901,0.36493,-1.96E-04,-0.3553,,-0.42568,-0.00239,0.30943,0.09727,0.25817,0.05101,0.2823,0.14028,0.30069,0.0162,0.36513,0.11544,0.27543,0.23255,0.27281,0.04289,0.26766,-0.00291,0.27479,-0.01168
0.3242,0.00487,0.30926,-0.00161,-0.34124,,0.31774,0.00701,0.33616,0.0043,0.27683,-0.00163,0.31093,0.02053,0.30825,-0.00136,0.40057,,-0.34106,,-0.3473,,0.35209,,0.27701,0.0614,0.31792,0.18953,0.33637,0.0083,0.40076,0.1277,0.31109,0.24249,0.30844,0.05834,0.28903,0.00329,0.29615,0.00526
0.36685,0.01283,0.35191,,-0.327,,0.36037,4.80E-06,0.37888,-0.00356,0.31245,-0.02455,0.35156,9.47E-04,0.35086,-0.00176,0.44319,6.22E-04,-0.32683,,-0.26895,,0.38769,0.0919,0.31264,0.04977,0.36054,0.17268,0.37907,0.01567,0.44339,0.15015,0.35172,0.26541,0.35104,0.05949,0.31041,-0.00614,0.31751,0.00284
