S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.1142,0.01058,0.10638,0.0334,-0.46218,,0.10652,0.02355,0.10666,,0.0944,0.01069,0.10638,0.02688,0.10632,-6.44E-04,0.14977,0.01626,-0.462,0.00137,-1.15806,0.00598,0.12789,,0.09457,0.03015,0.10669,0.03963,0.10683,0.02101,0.14997,0.02618,0.10654,0.02112,0.10649,0.01231,0.10405,,0.11116,0.01081
0.13557,0.01618,0.12772,,-0.44794,,0.12791,0.01983,0.12799,0.03401,0.11575,,0.12774,0.03553,0.12765,0.00793,0.17817,-0.00546,-0.44777,,-1.12242,0.01078,0.14927,,0.11593,0.02277,0.12808,0.01808,0.12816,0.01278,0.17837,0.01102,0.12791,0.01704,0.12784,8.41E-04,0.12542,0.00297,0.13253,
0.15692,0.0147,0.1491,,-0.4337,-0.00769,0.14927,0.02527,0.14939,0.03988,0.13709,0.02376,0.14913,0.039,0.149,0.00737,0.19959,-0.02566,-0.43353,-0.0028,-1.07972,,0.17765,,0.13729,0.02953,0.14944,0.01636,0.14959,0.01774,0.19979,0.00377,0.14929,0.02409,0.14919,0.02762,0.14679,-9.70E-04,0.15391,0.00425
0.18535,0.02422,0.17748,,-0.41947,,0.17767,0.02045,0.17779,0.05081,0.16552,0.0339,0.17752,0.05131,0.17743,0.00914,0.22095,4.60E-04,-0.41929,-6.19E-05,-1.04414,6.25E-04,0.19903,,0.16569,0.03934,0.17788,0.03965,0.178,0.01071,0.22113,0.03373,0.17769,0.02838,0.17762,0.00776,0.1752,,0.18228,0.00612
0.20671,0.01093,0.19885,,-0.39818,,0.19904,0.00217,0.19922,0.0422,0.1869,0.03123,0.1989,0.05264,0.19877,0.01216,0.24229,4.27E-04,-0.39801,-0.0054,-0.66071,-0.01541,0.22041,,0.18707,0.05282,0.19921,0.04423,0.19939,0.0149,0.24249,0.01926,0.19906,0.03618,0.19896,0.01328,0.19653,,0.20363,-0.00829
0.2281,0.00503,0.22023,,-0.38395,,0.22045,0.03987,0.22056,0.04188,0.20826,0.01817,0.22025,0.06302,0.22015,0.00949,0.28663,-0.01141,-0.38377,-0.00693,-0.58242,4.02E-04,0.24182,,0.20841,0.02981,0.22064,0.03706,0.22075,-0.00349,0.28683,0.02874,0.22042,0.03806,0.22032,0.01691,0.21788,0.01575,0.225,-0.00301
0.24948,0.04121,0.24164,,-0.36971,,0.24183,0.03127,0.24199,0.05532,0.22959,0.03048,0.24164,0.08862,0.24149,0.02263,0.32222,-0.00345,-0.36954,,-0.50404,0.01027,0.27385,,0.22976,0.02697,0.242,0.06465,0.24215,0.01945,0.32242,0.02517,0.24182,0.05191,0.24168,0.01251,0.23924,0.00831,0.24638,2.43E-04
0.28852,0.04002,0.27368,,-0.35547,,0.28213,0.03024,0.30049,0.04351,0.258,0.03586,0.27527,0.08992,0.27263,-0.00248,0.36493,0.00216,-0.3553,0.00769,-0.42568,0.00523,0.30943,0.01649,0.25817,0.04541,0.2823,0.0677,0.30069,0.00252,0.36513,-0.00188,0.27543,0.04138,0.27281,0.02816,0.26766,0.00863,0.27479,-1.20E-04
0.3242,0.0175,0.30926,0.04742,-0.34124,,0.31774,-0.00294,0.33616,0.03491,0.27683,0.01038,0.31093,0.07955,0.30825,0.01791,0.40057,0.00255,-0.34106,-0.0138,-0.3473,,0.35209,,0.27701,0.04548,0.31792,0.07974,0.33637,0.01024,0.40076,6.64E-04,0.31109,0.03407,0.30844,0.01532,0.28903,3.28E-04,0.29615,-0.00954
0.36685,0.03463,0.35191,,-0.327,0.00641,0.36037,0.01457,0.37888,0.03694,0.31245,0.02786,0.35156,0.04701,0.35086,0.01549,0.44319,-0.0097,-0.32683,,-0.26895,,0.38769,0.02372,0.31264,0.0255,0.36054,0.07018,0.37907,0.0103,0.44339,-0.00393,0.35172,0.01698,0.35104,0.02883,0.31041,-0.00428,0.31751,0.01006
0.40251,0.03554,0.38751,0.05043,-0.30572,,0.39601,0.01617,0.41454,0.03321,0.35509,0.02112,0.38725,0.06838,0.38642,0.00704,0.47883,0.00141,-0.30554,-0.00485,-0.19067,,0.43038,0.02006,0.35528,0.03746,0.39618,0.04151,0.41473,0.02311,0.47904,0.01513,0.38741,0.03638,0.38661,0.02239,0.33176,-0.00354,0.33888,-0.00232
0.44519,0.03082,0.43021,0.05695,-0.29148,-0.01463,0.43867,0.01146,0.45725,0.04665,0.39071,0.02753,0.42795,0.04831,0.429,0.00193,0.52152,,-0.29131,-0.00289,-0.11238,,0.466,0.03681,0.39089,0.0388,0.43884,0.0515,0.45744,0.00167,0.52171,0.00445,0.42811,0.03165,0.42919,0.00953,0.36017,-0.00226,0.3673,
0.48086,0.02773,0.46581,0.03451,-0.27725,0.0109,0.47435,0.00923,0.49292,0.02219,0.43339,,0.46361,0.04539,0.46459,0.00859,0.55713,,-0.27707,0.00841,-0.03403,-0.00167,0.50873,0.01331,0.43356,0.03896,0.47453,0.05397,0.49311,0.00819,0.55734,0.02057,0.46377,0.02819,0.46478,0.0165,0.38155,0.00956,0.38867,-0.00139
0.52355,0.0216,0.50854,0.04763,-0.26301,-0.00304,0.51705,0.00854,0.53561,0.04081,0.469,0.02317,0.50433,0.03754,0.50721,0.01522,0.59984,,-0.26284,,5.21E-04,0.00722,0.54436,0.01549,0.46919,0.03411,0.51722,0.0497,0.53581,0.00316,0.60003,,0.50449,0.0308,0.5074,-0.00144,0.40292,0.00204,0.41005,7.45E-04
0.55922,0.02409,0.54418,0.04507,-0.24877,,0.55272,0.00661,0.5713,0.02776,0.51169,0.00832,0.53999,0.03423,0.54279,0.00915,0.63549,,-0.2486,,0.02187,0.00354,0.58706,,0.51186,0.0347,0.55289,0.03107,0.57149,,0.63566,,0.54015,0.00938,0.54297,0.0055,0.42428,-0.00552,0.43141,0.00233
