S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.0575,-0.00635,0.08161,5.48E-04,-1.40788,0.02883,0.05678,-0.00212,0.0473,-0.00192,0.0816,-0.00201,0.03544,-0.00164,0.03574,-0.00485,0.07759,-0.00422,-1.40769,3.61E-04,0.08265,0.00265,0.10321,-0.00652,0.08874,0.00544,0.0819,0.01237,0.05706,-0.01022,0.0778,-0.00463,0.08193,-0.01267,0.06083,-2.69E-04
0.08245,-5.17E-04,0.10301,-0.00716,-1.39363,0.00218,0.08171,-0.01495,0.06868,0.00584,0.10296,0.01132,0.05684,,0.06062,-0.01204,0.10253,0.01431,-1.39345,0.00643,0.10404,0.01178,0.12461,-0.01201,0.1101,3.96E-05,0.1033,0.00117,0.07846,-0.00175,0.10272,0.0061,0.10334,0.00607,0.08222,0.007
0.10384,-0.00424,0.12441,-0.00261,-1.37941,0.01341,0.10311,-0.00535,0.09008,0.01332,0.1244,-0.01058,0.08177,-0.01749,0.08201,-9.11E-04,0.12394,0.00853,-1.37922,0.00439,0.12547,-0.00393,0.14601,9.51E-04,0.13154,0.0102,0.12471,-9.88E-05,0.10339,0.01009,0.12414,-0.00228,0.12472,-2.90E-04,0.1036,0.00256
0.12527,0.00482,0.14581,-0.00212,-1.36516,0.01448,0.12453,0.0197,0.11501,0.00596,0.14576,-0.01184,0.10317,-0.00157,0.10339,0.01494,0.14536,0.00986,-1.36498,0.0159,0.14685,4.97E-04,0.17093,-0.00415,0.15291,-0.0041,0.14608,-0.00235,0.12477,0.00366,0.14557,8.69E-04,0.14611,0.02048,0.12501,0.00178
0.14666,-0.00403,0.17073,-0.00227,-1.35091,0.00155,0.1459,-0.0124,0.13639,0.01115,0.17072,-0.00175,0.12455,0.00972,0.1248,-0.00881,0.16678,-0.01231,-1.35072,-0.00301,0.17178,0.00625,0.19233,0.01399,0.17786,0.00977,0.171,0.00612,0.14615,0.01195,0.16698,-0.00452,0.17102,0.00153,0.14993,6.44E-04
0.17159,0.01708,0.19213,-6.83E-04,-1.33666,-0.00154,0.17081,-0.00275,0.15777,0.00345,0.19207,0.00369,0.14594,0.00301,0.14972,0.00871,0.19174,-0.00592,-1.33646,0.17236,0.19318,-0.00325,0.21373,-0.0041,0.19921,-0.00141,0.19236,-0.00837,0.16755,0.00416,0.19192,-0.0032,0.19242,0.02145,0.17134,0.00793
0.193,-0.00253,0.21353,0.01216,-1.31887,-0.02948,0.19218,-4.53E-04,0.17917,-0.0076,0.21347,-0.0117,0.17086,-0.00293,0.17113,-0.0029,0.21314,-0.00395,-1.31868,0.00913,0.21457,0.00523,0.23512,6.40E-04,0.2206,0.01039,0.21375,-0.00479,0.19243,0.00175,0.2133,0.01384,0.21381,0.01251,0.19274,0.01333
0.21438,-7.48E-04,0.23492,-0.00576,-1.30458,0.00304,0.21356,0.00443,0.20405,0.00111,0.23481,-0.00954,0.19225,-3.67E-04,0.19253,-0.01342,0.23451,-0.00358,-1.30439,-0.01175,0.23598,-0.01132,0.26002,0.00583,0.24196,0.00421,0.23514,0.00232,0.21383,0.01147,0.23471,-0.00628,0.23521,0.0118,0.21414,-0.00867
0.23578,0.00831,0.25983,-0.00219,-1.2903,-0.00164,0.23495,-0.00313,0.22545,0.00589,0.25977,0.00376,0.21363,0.00889,0.21394,-0.01306,0.2559,-0.00459,-1.29012,1.93E-04,0.26093,7.46E-04,0.28142,0.00648,0.26691,0.00173,0.26007,0.01007,0.2352,-0.0084,0.2561,0.0048,0.26014,0.0104,0.23906,-0.00168
0.26072,-8.38E-04,0.28123,-0.01886,-1.27603,0.03495,0.25988,-0.00451,0.24683,-0.00579,0.28113,0.00349,0.23503,-0.00914,0.23885,-0.00265,0.28087,-0.00663,-1.27587,-4.32E-04,0.29495,0.01644,0.30277,0.01397,0.28828,0.00161,0.28146,0.0063,0.2566,0.01273,0.28106,0.00693,0.28153,0.00663,0.34396,0.00656
