S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.10384,-0.00967,0.12441,0.00166,-1.37941,-0.00213,0.10311,0.00892,0.09008,0.01316,0.1244,-0.00525,0.08177,-0.00237,0.08201,-0.01531,0.12394,0.00289,-1.37922,-0.00294,0.12547,0.00167,0.14601,0.01036,0.13154,0.00295,0.12471,0.00101,0.10339,0.00447,0.12414,0.00917,0.12472,0.00471,0.1036,0.01216
0.12527,-0.00229,0.14581,-0.01015,-1.36516,-0.00223,0.12453,0.00757,0.11501,-0.01983,0.14576,0.00355,0.10317,-0.00789,0.10339,0.00705,0.14536,0.00903,-1.36498,-0.01131,0.14685,0.01442,0.17093,0.00218,0.15291,-0.01355,0.14608,-0.00927,0.12477,-0.01068,0.14557,-0.0043,0.14611,-0.01497,0.12501,0.00217
0.14666,0.00355,0.17073,0.02158,-1.35091,-0.01126,0.1459,-0.01283,0.13639,-0.00307,0.17072,-0.0138,0.12455,0.02239,0.1248,0.00159,0.16678,0.00692,-1.35072,0.00431,0.17178,-5.81E-04,0.19233,-0.00961,0.17786,-0.00239,0.171,0.00434,0.14615,0.00996,0.16698,0.00297,0.17102,0.00654,0.14993,-0.01
0.17159,-0.01035,0.19213,0.00188,-1.33666,0.01527,0.17081,0.00149,0.15777,-0.00276,0.19207,-0.00719,0.14594,-0.02484,0.14972,0.01175,0.19174,-0.00988,-1.33646,0.1098,0.19318,-0.0078,0.21373,-0.00819,0.19921,0.00112,0.19236,0.00235,0.16755,-0.00694,0.19192,0.00583,0.19242,0.00718,0.17134,-0.00146
0.193,0.01707,0.21353,0.00402,-1.31887,-0.02584,0.19218,0.00826,0.17917,-0.0104,0.21347,-0.00303,0.17086,-0.00938,0.17113,-0.01027,0.21314,1.73E-04,-1.31868,0.01281,0.21457,0.01158,0.23512,0.0016,0.2206,0.00332,0.21375,-0.00959,0.19243,-0.01488,0.2133,0.00613,0.21381,0.00403,0.19274,5.57E-04
0.21438,-4.23E-04,0.23492,-0.00106,-1.30458,0.01565,0.21356,-0.01061,0.20405,-4.98E-04,0.23481,-0.00366,0.19225,-0.0197,0.19253,-0.0115,0.23451,-0.00634,-1.30439,-0.01398,0.23598,-4.67E-04,0.26002,-0.00214,0.24196,-0.0149,0.23514,-0.00186,0.21383,-0.00781,0.23471,-0.0142,0.23521,-0.01115,0.21414,-0.00717
0.23578,-0.00842,0.25983,-0.00923,-1.2903,-0.00251,0.23495,-0.00262,0.22545,-0.00672,0.25977,0.00724,0.21363,0.01095,0.21394,0.00587,0.2559,0.00438,-1.29012,-0.00291,0.26093,0.00518,0.28142,-0.00222,0.26691,-0.00108,0.26007,0.00617,0.2352,1.18E-05,0.2561,0.00425,0.26014,0.00592,0.23906,0.00686
0.26072,9.48E-04,0.28123,-0.00943,-1.27603,-0.00989,0.25988,-5.97E-04,0.24683,0.00191,0.28113,-0.00322,0.23503,0.01147,0.23885,-0.00134,0.28087,0.01435,-1.27587,-0.00583,0.29495,0.00366,0.30277,0.0038,0.28828,-0.01048,0.28146,-0.00705,0.2566,-0.00138,0.28106,-0.00241,0.28153,0.00221,0.34396,-0.00314
0.28212,-0.00481,0.3026,0.00109,-1.26178,-0.00598,0.28127,0.00225,0.26822,0.00235,0.30252,-0.00787,0.25998,0.01095,0.26025,-0.00219,0.30227,0.01158,-1.26161,0.01707,0.33061,-0.01059,0.32416,-0.00593,0.30966,-5.13E-04,0.30286,-0.00119,0.28152,-0.00648,0.30247,-0.01442,0.30292,0.01899,0.37954,-8.42E-04
0.29477,-0.00194,0.32397,-0.00346,-1.24755,-0.01104,0.30267,-0.01158,0.29314,-3.16E-05,0.32389,-0.00183,0.28135,0.00859,0.34375,-0.00239,0.32558,0.00733,-1.24737,0.0103,0.34993,0.0109,0.34215,-0.01544,0.33103,0.00119,0.32426,0.00513,0.30757,6.98E-05,0.32579,,0.32431,0.00309,0.41865,-0.0019
0.33043,0.01555,0.34196,0.00629,-1.22977,0.01663,0.32407,-0.01154,0.3192,-4.92E-04,0.3488,-0.00286,0.30275,-8.84E-04,0.37933,-0.00347,0.36125,-0.00281,-1.22959,0.01206,0.38561,-0.01536,0.37781,0.00796,0.35594,-0.01079,0.34347,-0.00776,0.34316,0.00176,0.36145,0.00849,0.34922,0.01298,0.45426,0.00767
0.34973,-0.00295,0.37762,2.00E-04,-1.21551,6.66E-04,0.34326,-0.009,0.3548,-0.00251,0.37016,-0.0011,0.32414,-0.01649,0.41844,0.00145,0.40043,-0.00583,-1.21531,-0.00133,0.4248,-5.79E-04,0.41703,-0.00142,0.37727,0.0063,0.3791,0.00689,0.39405,0.00285,0.4006,0.00147,0.36887,-0.00723,0.49346,0.00309
0.38542,0.00961,0.41683,-0.00831,-1.20125,-0.01635,0.37892,0.00764,0.40569,0.01797,0.3915,-0.00584,0.34906,-0.01378,0.45405,-1.87E-04,0.43609,0.00357,-1.20104,0.01049,0.46047,-1.58E-04,0.45263,-0.01653,0.39861,0.01139,0.41819,0.0055,0.42963,-0.01685,0.4363,3.98E-04,0.40442,-0.00958,0.52911,-0.00557
0.42461,0.00125,0.45247,-0.00657,-1.18696,-0.00841,0.41803,0.00173,0.44126,0.00257,0.41285,-0.0101,0.36872,-0.01678,0.49325,0.00249,0.47529,-0.01367,-1.18678,0.001,0.49965,0.01464,0.49179,0.00382,0.41995,-0.00114,0.45376,0.00306,0.48088,0.00546,0.47547,2.60E-04,0.44353,0.01326,0.56826,0.01408
0.46028,-0.01074,0.4916,-0.01157,-1.17272,-0.01071,0.45358,-0.00532,0.4925,8.92E-04,0.43779,-0.00953,0.40426,-0.00487,0.5289,-0.00537,0.51091,0.00425,-1.17252,0.00144,0.53531,-0.00684,0.52743,0.00844,0.44492,-5.67E-04,0.49292,-0.00484,0.51648,-0.00346,0.5111,-0.00771,0.47916,0.01012,0.6039,
0.49946,8.11E-04,0.52723,-0.00361,-1.15844,-0.01909,0.49273,-0.0017,0.52811,-0.0081,0.45918,-0.01036,0.44337,-0.00175,0.56806,-0.00137,0.5501,-0.01528,-1.15825,0.00493,0.57449,1.82E-04,0.56659,0.00961,0.46632,-0.00222,0.52856,-0.00354,0.56767,-0.00616,0.55029,-0.0071,0.51837,0.00479,0.643,-0.00691
0.53512,0.00324,0.5664,3.26E-04,-1.14065,6.00E-04,0.52838,-0.00368,0.57931,0.00469,0.48056,0.01163,0.47899,-0.01602,0.60369,0.00213,0.58575,0.0013,-1.14046,0.00284,0.61014,-0.00309,0.60221,-0.01204,0.4877,0.00616,0.56771,0.00198,0.60326,-0.00708,0.58594,0.00194,0.55405,-0.00366,0.67859,-0.00522
0.57429,-0.01338,0.60204,0.0106,-1.12638,0.0019,0.56753,-0.00634,0.6149,-0.00373,0.50192,,0.51819,-0.00853,0.64279,-0.00513,0.62495,,-1.12619,0.01136,0.64929,-0.00636,0.64137,-0.0129,0.50906,0.00596,0.60334,-0.00334,0.6545,-0.01566,0.62514,,0.59331,0.01619,0.71773,-0.00599
0.60994,-0.00486,0.64118,0.00212,-1.11214,0.00364,0.60317,-0.00189,0.66611,-0.01354,0.52686,-0.00591,0.55388,0.01281,0.67838,-6.71E-04,0.66054,-0.0032,-1.11194,-0.00846,0.68497,-0.00634,0.67696,-0.00178,0.534,-0.01082,0.6425,-0.00324,0.69012,-0.00714,0.66074,-0.011,0.62891,,0.75333,0.01405
0.6491,0.02116,0.67679,-0.00166,-1.09789,0.00891,0.64233,-0.02104,0.70174,0.00383,0.54823,0.00189,0.59311,-0.00548,0.71752,0.01479,0.69971,0.00498,-1.0977,0.00889,0.72416,-1.00E-04,0.71612,-0.0033,0.55537,-0.00132,0.67815,0.00828,0.7413,0.0045,0.69988,-0.01213,0.66813,0.00251,0.7925,-0.00222
0.68477,,0.71596,,-1.08365,4.20E-04,0.67797,6.33E-04,0.75292,-0.00457,0.56962,,0.62876,-0.00701,0.75313,-0.00171,0.73531,0.01651,-1.08346,0.00652,0.75979,0.0037,0.75174,-0.00646,0.57676,0.01093,0.7173,0.00556,0.77691,-0.00368,0.7355,-0.00443,0.70377,-0.01454,0.82811,-5.73E-04
0.72396,-0.00278,0.75157,-0.00616,-1.06941,-0.00523,0.71714,0.00258,0.78853,4.93E-04,0.59098,-0.00185,0.66795,0.01053,0.79229,-0.01325,0.77448,-0.00791,-1.0692,0.00121,0.79897,-0.00534,0.79089,-0.00539,0.59809,-0.0108,0.75297,-0.00131,0.8281,-0.01025,0.77468,-0.0037,0.74299,-0.01011,0.86721,-0.01337
0.75959,,0.79073,,-1.05161,-0.01907,0.75279,0.00344,0.83972,-0.00673,0.61587,-0.02482,0.7036,-0.0018,0.82791,-0.00604,0.81014,-0.00147,-1.05141,-0.00152,0.83462,0.00129,0.82649,-0.0034,0.62299,,0.79212,-0.00529,0.86568,0.00368,0.81032,0.00393,0.77863,-0.0116,0.90284,-0.0064
0.79877,,0.82633,0.00613,-1.03736,1.82E-04,0.79194,-0.00301,0.8773,0.00647,0.63719,,0.74282,0.00431,0.867,0.00805,0.84935,-4.22E-04,-1.03716,0.00492,0.87376,0.00829,0.86565,0.00136,0.64431,-0.00718,0.82779,0.00392,0.91491,-0.00665,0.84953,-0.00867,0.81784,-0.00738,0.94201,-0.00399
0.83443,-0.00155,0.86547,,-1.02311,6.90E-04,0.8276,-0.00317,0.92653,-0.00163,0.65855,-0.01156,0.77847,-0.00277,0.90263,-0.01454,0.88497,0.00502,-1.02291,-0.00692,0.90942,-0.002,0.90126,0.0193,0.66568,0.00962,0.86696,0.00429,0.95056,0.00859,0.88516,0.00199,0.85351,-0.0061,1.00041,0.00312
0.87356,-0.00285,0.90111,0.01273,-1.00883,-0.0122,0.86679,0.00639,0.96218,-0.01307,0.67991,-0.00135,0.81766,-0.00984,0.94181,-5.25E-04,0.9242,0.00668,-0.99909,0.00179,0.94854,-0.00802,0.94044,,0.68704,,0.90262,0.00423,1.00938,0.01419,0.9244,8.65E-04,0.8927,0.00955,1.04316,-0.00247
0.90922,-0.00211,0.94025,0.0101,-0.99928,-0.00247,0.90243,0.00158,1.00672,-0.0261,0.70483,-0.00186,0.85333,-0.01868,0.98595,-0.00627,0.95986,0.00441,-0.98481,0.02413,1.02135,-0.00829,1.02112,,0.71196,-0.00121,0.94181,9.78E-04,1.0522,0.00939,0.96006,-0.00782,0.92836,0.00211,1.08949,-0.00316
0.94838,-0.0053,0.97589,,-0.98501,0.00554,0.94162,-0.00486,1.04954,0.00911,0.72618,-4.40E-04,0.89252,-0.00589,1.0287,0.01002,1.00684,0.00304,-0.97057,-0.00693,1.06413,-0.00176,1.06388,0.00688,0.73332,0.0091,1.02203,-0.00476,1.09853,-0.00417,1.02131,0.00521,1.00166,-6.24E-04,1.13229,-0.00589
1.0069,-0.00111,1.00672,0.00558,-0.97076,-0.00164,0.97728,-0.00612,1.09588,-0.00429,0.74757,-4.41E-04,0.92818,-6.70E-04,1.075,-0.01659,1.04965,0.00396,-0.9563,0.00186,1.11046,-0.01318,1.11016,0.00974,0.7547,0.00814,1.06484,0.00657,1.14133,-0.0038,1.06411,-7.93E-04,1.05462,-0.00661,1.17856,-0.00208
1.04969,,1.04944,-0.00184,-0.95649,-3.59E-04,1.00757,-0.00522,1.13868,0.00928,0.76892,-0.01011,0.98723,-0.00874,1.1178,-0.01098,1.09597,0.00194,-0.94204,0.00405,1.15325,5.19E-04,1.15297,9.15E-04,0.77605,-0.00226,1.11119,-0.00746,1.18765,-2.28E-04,1.11045,-0.01272,1.0974,-0.00323,1.22134,-0.01567
1.09602,0.01692,1.09572,0.00598,-0.94223,0.00278,1.05038,-0.00432,1.185,0.00311,0.79382,-0.0032,1.04019,-0.00661,1.16412,-0.01118,1.13878,-0.00856,-0.89126,0.01666,1.19955,-0.00787,1.19931,-0.00938,0.80095,0.00137,1.15398,0.01075,1.23044,-0.00466,1.15322,-0.00163,1.14369,6.16E-04,1.26763,-0.00662
1.13878,,1.13851,-0.00962,-0.92795,-0.00184,1.09672,-0.00269,1.2278,8.89E-04,0.81517,-0.00324,1.08296,-0.01205,1.20686,0.00754,1.18507,-8.89E-04,-0.87701,-0.02561,1.24234,-0.00903,1.24209,-0.00557,0.8223,8.25E-04,1.20032,-0.00354,1.27672,-0.0024,1.1995,-0.00812,1.18647,-0.00195,1.31038,-0.00329
1.18509,0.03369,1.18484,0.00643,-0.89146,-9.08E-04,1.13954,-0.02356,1.2741,0.01245,0.83655,-0.00924,1.12927,0.00808,1.25317,0.0087,1.22782,0.00447,-0.86273,0.01099,1.28867,0.00285,1.379,0.00589,0.84368,,1.24311,-0.00186,1.34462,-0.00987,1.24228,0.00422,1.23275,0.00451,1.35662,0.00842
1.22788,-0.00318,1.22764,0.01172,-0.87721,0.00374,1.18587,-0.01041,1.31684,0.00808,0.85791,-0.00462,1.17205,-0.00528,1.29593,0.00103,1.27414,,-0.84848,0.01018,1.33145,0.00317,1.41459,-0.00434,0.86502,,1.30921,-0.01201,1.38025,-0.00727,1.2886,-0.00716,1.27552,-0.00969,1.39934,-0.01206
1.2742,-0.01598,1.27396,-0.00117,-0.86294,-0.00222,1.22866,-3.82E-04,1.35624,-0.01381,0.88278,,1.21833,-0.00865,1.3422,-0.00729,1.31694,-0.0043,-0.83419,0.00221,1.38308,0.00245,1.45369,7.82E-04,0.88991,,1.36419,-0.00652,1.41949,-0.00931,1.35771,0.00602,1.33362,-0.01258,1.44567,-0.00337
1.317,0.02535,1.37884,0.009,-0.84869,-0.00925,1.275,0.00173,1.3919,-0.00554,0.90413,,1.2611,0.00273,1.38488,-0.0054,1.35753,-8.31E-05,-0.81991,-0.00214,1.41868,7.19E-04,1.48934,0.00256,0.91127,,1.39985,0.00641,1.45508,0.00776,1.39333,-0.00186,1.36922,-0.00435,1.48845,0.00474
1.38292,-0.0212,1.41443,0.00826,-0.8344,-0.01922,1.30904,-2.28E-04,1.43111,-0.00399,0.92551,,1.30742,-0.00809,1.43122,-0.01032,1.39316,0.00899,-0.80208,0.0031,1.4578,-9.40E-04,1.52854,0.00458,0.93264,,1.43906,0.01003,1.49424,0.00739,1.43242,-0.01201,1.42009,0.00347,1.53472,-0.00975
1.4185,0.01263,1.45353,0.00173,-0.8201,2.82E-04,1.36402,0.01511,1.46671,4.11E-04,0.94686,-7.47E-04,1.33347,-0.00712,1.47396,0.00317,1.43225,0.00479,-0.78781,-0.01018,1.49343,-0.00623,1.56419,-1.28E-04,0.95399,,1.47472,0.00187,1.52986,-0.0034,1.468,0.00436,1.45569,0.01087,1.57744,-0.01213
1.4576,0.00307,1.48914,0.01823,-0.80229,5.19E-05,1.39968,0.00197,1.50587,-0.01411,0.97179,0.00203,1.36906,-0.00228,1.52027,-0.01727,1.46782,0.00491,-0.77356,-0.00341,1.53264,-0.00129,1.60333,0.0043,0.97892,-7.93E-04,1.5139,0.00677,1.56904,-0.00642,1.50716,-0.00482,1.50694,-0.0073,1.62366,0.00381
1.49323,-0.00622,1.52836,0.0034,-0.78801,0.00779,1.43889,0.00895,1.54148,0.00553,0.99315,0.00343,1.41993,-0.02346,1.56302,0.0028,1.50699,0.00891,-0.75931,0.00883,1.56832,-0.00303,1.63896,-1.20E-04,1.00028,-8.61E-04,1.54956,0.01853,1.60466,,1.54281,-0.0092,1.54256,0.01377,1.66639,-0.01313
1.53244,0.01194,1.564,0.00676,-0.77376,-0.01144,1.47455,0.00994,1.58066,8.04E-04,1.01453,-7.62E-04,1.45553,-0.01139,1.60925,,1.54264,-0.01303,-0.74502,-0.00239,1.60757,0.00936,1.67806,-0.0094,1.02166,-0.00733,1.58872,,1.64381,3.64E-04,1.58196,0.01792,1.59373,-0.01071,1.71267,0.00202
1.56813,0.00282,1.60315,0.00459,-0.75949,-0.00181,1.51373,-0.00261,1.61631,-0.01752,1.03588,0.01336,1.50678,-0.00412,1.65194,-0.00787,1.58177,-1.74E-04,-0.73075,0.00247,1.64316,0.00252,1.71366,-3.33E-04,1.04301,0.00306,1.62437,-0.0092,1.6794,0.00307,1.61762,,1.62934,-0.00123,1.75541,7.96E-04
1.60741,-9.32E-04,1.6388,,-0.74522,-0.0033,1.54939,-6.27E-04,1.65544,0.00416,1.06082,-0.00318,1.54238,0.00282,1.69822,0.0017,1.61743,-0.00325,-0.71293,-0.00695,1.6824,0.00447,1.75278,3.25E-04,1.06796,0.0142,1.66355,-0.01105,1.71858,-0.00403,1.65676,-0.00874,1.68057,-0.01785,1.80166,0.00814
1.64296,-0.01174,1.67789,-0.00639,-0.73095,-0.01388,1.58854,,1.69103,-0.00517,1.08219,0.00161,1.59356,0.01216,1.74096,0.0067,1.65657,-0.00728,-0.69867,-0.00418,1.71804,-7.00E-04,1.7884,-0.01524,1.08932,0.00289,1.69921,0.00102,1.75419,0.00266,1.69242,-0.00241,1.71619,0.0063,1.84438,
1.6822,-0.00693,1.71348,0.00744,-0.71312,0.0579,1.6242,-0.0025,1.7302,-0.00239,1.10358,-0.00525,1.62918,-0.01059,1.78721,9.72E-05,1.69222,-0.00973,-0.68439,0.00879,1.75726,-0.00652,1.82757,-0.0025,1.11071,0.00468,1.73838,9.46E-04,1.79334,,1.73159,-0.00112,1.76736,0.00372,1.89063,0.01175
1.71785,-0.00913,1.75262,-0.0047,-0.69888,0.006,1.66338,,1.76581,-0.00323,1.12493,3.93E-04,1.68041,1.55E-04,1.82994,,1.73138,0.00339,-0.6701,0.00138,1.79291,0.01784,1.86315,0.00391,1.13206,-0.00361,1.77404,0.00512,1.82895,0.00501,1.76723,-0.0033,1.80319,-7.79E-04,1.93334,
1.75706,-0.00203,1.78823,0.00724,-0.68461,-0.02065,1.69904,0.00196,1.80497,,1.14985,-0.00119,1.71602,-9.50E-04,1.87617,,1.76704,0.00601,-0.65588,-0.00725,1.83211,-0.00991,1.90225,0.00453,1.15698,-0.0042,1.81322,0.00303,1.86811,-0.00671,1.80638,0.0053,1.85612,,1.97963,0.00198
1.79271,-0.005,1.8274,-0.00248,-0.6703,0.0016,1.73821,0.00911,1.84057,0.0087,1.1691,-0.00175,1.7672,-1.32E-04,1.9189,,1.80619,0.00673,-0.64166,0.00663,1.86778,-0.00549,1.93792,7.66E-04,1.17623,0.00989,1.84884,-0.0087,1.90374,,1.84204,0.00125,1.89184,-0.0069,2.02236,8.36E-04
1.83191,0.00189,1.863,-0.00745,-0.65606,0.01174,1.77385,0.00218,1.87972,-0.00123,1.19045,-0.00376,1.80303,0.0089,1.96519,-0.00697,1.84185,-0.00215,-0.62392,0.00111,1.90696,8.67E-04,,,1.19758,0.00149,1.88801,-0.00458,1.94289,-0.0025,1.88122,0.00873,1.94097,-0.00506,2.06867,-0.01029
1.86758,-0.00477,1.90208,0.00354,-0.64183,-0.00547,1.81303,-0.00592,1.91535,-0.00715,1.21184,-0.00194,1.85595,0.00139,2.00792,-0.00523,1.88102,-0.00108,-0.60971,-0.01622,1.9426,0.01244,,,1.21897,0.00112,1.92365,-0.01894,,,1.9169,5.65E-04,,,2.11141,-5.53E-04
1.90677,-0.00641,1.93772,,-0.62409,-0.00639,1.84867,-0.00403,1.95451,-0.00207,1.23319,-0.00683,1.89168,-0.00861,2.05422,0.00625,1.91668,0.00863,-0.5955,0.00247,,,,,1.24032,6.92E-04,1.96277,0.00629,,,1.95606,-0.00187,,,2.17693,8.73E-04
1.94243,-0.01175,1.97691,0.00785,-0.60988,9.25E-04,1.88784,-9.61E-04,,,1.2581,-0.00787,1.94081,0.00402,2.09697,-0.00514,1.95587,-0.00146,-0.58131,0.01409,,,,,1.26524,-0.00262,,,,,,,,,2.21968,-0.00242
,,4.0574,0.00794,-0.59567,0.00127,1.92347,4.03E-04,,,1.27944,-0.00351,1.97646,0.00229,2.16249,-0.00684,,,-0.56709,0.0059,,,,,1.28657,-0.00669,,,,,,,,,2.26593,
,,4.07171,4.57E-04,-0.58146,-9.40E-04,1.96259,-0.02435,,,1.30082,-0.00174,,,2.20523,-0.00668,,,-0.55289,0.01131,,,,,1.30795,-0.00751,,,,,,,,,2.30863,0.00242
,,4.08598,-0.00667,-0.56726,8.75E-04,9.36006,-0.02623,,,1.32218,-0.00118,,,2.2515,-0.00901,,,-0.53514,0.0096,,,,,1.32928,-0.00668,,,,,,,,,2.35485,-0.00411
,,4.10027,-0.00315,-0.55306,4.04E-04,9.45264,-0.00521,,,1.34705,8.54E-04,,,2.29421,-0.00483,,,-0.52093,-0.01036,,,,,1.35416,3.59E-04,,,,,,,,,2.39752,-0.00166
,,4.11455,1.82E-04,-0.53531,0.00454,9.54519,-1.86E-04,,,1.36839,-0.00119,,,2.34043,-0.01711,,,-0.50672,0.0091,,,,,1.3755,-0.0082,,,,,,,,,2.4438,-0.00665
,,4.12883,0.00668,-0.52109,-0.00241,9.63778,0.00463,,,1.38975,-0.01409,,,2.38311,-0.00614,,,-0.49245,0.00405,,,,,1.39685,0.00216,,,,,,,,,2.48657,0.00893
