S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.09284,-26.56959,0.08502,13.74526,-0.47641,13.54573,0.08514,9.60401,0.08524,-2.42127,0.07306,-7.82273,0.08501,1.25449,0.08497,10.41867,0.12841,22.48896,-0.47624,-16.98059,-1.20071,15.62063,0.10655,-2.20336,0.07324,-0.65815,0.08531,64.42637,0.08544,-9.63477,0.12861,43.85582,0.08517,42.82753,0.08515,31.68782,0.08269,45.35398,0.08979,27.15222
0.1142,-15.81426,0.10638,-4.25177,-0.46218,-1.01675,0.10652,8.17508,0.10666,,0.0944,11.896,0.10638,-16.96845,0.10632,-15.96723,0.14977,15.76476,-0.462,3.45161,-1.15806,2.46766,0.12789,,0.09457,89.27482,0.10669,103.54414,0.10683,57.04375,0.14997,119.10823,0.10654,47.15982,0.10649,39.4086,0.10405,30.35378,0.11116,55.04587
0.13557,-24.19995,0.12772,,-0.44794,-5.99275,0.12791,-2.45264,0.12799,1.68021,0.11575,3.21119,0.12774,-1.18194,0.12765,0.50875,0.17817,-21.29583,-0.44777,23.39762,-1.12242,15.95494,0.14927,,0.11593,76.18766,0.12808,55.26932,0.12816,33.35433,0.17837,41.64095,0.12791,36.90237,0.12784,6.36928,0.12542,12.34423,0.13253,42.33776
0.15692,-6.83634,0.1491,,-0.4337,-34.79693,0.14927,7.16541,0.14939,4.40204,0.13709,18.21278,0.14913,-9.94179,0.149,0.14255,0.19959,,-0.43353,-15.81411,-1.07972,5.18967,0.17765,,0.13729,96.4949,0.14944,26.99518,0.14959,47.22329,0.19979,14.73861,0.14929,57.37962,0.14919,91.45656,0.14679,-4.92723,0.15391,15.94309
0.18535,-5.83455,0.17748,,-0.41947,-3.56934,0.17767,-1.11355,0.17779,16.61913,0.16552,23.60424,0.17752,-4.18672,0.17743,0.41353,0.22095,-3.98023,-0.41929,0.29032,-1.04414,-13.74936,0.19903,,0.16569,98.81546,0.17788,80.98282,0.178,27.02921,0.22113,51.96618,0.17769,68.17966,0.17762,21.11228,0.1752,3.83539,0.18228,25.63065
0.20671,-15.29157,0.19885,,-0.39818,-8.17634,0.19904,-44.04262,0.19922,5.76099,0.1869,14.00434,0.1989,-2.08201,0.19877,-3.24063,0.24229,-4.14751,-0.39801,-33.12354,-0.66071,-44.71964,0.22041,,0.18707,151.49184,0.19921,108.67031,0.19939,43.01028,0.24249,48.66444,0.19906,73.07369,0.19896,47.47812,0.19653,19.33419,0.20363,-42.07012
0.2281,-31.41496,0.22023,,-0.38395,-4.57909,0.22045,15.90433,0.22056,5.41333,0.20826,-13.81771,0.22025,-0.29396,0.22015,-2.96981,0.28663,-31.77077,-0.38377,-39.36795,-0.58242,-3.63302,0.24182,,0.20841,98.11876,0.22064,64.46646,0.22075,-9.97833,0.28683,76.80056,0.22042,70.45368,0.22032,52.55646,0.21788,67.14381,0.225,-10.05107
0.24948,-1.69776,0.24164,,-0.36971,-33.80754,0.24183,14.5813,0.24199,10.53888,0.22959,22.81949,0.24164,-5.5574,0.24149,11.26816,0.32222,-17.14786,-0.36954,29.04455,-0.50404,34.59232,0.27385,,0.22976,89.15967,0.242,118.37978,0.24215,56.0294,0.32242,76.92577,0.24182,75.14182,0.24168,23.75343,0.23924,24.40498,0.24638,0.09691
0.28852,2.89523,0.27368,,-0.35547,21.79571,0.28213,17.78108,0.30049,6.03104,0.258,16.58643,0.27527,5.64989,0.27263,-26.81099,0.36493,-1.25029,-0.3553,25.34462,-0.42568,11.2738,0.30943,40.64082,0.25817,123.98155,0.2823,114.3092,0.30069,13.77862,0.36513,-18.38143,0.27543,77.80051,0.27281,73.17337,0.26766,34.11354,0.27479,-3.22171
0.3242,-18.09446,0.30926,4.25018,-0.34124,6.41134,0.31774,-29.10446,0.33616,0.56212,0.27683,-8.06289,0.31093,-0.54314,0.30825,9.90572,0.40057,-0.20752,-0.34106,-61.41549,-0.3473,,0.35209,,0.27701,117.74445,0.31792,162.95022,0.33637,35.99722,0.40076,-4.69239,0.31109,57.36488,0.30844,38.74082,0.28903,0.53706,0.29615,-41.66937
0.36685,14.79671,0.35191,,-0.327,22.98835,0.36037,7.71951,0.37888,1.64603,0.31245,10.94308,0.35156,-19.20914,0.35086,2.56028,0.44319,-40.52551,-0.32683,-50.5685,-0.26895,,0.38769,91.32149,0.31264,71.44227,0.36054,148.8781,0.37907,32.91538,0.44339,-12.81503,0.35172,41.51774,0.35104,77.32462,0.31041,-23.96253,0.31751,38.7046
0.40251,11.13453,0.38751,7.75563,-0.30572,27.94218,0.39601,7.89544,0.41454,-1.92179,0.35509,21.53069,0.38725,1.54126,0.38642,-7.88229,0.47883,-0.05616,-0.30554,-31.40159,-0.19067,,0.43038,85.26741,0.35528,99.51906,0.39618,84.37178,0.41473,80.02665,0.47904,63.48481,0.38741,80.9786,0.38661,69.81269,0.33176,-13.75453,0.33888,-23.72234
0.44519,8.26559,0.43021,28.12981,-0.29148,,0.43867,13.57209,0.45725,20.45698,0.39071,20.90426,0.42795,-4.22108,0.429,-7.80755,0.52152,39.61667,-0.29131,-13.27134,-0.11238,,0.466,158.51981,0.39089,129.02772,0.43884,140.53389,0.45744,4.08598,0.52171,,0.42811,84.76288,0.42919,24.63139,0.36017,-11.60395,0.3673,5.94749
0.48086,10.07575,0.46581,2.52984,-0.27725,46.55173,0.47435,1.69398,0.49292,-10.17521,0.43339,-24.6149,0.46361,11.18244,0.46459,-3.08996,0.55713,,-0.27707,39.74296,-0.03403,-7.81182,0.50873,,0.43356,122.7177,0.47453,138.58462,0.49311,31.43344,0.55734,,0.46377,72.07192,0.46478,50.97229,0.38155,43.94036,0.38867,-5.25996
0.52355,7.20067,0.50854,18.16157,-0.26301,-17.9428,0.51705,-1.02492,0.53561,11.39792,0.469,2.08182,0.50433,3.81172,0.50721,15.42533,0.59984,,-0.26284,-54.34957,5.21E-04,24.68413,0.54436,,0.46919,113.90301,0.51722,,0.53581,,0.60003,,0.50449,,0.5074,,0.40292,1.37371,0.41005,0.6831
0.55922,,0.54418,,-0.24877,24.06238,0.55272,,0.5713,,0.51169,-6.11566,0.53999,9.66541,0.54279,-5.49424,0.63549,,-0.2486,-41.36621,0.02187,12.47131,0.58706,,0.51186,,0.55289,,0.57149,,0.63566,,0.54015,,0.54297,,0.42428,-24.29571,0.43141,7.70991
0.60186,,0.58686,,-0.23454,-6.77196,0.59539,,0.61397,,0.5473,,0.58073,,0.58542,,0.67809,,-0.23436,14.69044,0.04328,-25.79211,0.62271,,0.54747,,0.59558,,0.61418,,0.67829,,0.58089,,0.58559,,0.45272,55.84344,0.45985,9.08749
0.63756,,0.62252,,-0.21328,3.61251,0.63111,,0.64958,,0.58992,,0.6164,,0.62101,,0.71373,,-0.2131,-7.46411,0.06463,0.3296,0.66541,,0.59008,,0.63131,,0.64976,,0.71392,,0.6166,,0.62119,,0.4741,38.47224,0.48122,-17.68142
0.6802,,0.66522,,-0.19904,15.59822,0.67377,,0.69226,21.77796,0.62546,,0.65712,,0.66372,,0.75635,,-0.19887,-36.85491,0.09302,-34.95936,0.70102,,0.62566,,0.67398,,0.69247,,0.75655,,0.65728,,0.6639,,0.49549,-4.85931,0.50262,0.47171
0.71583,,0.70084,,-0.18479,24.68546,0.70944,,0.72794,21.07355,0.66815,,0.69278,,0.69938,,0.79199,43.08763,-0.18462,9.26865,0.11439,15.94418,0.74369,,0.66833,,0.70962,,0.72814,,0.79219,,0.69294,,0.69956,,0.51685,-26.7607,0.52398,29.14354
0.75846,0.28954,0.74351,32.8625,-0.17056,8.41714,0.75212,,0.77064,15.45623,0.70378,,0.73351,11.53014,0.74206,-4.29333,0.83464,,-0.17038,-39.29109,0.13575,11.17478,0.77927,98.05431,0.70396,,0.75229,,0.77084,,0.83484,31.64074,0.73367,,0.74225,38.0715,0.54524,63.10419,0.55236,41.23986
0.7941,46.09155,0.7791,32.51024,-0.15632,-42.30024,0.78777,,0.8063,-7.85844,0.74646,12.30574,0.76918,10.95873,0.77772,-14.83667,0.87028,3.70005,-0.15615,43.89322,0.15711,68.5306,0.82191,102.36232,0.74662,127.83453,0.78794,,0.80649,,0.87047,34.18448,0.76934,,0.77791,44.4564,0.5666,-4.65804,0.57373,-48.10134
0.83676,5.74004,0.82172,18.64575,-0.14208,4.85274,0.83041,,0.84902,6.78828,0.78206,29.19383,0.8099,16.83962,0.82037,2.08749,0.91292,49.14617,-0.14191,34.8409,0.18553,23.1507,0.85755,,0.78223,123.70938,0.83058,,0.8492,,0.91312,25.84768,0.81006,107.74961,0.82056,,0.58796,,0.59509,
