S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.10384,-0.00602,0.12441,0.00536,-1.37941,0.02392,0.10311,0.0113,0.09008,0.0047,0.1244,-1.18E-04,0.08177,0.00654,0.08201,0.0146,0.12394,0.00782,-1.37922,-0.00158,0.12547,0.00708,0.14601,0.00525,0.13154,0.00734,0.12471,-9.91E-04,0.10339,0.00514,0.12414,0.00434,0.12472,-0.00505,0.1036,0.01326
0.12527,-4.26E-04,0.14581,-0.00936,-1.36516,-5.40E-04,0.12453,-0.00863,0.11501,0.01921,0.14576,0.00185,0.10317,0.00778,0.10339,0.00583,0.14536,-0.01554,-1.36498,0.00736,0.14685,-0.00619,0.17093,0.00283,0.15291,0.01276,0.14608,0.00597,0.12477,0.00842,0.14557,0.00103,0.14611,0.01901,0.12501,0.00553
0.14666,0.01952,0.17073,-0.00769,-1.35091,0.00477,0.1459,-0.00245,0.13639,-0.01204,0.17072,0.00378,0.12455,0.01485,0.1248,0.00418,0.16678,0.00296,-1.35072,0.00566,0.17178,0.00978,0.19233,0.02001,0.17786,0.01291,0.171,-0.00461,0.14615,-0.00365,0.16698,0.00333,0.17102,0.01544,0.14993,0.00645
0.17159,0.01452,0.19213,0.006,-1.33666,0.00415,0.17081,-0.00572,0.15777,-0.00779,0.19207,-0.00343,0.14594,0.00619,0.14972,0.01345,0.19174,-0.01275,-1.33646,-0.03619,0.19318,0.00214,0.21373,0.0041,0.19921,-0.00616,0.19236,-0.00559,0.16755,0.00392,0.19192,0.00268,0.19242,0.01101,0.17134,0.00964
0.193,0.00164,0.21353,0.00337,-1.31887,-0.01474,0.19218,-0.01104,0.17917,-0.00276,0.21347,0.03016,0.17086,0.00254,0.17113,0.00689,0.21314,0.00139,-1.31868,0.0038,0.21457,0.0093,0.23512,-0.00818,0.2206,0.0033,0.21375,0.0033,0.19243,7.42E-04,0.2133,-0.021,0.21381,0.01195,0.19274,0.00566
0.21438,-0.01018,0.23492,0.02178,-1.30458,0.00831,0.21356,-0.00706,0.20405,-0.01414,0.23481,0.00341,0.19225,0.00863,0.19253,0.01459,0.23451,-0.01926,-1.30439,-0.00273,0.23598,-0.00677,0.26002,0.01919,0.24196,-0.00417,0.23514,-0.00106,0.21383,4.75E-04,0.23471,0.00982,0.23521,0.003,0.21414,-0.00119
0.23578,0.00984,0.25983,-0.00432,-1.2903,-0.00669,0.23495,-0.01565,0.22545,0.01285,0.25977,-0.00604,0.21363,0.00131,0.21394,0.00935,0.2559,-0.01139,-1.29012,0.0063,0.26093,-1.48E-04,0.28142,0.0117,0.26691,-0.00123,0.26007,0.01004,0.2352,0.00334,0.2561,0.00952,0.26014,2.36E-04,0.23906,0.01305
0.26072,0.00298,0.28123,-8.14E-04,-1.27603,0.02677,0.25988,-0.00107,0.24683,0.01161,0.28113,0.0132,0.23503,0.01565,0.23885,0.01327,0.28087,-1.23E-04,-1.27587,0.00289,0.29495,-0.00209,0.30277,-0.00503,0.28828,0.00141,0.28146,0.00515,0.2566,0.01136,0.28106,0.00715,0.28153,0.00998,0.34396,1.13E-04
0.28212,5.69E-04,0.3026,-0.00461,-1.26178,0.00325,0.28127,0.00886,0.26822,0.01174,0.30252,0.00847,0.25998,-3.40E-04,0.26025,-5.62E-04,0.30227,0.00987,-1.26161,0.00726,0.33061,0.00771,0.32416,0.0078,0.30966,0.01571,0.30286,0.01026,0.28152,0.00437,0.30247,0.00179,0.30292,-0.00713,0.37954,-0.0015
0.29477,0.01308,0.32397,-0.00184,-1.24755,0.01263,0.30267,0.00238,0.29314,0.0123,0.32389,0.00556,0.28135,0.00469,0.34375,-8.44E-04,0.32558,0.00152,-1.24737,0.00479,0.34993,-6.19E-04,0.34215,0.00401,0.33103,0.00581,0.32426,0.00419,0.30757,0.00357,0.32579,0.00592,0.32431,6.76E-04,0.41865,0.0144
0.33043,0.00154,0.34196,0.02197,-1.22977,-3.32E-04,0.32407,0.00215,0.3192,-3.72E-04,0.3488,-0.01052,0.30275,-4.11E-04,0.37933,0.01936,0.36125,7.50E-04,-1.22959,0.00498,0.38561,0.00742,0.37781,0.00107,0.35594,0.00539,0.34347,-0.00393,0.34316,0.01809,0.36145,-0.00579,0.34922,0.01358,0.45426,0.01101
0.34973,0.01521,0.37762,0.01091,-1.21551,0.00136,0.34326,0.0044,0.3548,0.01215,0.37016,-0.00142,0.32414,-0.00391,0.41844,0.00135,0.40043,0.00284,-1.21531,-0.00925,0.4248,-5.73E-04,0.41703,8.75E-05,0.37727,0.01203,0.3791,0.01401,0.39405,-0.00486,0.4006,0.0034,0.36887,0.03766,0.49346,0.00686
0.38542,0.00947,0.41683,-0.00492,-1.20125,-0.01297,0.37892,0.01698,0.40569,-0.00694,0.3915,-0.00343,0.34906,5.22E-04,0.45405,0.00916,0.43609,0.01504,-1.20104,0.0092,0.46047,0.0036,0.45263,0.00377,0.39861,-1.88E-04,0.41819,0.00362,0.42963,-0.00702,0.4363,0.001,0.40442,7.66E-04,0.52911,0.0087
0.42461,0.01538,0.45247,0.00482,-1.18696,-0.00345,0.41803,0.00231,0.44126,0.00689,0.41285,0.00372,0.36872,0.0052,0.49325,5.13E-04,0.47529,0.01503,-1.18678,-0.02002,0.49965,-1.56E-04,0.49179,0.01131,0.41995,0.00419,0.45376,-2.94E-04,0.48088,-0.00395,0.47547,0.00292,0.44353,0.00603,0.56826,0.01448
0.46028,-0.00699,0.4916,0.01183,-1.17272,0.01169,0.45358,-0.00432,0.4925,-0.00614,0.43779,0.01022,0.40426,0.00246,0.5289,0.01263,0.51091,0.01609,-1.17252,-0.00151,0.53531,-0.00963,0.52743,0.0206,0.44492,-0.00194,0.49292,0.01195,0.51648,-0.00132,0.5111,-0.00876,0.47916,0.00844,0.6039,5.20E-04
0.49946,-0.00764,0.52723,-0.00185,-1.15844,-0.01007,0.49273,0.01698,0.52811,-0.004,0.45918,0.00105,0.44337,-0.01604,0.56806,-0.01564,0.5501,0.0132,-1.15825,-0.00258,0.57449,2.91E-04,0.56659,-0.00252,0.46632,-0.0095,0.52856,-0.00108,0.56767,0.0073,0.55029,0.01046,0.51837,0.00748,0.643,-0.00329
0.53512,-0.0012,0.5664,0.00886,-1.14065,-0.00912,0.52838,-0.00556,0.57931,-0.00147,0.48056,-0.00281,0.47899,0.00525,0.60369,0.0104,0.58575,0.01185,-1.14046,0.00506,0.61014,0.01996,0.60221,-0.00555,0.4877,0.01787,0.56771,-0.00389,0.60326,-0.00431,0.58594,6.74E-04,0.55405,0.00238,0.67859,-0.01318
0.57429,0.00551,0.60204,-0.00131,-1.12638,0.00304,0.56753,-0.001,0.6149,0.00256,0.50192,0.00241,0.51819,0.01546,0.64279,0.00994,0.62495,-0.00741,-1.12619,0.01512,0.64929,0.01295,0.64137,8.59E-04,0.50906,0.01296,0.60334,-0.0046,0.6545,-0.00477,0.62514,0.00472,0.59331,-0.00287,0.71773,0.00656
0.60994,-9.26E-04,0.64118,7.04E-04,-1.11214,-0.01106,0.60317,0.01417,0.66611,7.28E-05,0.52686,-0.00137,0.55388,0.00328,0.67838,1.45E-04,0.66054,-0.00483,-1.11194,0.00866,0.68497,-0.00766,0.67696,0.00366,0.534,0.01714,0.6425,-0.01284,0.69012,-1.35E-04,0.66074,-0.00809,0.62891,,0.75333,-0.00149
0.6491,-0.0077,0.67679,0.00272,-1.09789,-0.00174,0.64233,0.00598,0.70174,0.01942,0.54823,-0.01105,0.59311,0.01715,0.71752,0.00697,0.69971,0.00832,-1.0977,-0.00583,0.72416,0.01278,0.71612,-0.00311,0.55537,0.01144,0.67815,0.00295,0.7413,0.00408,0.69988,-1.49E-04,0.66813,0.00536,0.7925,0.00356
0.68477,7.69E-04,0.71596,0.0068,-1.08365,-0.00987,0.67797,0.01778,0.75292,-0.01313,0.56962,0.01277,0.62876,-0.00896,0.75313,0.00763,0.73531,0.00634,-1.08346,-0.00533,0.75979,-0.01366,0.75174,0.02839,0.57676,-0.00621,0.7173,-0.00617,0.77691,-0.01256,0.7355,-0.00884,0.70377,-5.85E-04,0.82811,-0.00377
0.72396,-0.0029,0.75157,0.01023,-1.06941,0.0145,0.71714,0.01445,0.78853,0.01219,0.59098,0.00346,0.66795,-0.00833,0.79229,-0.00601,0.77448,0.0011,-1.0692,0.00822,0.79897,-0.00567,0.79089,0.00426,0.59809,-0.00204,0.75297,0.00121,0.8281,-0.00929,0.77468,0.00172,0.74299,0.00984,0.86721,0.01155
0.75959,0.0025,0.79073,-0.00576,-1.05161,0.00883,0.75279,0.01018,0.83972,0.01133,0.61587,-0.00105,0.7036,-0.00738,0.82791,-0.00526,0.81014,-0.01167,-1.05141,-0.01002,0.83462,-0.00297,0.82649,0.00297,0.62299,0.00749,0.79212,-0.00742,0.86568,0.0163,0.81032,0.01652,0.77863,0.00172,0.90284,-0.00551
0.79877,-6.12E-04,0.82633,-0.00406,-1.03736,0.00887,0.79194,0.00766,0.8773,-0.00833,0.63719,,0.74282,0.00813,0.867,4.00E-05,0.84935,-0.02149,-1.03716,0.01345,0.87376,0.01593,0.86565,-0.00915,0.64431,0.00967,0.82779,8.63E-04,0.91491,0.01284,0.84953,-0.01254,0.81784,0.00926,0.94201,0.00646
0.83443,9.40E-04,0.86547,-0.00556,-1.02311,-0.00213,0.8276,-0.00806,0.92653,-0.00611,0.65855,-0.00926,0.77847,0.00997,0.90263,0.00451,0.88497,0.00209,-1.02291,8.36E-04,0.90942,0.00243,0.90126,0.01327,0.66568,-0.00551,0.86696,0.00422,0.95056,-0.0071,0.88516,-0.01212,0.85351,0.00271,1.00041,5.18E-05
0.87356,-0.00581,0.90111,-0.01039,-1.00883,-9.19E-04,0.86679,-8.08E-04,0.96218,0.00463,0.67991,9.91E-04,0.81766,-2.49E-04,0.94181,-0.00167,0.9242,0.0065,-0.99909,-0.00132,0.94854,0.00625,0.94044,-0.01427,0.68704,0.00505,0.90262,-8.94E-04,1.00938,0.00656,0.9244,0.00416,0.8927,0.01833,1.04316,0.00352
0.90922,0.00414,0.94025,-0.005,-0.99928,-0.0336,0.90243,0.01175,1.00672,-0.02157,0.70483,0.00383,0.85333,0.01438,0.98595,-0.00147,0.95986,0.00943,-0.98481,-0.01045,1.02135,0.00706,1.02112,-0.00546,0.71196,-0.01174,0.94181,-6.75E-04,1.0522,-5.62E-04,0.96006,-0.00583,0.92836,-0.01406,1.08949,-0.00712
0.94838,0.00255,0.97589,-4.31E-04,-0.98501,-0.00145,0.94162,-0.01054,1.04954,0.01689,0.72618,-0.00172,0.89252,0.00402,1.0287,0.02328,1.00684,9.93E-04,-0.97057,0.01456,1.06413,0.0018,1.06388,0.00573,0.73332,0.00181,1.02203,-0.00275,1.09853,0.01627,1.02131,-0.00188,1.00166,0.00813,1.13229,0.0048
