S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.10384,-21.70532,0.12441,1.91757,-1.37941,9.91022,0.10311,19.97572,0.09008,-13.95622,0.1244,-10.9595,0.08177,17.35882,0.08201,19.32076,0.12394,-1.91326,-1.37922,5.52706,0.12547,7.6672,0.14601,12.04593,0.13154,15.97149,0.12471,-12.08593,0.10339,7.67686,0.12414,2.69203,0.12472,-10.83029,0.1036,
0.12527,-7.80428,0.14581,-17.7315,-1.36516,0.09022,0.12453,-29.41226,0.11501,15.96792,0.14576,-11.18777,0.10317,6.24563,0.10339,-11.67284,0.14536,-35.06472,-1.36498,0.92755,0.14685,-24.50226,0.17093,9.14894,0.15291,26.87258,0.14608,1.83144,0.12477,12.20623,0.14557,-0.64986,0.14611,13.39144,0.12501,18.85496
0.14666,22.95505,0.17073,-20.15008,-1.35091,0.95037,0.1459,-22.75348,0.13639,-39.91711,0.17072,6.25743,0.12455,8.32541,0.1248,-17.52481,0.16678,-8.96316,-1.35072,2.00743,0.17178,16.18861,0.19233,40.82929,0.17786,16.52173,0.171,-15.80369,0.14615,-11.56037,0.16698,4.99173,0.17102,16.26776,0.14993,18.74027
0.17159,15.37205,0.19213,10.95585,-1.33666,-0.86817,0.17081,-15.18845,0.15777,-33.38017,0.19207,-28.18336,0.14594,11.29715,0.14972,7.85332,0.19174,-34.22234,-1.33646,17.7903,0.19318,-2.27247,0.21373,4.80353,0.19921,-17.99679,0.19236,-8.06431,0.16755,5.09788,0.19192,3.37913,0.19242,9.58069,0.17134,18.76318
0.193,-5.99103,0.21353,10.50548,-1.31887,-19.50078,0.19218,-30.10132,0.17917,-22.96606,0.21347,,0.17086,5.50493,0.17113,-17.58347,0.21314,3.55798,-1.31868,7.81359,0.21457,5.84853,0.23512,-18.34271,0.2206,12.53499,0.21375,1.11219,0.19243,-2.70983,0.2133,-57.8801,0.21381,12.33815,0.19274,9.65098
0.21438,-26.98871,0.23492,40.78611,-1.30458,31.76363,0.21356,-18.87086,0.20405,-47.95514,0.23481,-4.5329,0.19225,15.26922,0.19253,11.17293,0.23451,-52.72457,-1.30439,-8.20993,0.23598,-4.22395,0.26002,26.23132,0.24196,-17.32448,0.23514,2.95423,0.21383,3.63404,0.23471,31.02574,0.23521,5.3842,0.21414,-10.51486
0.23578,13.27322,0.25983,-16.34277,-1.2903,-34.09436,0.23495,-29.74163,0.22545,-0.2953,0.25977,-31.12069,0.21363,0.17086,0.21394,12.36975,0.2559,-30.85657,-1.29012,25.02808,0.26093,1.73929,0.28142,14.29442,0.26691,-10.32537,0.26007,24.72929,0.2352,2.1513,0.2561,19.76166,0.26014,-12.52446,0.23906,38.41168
0.26072,-17.03507,0.28123,-1.28978,-1.27603,21.42586,0.25988,-6.49799,0.24683,-0.24586,0.28113,12.99165,0.23503,12.12769,0.23885,0.43187,0.28087,-4.18172,-1.27587,0.88754,0.29495,-3.00123,0.30277,-16.31171,0.28828,7.26153,0.28146,8.74927,0.2566,32.11339,0.28106,14.51137,0.28153,19.89171,0.34396,-12.14189
0.28212,2.14583,0.3026,-9.95133,-1.26178,5.36176,0.28127,9.0358,0.26822,7.01191,0.30252,20.78392,0.25998,-5.21794,0.26025,-40.13452,0.30227,20.69833,-1.26161,7.85383,0.33061,7.74322,0.32416,2.98213,0.30966,34.20014,0.30286,20.35537,0.28152,3.52181,0.30247,7.25652,0.30292,-15.60794,0.37954,-8.93395
0.29477,26.49699,0.32397,-15.59252,-1.24755,11.3042,0.30267,7.07325,0.29314,0.42423,0.32389,1.23581,0.28135,-6.41275,0.34375,-14.95174,0.32558,-8.49789,-1.24737,3.24005,0.34993,1.07789,0.34215,5.88355,0.33103,8.59866,0.32426,8.1996,0.30757,-11.54188,0.32579,14.11523,0.32431,-10.45471,0.41865,25.22221
0.33043,-8.41446,0.34196,24.68406,-1.22977,-0.70707,0.32407,-0.39513,0.3192,-8.15753,0.3488,-20.34986,0.30275,-10.10542,0.37933,6.38059,0.36125,-12.92504,-1.22959,7.1912,0.38561,16.79354,0.37781,-3.89701,0.35594,0.29493,0.34347,-9.90598,0.34316,32.92668,0.36145,-19.12014,0.34922,18.43068,0.45426,13.94077
0.34973,17.98115,0.37762,16.13739,-1.21551,-2.96114,0.34326,4.55208,0.3548,2.9299,0.37016,-13.81231,0.32414,-9.42185,0.41844,-10.93604,0.40043,6.06418,-1.21531,-11.75324,0.4248,-10.93984,0.41703,6.56526,0.37727,5.3809,0.3791,17.50126,0.39405,-3.80687,0.4006,5.3614,0.36887,32.88204,0.49346,10.42014
0.38542,-0.07487,0.41683,-20.29097,-1.20125,-10.78664,0.37892,21.39192,0.40569,-21.6736,0.3915,-14.9327,0.34906,-4.88595,0.45405,3.82789,0.43609,21.85752,-1.20104,6.68205,0.46047,0.97728,0.45263,6.02847,0.39861,-12.61266,0.41819,1.26941,0.42963,-16.26605,0.4363,3.7955,0.40442,-0.75895,0.52911,7.90055
0.42461,23.31642,0.45247,1.02193,-1.18696,-12.50019,0.41803,11.2324,0.44126,4.28553,0.41285,7.5452,0.36872,3.56954,0.49325,-11.2461,0.47529,20.46722,-1.18678,-27.0785,0.49965,2.54257,0.49179,19.02962,0.41995,3.51689,0.45376,-6.05474,0.48088,-16.09721,0.47547,1.81414,0.44353,6.0453,0.56826,
0.46028,-14.36864,0.4916,15.18575,-1.17272,6.21395,0.45358,-8.59299,0.4925,-16.53813,0.43779,12.99893,0.40426,10.28474,0.5289,6.34383,0.51091,18.29532,-1.17252,-5.17599,0.53531,-21.34477,0.52743,18.68942,0.44492,-9.75813,0.49292,17.88489,0.51648,0.74189,0.5111,-19.69397,0.47916,2.179,0.6039,
