S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.0575,16.35835,0.08161,14.28575,-1.40788,-2.01372,0.05678,-7.28586,0.0473,-1.58785,0.0816,4.16598,0.03544,-20.64139,0.03574,-11.13122,0.07759,-0.07982,-1.40769,-4.74143,0.08265,-7.21077,0.10321,5.42577,0.08874,5.65302,0.0819,-18.37356,0.05706,-0.57183,0.0778,-11.86612,0.08193,-0.61573,0.06083,2.64052
0.08245,-14.11892,0.10301,-1.73813,-1.39363,11.04664,0.08171,-12.66817,0.06868,4.47244,0.10296,6.98576,0.05684,1.41511,0.06062,-5.47824,0.10253,-7.21397,-1.39345,-1.19978,0.10404,-0.49,0.12461,15.26156,0.1101,11.51166,0.1033,-29.93222,0.07846,7.83006,0.10272,-3.04776,0.10334,5.01276,0.08222,15.19076
0.10384,-11.43023,0.12441,5.48759,-1.37941,-1.75339,0.10311,25.20012,0.09008,17.87536,0.1244,-12.51993,0.08177,-1.18411,0.08201,,0.12394,4.46965,-1.37922,-2.96116,0.12547,0.56729,0.14601,14.85857,0.13154,2.58588,0.12471,0.3641,0.10339,5.18352,0.12414,23.81391,0.12472,5.28343,0.1036,25.0606
0.12527,-2.15803,0.14581,-11.37303,-1.36516,-1.80744,0.12453,11.34836,0.11501,-25.88555,0.14576,8.76744,0.10317,0.8381,0.10339,19.72158,0.14536,27.38951,-1.36498,-15.12449,0.14685,22.98285,0.17093,-1.32796,0.15291,-24.9564,0.14608,-15.85535,0.12477,-16.08738,0.14557,-10.61787,0.14611,-3.53766,0.12501,6.47595
0.14666,5.31553,0.17073,24.28103,-1.35091,-6.5345,0.1459,-25.82451,0.13639,-3.28574,0.17072,-24.54977,0.12455,1.03599,0.1248,3.03054,0.16678,15.73534,-1.35072,5.72962,0.17178,-1.74091,0.19233,-14.00016,0.17786,-4.83123,0.171,3.61596,0.14615,12.86348,0.16698,5.43792,0.17102,2.46163,0.14993,-26.94635
0.17159,7.12608,0.19213,1.3106,-1.33666,12.60724,0.17081,6.85766,0.15777,-3.21896,0.19207,-14.43824,0.14594,-0.18852,0.14972,24.91632,0.19174,-20.73797,-1.33646,22.17268,0.19318,-14.56246,0.21373,-9.06659,0.19921,1.4316,0.19236,3.12632,0.16755,-6.96326,0.19192,9.54905,0.19242,-3.41891,0.17134,0.72382
0.193,31.36634,0.21353,10.27366,-1.31887,-31.28754,0.19218,16.39961,0.17917,-9.84876,0.21347,-4.3402,0.17086,-4.30967,0.17113,-26.91666,0.21314,-5.00195,-1.31868,21.97991,0.21457,14.54409,0.23512,3.1549,0.2206,11.70698,0.21375,-15.16072,0.19243,-14.94705,0.2133,11.999,0.21381,0.06201,0.19274,4.01451
0.21438,-1.50632,0.23492,-0.39692,-1.30458,21.27115,0.21356,-19.40951,0.20405,1.36709,0.23481,-5.45588,0.19225,-6.10911,0.19253,-28.5898,0.23451,-14.68532,-1.30439,-32.11735,0.23598,-2.648,0.26002,-5.53899,0.24196,-30.16557,0.23514,-4.88561,0.21383,-10.26576,0.23471,-34.57931,0.23521,-7.19112,0.21414,-17.51255
0.23578,-13.27562,0.25983,-13.14998,-1.2903,-7.09414,0.23495,-3.71589,0.22545,-5.74821,0.25977,18.06708,0.21363,3.53945,0.21394,16.35055,0.2559,13.80166,-1.29012,-3.57772,0.26093,10.26264,0.28142,-4.36588,0.26691,-1.80197,0.26007,5.25853,0.2352,0.52609,0.2561,8.27459,0.26014,-0.53812,0.23906,12.80775
0.26072,3.54627,0.28123,-12.44863,-1.27603,-10.90404,0.25988,0.25568,0.24683,2.44101,0.28113,-5.68413,0.23503,3.28818,0.23885,1.62442,0.28087,35.06233,-1.27587,-8.2947,0.29495,5.17561,0.30277,9.55928,0.28828,-23.23472,0.28146,-11.69385,0.2566,-2.56047,0.28106,-5.695,0.28153,0.66652,0.34396,-3.42701
