S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.13557,0.02215,0.12772,,-0.44794,,0.12791,0.00197,0.12799,0.00611,0.11575,,0.12774,0.03481,0.12765,0.01295,0.17817,-0.00599,-0.44777,,-1.12242,0.01036,0.14927,,0.11593,0.01984,0.12808,0.03402,0.12816,0.01534,0.17837,0.0144,0.12791,0.00921,0.12784,-0.00355,0.12542,0.01627,0.13253,0.00419
0.15692,0.01986,0.1491,,-0.4337,,0.14927,0.00702,0.14939,0.02456,0.13709,,0.14913,0.0373,0.149,-0.00182,0.19959,0.00566,-0.43353,,-1.07972,0.02431,0.17765,,0.13729,,0.14944,0.04823,0.14959,,0.19979,0.02931,0.14929,0.01659,0.14919,0.01451,0.14679,0.01272,0.15391,0.01128
0.18535,0.02117,0.17748,,-0.41947,4.30E-04,0.17767,0.0073,0.17779,0.02158,0.16552,0.01622,0.17752,0.03677,0.17743,-4.71E-05,0.22095,-0.01241,-0.41929,,-1.04414,0.01589,0.19903,,0.16569,0.02299,0.17788,0.04167,0.178,-0.00233,0.22113,,0.17769,0.02363,0.17762,8.15E-04,0.1752,0.01152,0.18228,0.00826
0.20671,0.00612,0.19885,,-0.39818,,0.19904,0.00581,0.19922,0.01494,0.1869,0.03016,0.1989,0.07298,0.19877,0.0242,0.24229,,-0.39801,,-0.66071,-0.0097,0.22041,,0.18707,0.03756,0.19921,0.05476,0.19939,,0.24249,0.02837,0.19906,0.02429,0.19896,,0.19653,,0.20363,-9.03E-04
0.2281,0.02563,0.22023,,-0.38395,,0.22045,0.00769,0.22056,,0.20826,,0.22025,0.05961,0.22015,0.00363,0.28663,0.00111,-0.38377,,-0.58242,,0.24182,,0.20841,0.04209,0.22064,0.04827,0.22075,8.02E-04,0.28683,0.04288,0.22042,0.01598,0.22032,0.01366,0.21788,0.01534,0.225,0.01318
0.24948,0.02908,0.24164,,-0.36971,-8.45E-04,0.24183,-6.80E-04,0.24199,,0.22959,,0.24164,0.06467,0.24149,0.00776,0.32222,0.00208,-0.36954,,-0.50404,,0.27385,,0.22976,0.05203,0.242,0.05647,0.24215,-0.00775,0.32242,0.04362,0.24182,0.04796,0.24168,0.01475,0.23924,0.02029,0.24638,0.01924
0.28852,0.01887,0.27368,,-0.35547,,0.28213,0.01206,0.30049,0.02376,0.258,0.02399,0.27527,0.05283,0.27263,0.00624,0.36493,,-0.3553,-0.0152,-0.42568,,0.30943,0.01818,0.25817,0.03753,0.2823,0.05623,0.30069,,0.36513,0.03575,0.27543,0.01585,0.27281,0.00734,0.26766,0.0094,0.27479,-0.00709
0.3242,0.01338,0.30926,,-0.34124,0.00352,0.31774,-0.0076,0.33616,0.00485,0.27683,0.0166,0.31093,0.05753,0.30825,0.00394,0.40057,,-0.34106,,-0.3473,,0.35209,,0.27701,0.05665,0.31792,0.04639,0.33637,,0.40076,0.03683,0.31109,0.0441,0.30844,0.00783,0.28903,,0.29615,
0.36685,0.01246,0.35191,,-0.327,,0.36037,,0.37888,,0.31245,0.00726,0.35156,0.07887,0.35086,0.01587,0.44319,7.90E-04,-0.32683,,-0.26895,,0.38769,,0.31264,0.04464,0.36054,0.07121,0.37907,-0.00153,0.44339,0.03256,0.35172,0.01186,0.35104,0.0269,0.31041,0.01594,0.31751,0.0084
0.40251,,0.38751,0.01445,-0.30572,,0.39601,,0.41454,,0.35509,0.01158,0.38725,0.05858,0.38642,-4.85E-04,0.47883,,-0.30554,,-0.19067,,0.43038,,0.35528,0.02713,0.39618,0.05801,0.41473,,0.47904,,0.38741,0.03096,0.38661,0.00993,0.33176,0.0106,0.33888,-0.00155
0.44519,0.01387,0.43021,,-0.29148,,0.43867,,0.45725,,0.39071,0.02324,0.42795,0.0635,0.429,-0.00331,0.52152,,-0.29131,,-0.11238,,0.466,0.00441,0.39089,0.05552,0.43884,0.06071,0.45744,,0.52171,,0.42811,0.02281,0.42919,,0.36017,0.02162,0.3673,0.00328
0.48086,,0.46581,,-0.27725,0.00338,0.47435,0.00453,0.49292,0.01014,0.43339,0.03831,0.46361,0.06981,0.46459,-0.00643,0.55713,-0.00194,-0.27707,,-0.03403,-0.00299,0.50873,0.01592,0.43356,0.04161,0.47453,0.05121,0.49311,,0.55734,0.02337,0.46377,0.02587,0.46478,,0.38155,0.01382,0.38867,-0.00549
0.52355,0.01505,0.50854,0.03129,-0.26301,,0.51705,0.00579,0.53561,0.02016,0.469,,0.50433,0.07503,0.50721,0.00164,0.59984,0.00433,-0.26284,,5.21E-04,,0.54436,,0.46919,0.04147,0.51722,0.03308,0.53581,,0.60003,-0.00237,0.50449,0.02049,0.5074,0.01057,0.40292,0.01433,0.41005,
0.55922,,0.54418,,-0.24877,,0.55272,,0.5713,0.01864,0.51169,0.02607,0.53999,0.05852,0.54279,,0.63549,-0.00677,-0.2486,,0.02187,-0.00127,0.58706,,0.51186,0.04269,0.55289,0.04048,0.57149,,0.63566,,0.54015,0.02418,0.54297,0.02048,0.42428,0.00338,0.43141,0.00828
0.60186,0.01968,0.58686,,-0.23454,,0.59539,,0.61397,,0.5473,,0.58073,0.0475,0.58542,0.00831,0.67809,,-0.23436,0.00333,0.04328,,0.62271,,0.54747,0.05671,0.59558,,0.61418,,0.67829,0.03496,0.58089,,0.58559,,0.45272,0.01175,0.45985,0.00728
